"LONGITUDE","LATITUDE","SPECIES","pred_logDDT","se_logDDT"
-161.652101694915,54.246813559322,"Uria aalge",4.41590476374433,0.128631247416856
-161.044508474576,54.246813559322,"Uria aalge",4.46905561438614,0.136246512051221
-160.436915254237,54.246813559322,"Uria aalge",4.52800255586517,0.144158570133556
-159.829322033898,54.246813559322,"Uria aalge",4.59019941693121,0.152172836743378
-159.221728813559,54.246813559322,"Uria aalge",4.65306820735061,0.160013758579652
-158.61413559322,54.246813559322,"Uria aalge",4.71433638205144,0.167416561154032
-158.006542372881,54.246813559322,"Uria aalge",4.77224714471667,0.174209657774266
-157.398949152542,54.246813559322,"Uria aalge",4.82561421837358,0.180353900343871
-156.791355932203,54.246813559322,"Uria aalge",4.873754996937,0.185929156167003
-156.183762711864,54.246813559322,"Uria aalge",4.91636348747062,0.191082167456759
-155.576169491525,54.246813559322,"Uria aalge",4.95337821850788,0.195960113909118
-154.968576271186,54.246813559322,"Uria aalge",4.9848792205037,0.200652046569967
-154.360983050847,54.246813559322,"Uria aalge",5.0110291688286,0.205152634222299
-153.753389830508,54.246813559322,"Uria aalge",5.03206218685145,0.209354991491585
-153.14579661017,54.246813559322,"Uria aalge",5.04831569067249,0.213073035680917
-152.53820338983,54.246813559322,"Uria aalge",5.06028948852715,0.216087429868601
-151.930610169492,54.246813559322,"Uria aalge",5.06870076976539,0.21820167781811
-151.323016949153,54.246813559322,"Uria aalge",5.07449375370991,0.219289343704054
-150.715423728814,54.246813559322,"Uria aalge",5.07877553949753,0.219316118390593
-150.107830508475,54.246813559322,"Uria aalge",5.0826877417924,0.218333044509319
-149.500237288136,54.246813559322,"Uria aalge",5.08726116414602,0.216450587777417
-148.892644067797,54.246813559322,"Uria aalge",5.09330696507157,0.213807307217624
-148.285050847458,54.246813559322,"Uria aalge",5.10137133376703,0.210542478355679
-147.677457627119,54.246813559322,"Uria aalge",5.11174781800306,0.206776828227026
-147.06986440678,54.246813559322,"Uria aalge",5.12452399360468,0.202603104313041
-146.462271186441,54.246813559322,"Uria aalge",5.13963898985146,0.198086642958771
-145.854677966102,54.246813559322,"Uria aalge",5.15693638844018,0.193273523527149
-145.247084745763,54.246813559322,"Uria aalge",5.17620536875557,0.18820116372677
-144.639491525424,54.246813559322,"Uria aalge",5.19720872341114,0.182905501245315
-144.031898305085,54.246813559322,"Uria aalge",5.21969949580599,0.177421064316633
-143.424305084746,54.246813559322,"Uria aalge",5.24342920748358,0.171773906131161
-142.816711864407,54.246813559322,"Uria aalge",5.26815060985783,0.165970461062692
-142.209118644068,54.246813559322,"Uria aalge",5.29361720793004,0.1599868696136
-141.601525423729,54.246813559322,"Uria aalge",5.31958096988335,0.153763699593344
-140.99393220339,54.246813559322,"Uria aalge",5.34578897245595,0.147211505486043
-140.386338983051,54.246813559322,"Uria aalge",5.37197936253415,0.140234810693055
-139.778745762712,54.246813559322,"Uria aalge",5.39787699523263,0.132787842295379
-139.171152542373,54.246813559322,"Uria aalge",5.42318959416218,0.12498728336933
-138.563559322034,54.246813559322,"Uria aalge",5.4476067275685,0.117324792528501
-137.955966101695,54.246813559322,"Uria aalge",5.47080723679425,0.111017114273224
-137.348372881356,54.246813559322,"Uria aalge",5.4924869060445,0.108370234696088
-136.740779661017,54.246813559322,"Uria aalge",5.5124240850427,0.112495060000869
-136.133186440678,54.246813559322,"Uria aalge",5.53058817128939,0.125511030015633
-135.525593220339,54.246813559322,"Uria aalge",5.5472313055844,0.146540942746494
-134.918,54.246813559322,"Uria aalge",5.56283203706558,0.172260954807633
-170.766,54.5170847457627,"Uria aalge",4.48522492220607,0.0933502543484188
-170.158406779661,54.5170847457627,"Uria aalge",4.45671926355183,0.0828193752895302
-169.550813559322,54.5170847457627,"Uria aalge",4.42718489955319,0.0738636695282508
-168.943220338983,54.5170847457627,"Uria aalge",4.396950883174,0.0678012559522109
-168.335627118644,54.5170847457627,"Uria aalge",4.36668122431518,0.0656731035173806
-167.728033898305,54.5170847457627,"Uria aalge",4.33724713875805,0.066779109612928
-167.120440677966,54.5170847457627,"Uria aalge",4.30993320813454,0.0698512695033936
-166.512847457627,54.5170847457627,"Uria aalge",4.28632361978025,0.074468768844784
-165.905254237288,54.5170847457627,"Uria aalge",4.26789530217369,0.0802023392441964
-165.297661016949,54.5170847457627,"Uria aalge",4.25603099898962,0.0865992119078657
-164.69006779661,54.5170847457627,"Uria aalge",4.25203767664066,0.0932897333533865
-164.082474576271,54.5170847457627,"Uria aalge",4.25711399407468,0.100020336167128
-163.474881355932,54.5170847457627,"Uria aalge",4.2722619199164,0.106668696037901
-162.867288135593,54.5170847457627,"Uria aalge",4.29813154923934,0.113256010718526
-162.259694915254,54.5170847457627,"Uria aalge",4.33480751098888,0.119930386907228
-161.652101694915,54.5170847457627,"Uria aalge",4.3815928500659,0.126890544177356
-161.044508474576,54.5170847457627,"Uria aalge",4.4368980473655,0.134264297996205
-160.436915254237,54.5170847457627,"Uria aalge",4.49834125452398,0.142009849416878
-159.829322033898,54.5170847457627,"Uria aalge",4.56307619834014,0.14990186703292
-159.221728813559,54.5170847457627,"Uria aalge",4.62824101978705,0.157606323719033
-158.61413559322,54.5170847457627,"Uria aalge",4.69136298299649,0.164800382294831
-158.006542372881,54.5170847457627,"Uria aalge",4.75059558829204,0.171279226714434
-157.398949152542,54.5170847457627,"Uria aalge",4.80475948890507,0.177005626904052
-156.791355932203,54.5170847457627,"Uria aalge",4.85323934951791,0.182091488713486
-156.183762711864,54.5170847457627,"Uria aalge",4.89581852654393,0.186731822559567
-155.576169491525,54.5170847457627,"Uria aalge",4.93251855634696,0.191123090909237
-154.968576271186,54.5170847457627,"Uria aalge",4.96347993707323,0.195392534827247
-154.360983050847,54.5170847457627,"Uria aalge",4.98889731626862,0.199554417755965
-153.753389830508,54.5170847457627,"Uria aalge",5.00901104730972,0.203500290433016
-153.14579661017,54.5170847457627,"Uria aalge",5.02415092396232,0.207024097534865
-152.53820338983,54.5170847457627,"Uria aalge",5.03481623949952,0.209876338640762
-151.930610169492,54.5170847457627,"Uria aalge",5.04175513055209,0.211832012962606
-151.323016949153,54.5170847457627,"Uria aalge",5.04598860557823,0.21274831140452
-150.715423728814,54.5170847457627,"Uria aalge",5.04873784144807,0.212590360278888
-150.107830508475,54.5170847457627,"Uria aalge",5.05126571803353,0.211420627969464
-149.500237288136,54.5170847457627,"Uria aalge",5.0546975632925,0.209366134547519
-148.892644067797,54.5170847457627,"Uria aalge",5.0598931488683,0.206581578996619
-148.285050847458,54.5170847457627,"Uria aalge",5.06740200039198,0.203218653811557
-147.677457627119,54.5170847457627,"Uria aalge",5.07748889614781,0.199404902432143
-147.06986440678,54.5170847457627,"Uria aalge",5.09019645694227,0.195233732163622
-146.462271186441,54.5170847457627,"Uria aalge",5.10541540093012,0.190766300663918
-145.854677966102,54.5170847457627,"Uria aalge",5.12294531559924,0.186042752877771
-145.247084745763,54.5170847457627,"Uria aalge",5.14253943825513,0.181096312200166
