plantID,week,nutrient_supply,shortcut_of_species,seedmass[mg],width[px],depth[px],distance_from_top_of_root_system_to_centroid[px],area[px2],relative_depth,relative_width,length_of_main_root[px],length_of_lateral_roots[px],number_of_lateral_roots,mean_lenght_of_lateral_roots[px],Genus,species
TM1-121118i.bmp,4,0.25,TM,1.948,106,413,192.0927800072,18494.5,0.4651156901,0.2566585956,156.048,0,0,0,Trifolium,medium
TM1-121120.bmp,1,0.25,TM,1.948,53,38,20.8474923234,977,0.548618219,1.3947368421,87.773,0,0,0,Trifolium,medium
TM1-121120.bmp,2,0.25,TM,1.948,53,51,40.2663495838,1261.5,0.7895362663,1.0392156863,21.517,0,0,0,Trifolium,medium
TM1-121120.bmp,3,0.25,TM,1.948,53,77,35.9971837597,2130.5,0.467495893,0.6883116883,28.326,0,0,0,Trifolium,medium
TM1-121120.bmp,4,0.25,TM,1.948,53,87,34.001177163,2548.5,0.3908181283,0.6091954023,19.944,0,0,0,Trifolium,medium
TM2-121118a.bmp,1,0.5,TM,1.948,2,59,0.495339982,29.5,0.0083955929,0.0338983051,45.925,0,0,0,Trifolium,medium
TM2-121118a.bmp,2,0.5,TM,1.948,20,109,107.6707317073,820,0.987804878,0.1834862385,44.558,0,0,0,Trifolium,medium
TM2-121118a.bmp,3,0.5,TM,1.948,20,109,107.6707317073,820,0.987804878,0.1834862385,0,0,0,0,Trifolium,medium
TM2-121118a.bmp,4,0.5,TM,1.948,41,109,66.8008232335,2186.5,0.6128515893,0.376146789,43.711,0,0,0,Trifolium,medium
TM2-121118c.bmp,1,0.5,TM,1.948,118,68,34,136.1910422899,0.5,1.7352941176,128.423,0,0,0,Trifolium,medium
TM2-121118c.bmp,2,0.5,TM,1.948,138,116,58,180.2775637732,0.5,1.1896551724,45.465,0,0,0,Trifolium,medium
TM2-121118c.bmp,3,0.5,TM,1.948,167,150,79.0074834623,8017,0.5267165564,1.1133333333,34.253,134.555,3,44.8516666667,Trifolium,medium
TM2-121118c.bmp,4,0.5,TM,1.948,185,150,80.9560307746,9367,0.5397068718,1.2333333333,36.091,31.883,0,0,Trifolium,medium
TM2-121118d.bmp,1,0.5,TM,1.948,29,49,50.179253112,602.5,1.02406639,0.5918367347,66.897,0,0,0,Trifolium,medium
TM2-121118d.bmp,2,0.5,TM,1.948,52,65,44.1127098321,1668,0.6786570743,0.8,72.122,0,0,0,Trifolium,medium
TM2-121118d.bmp,3,0.5,TM,1.948,97,77,55.7281113449,3089.5,0.7237417058,1.2597402597,0,45.67,1,45.67,Trifolium,medium
TM2-121118d.bmp,4,0.5,TM,1.948,119,76,29.323817545,2974,0.3858397045,1.5657894737,0,28.822,0,0,Trifolium,medium
TM2-121120a.bmp,1,0.5,TM,1.948,87,37,18.5,94.5409963984,0.5,2.3513513514,92.913,0,0,0,Trifolium,medium
TM2-121120a.bmp,2,0.5,TM,1.948,100,79,62.0127109877,1580,0.7849710252,1.2658227848,38.281,0,0,0,Trifolium,medium
TM2-121120a.bmp,3,0.5,TM,1.948,113,93,75.1262319237,1860,0.8078089454,1.2150537634,53.786,0,0,0,Trifolium,medium
TM2-121120a.bmp,4,0.5,TM,1.948,167,115,57.5,202.7658748409,0.5,1.452173913,29.754,122.401,1,122.401,Trifolium,medium
TM2-121120b.bmp,1,0.5,TM,1.948,52,19,19.5153707052,276.5,1.027124774,2.7368421053,52.529,0,0,0,Trifolium,medium
TM2-121120b.bmp,2,0.5,TM,1.948,61,85,25.9225433526,2162.5,0.3049710983,0.7176470588,68.265,0,0,0,Trifolium,medium
TM2-121120b.bmp,3,0.5,TM,1.948,62,208,21.814049904,6512.5,0.1048752399,0.2980769231,107.828,0,0,0,Trifolium,medium
TM2-121120b.bmp,4,0.5,TM,1.948,63,282,21.0333188153,9184,0.0745862369,0.2234042553,72.703,0,0,0,Trifolium,medium
TM2-121125a.bmp,1,0.5,TM,1.948,30,93,46.5,97.7189848494,0.5,0.3225806452,96.59,0,0,0,Trifolium,medium
TM2-121125a.bmp,2,0.5,TM,1.948,52,101,76.7029373681,1144,0.7594350234,0.5148514851,31.943,0,0,0,Trifolium,medium
TM2-121125a.bmp,3,0.5,TM,1.948,52,101,76.7029373681,1144,0.7594350234,0.5148514851,45.054,0,0,0,Trifolium,medium
TM2-121125a.bmp,4,0.5,TM,1.948,52,115,76.2755695761,1964,0.6632658224,0.452173913,23.536,0,0,0,Trifolium,medium
TM2-121125b.bmp,1,0.5,TM,1.948,71,96,48,119.4026800369,0.5,0.7395833333,129.295,0,0,0,Trifolium,medium
TM2-121125b.bmp,2,0.5,TM,1.948,112,114,57,159.8123900078,0.5,0.9824561404,45.259,0,0,0,Trifolium,medium
TM2-121125b.bmp,3,0.5,TM,1.948,127,128,64,180.3136156811,0.5,0.9921875,15.215,0,0,0,Trifolium,medium
TM2-121125b.bmp,4,0.5,TM,1.948,148,139,69.5,203.0394050425,0.5,1.0647482014,17.199,0,0,0,Trifolium,medium
TM2-121125c.bmp,1,0.5,TM,1.948,48,51,17.3084699387,594,0.3393817635,0.9411764706,68.385,0,0,0,Trifolium,medium
TM2-121125c.bmp,2,0.5,TM,1.948,48,51,17.3084699387,594,0.3393817635,0.9411764706,0,0,0,0,Trifolium,medium
TM2-121125c.bmp,3,0.5,TM,1.948,57,75,39.1124586549,1360.5,0.5214994487,0.76,28.762,0,0,0,Trifolium,medium
TM2-121125c.bmp,4,0.5,TM,1.948,56,102,31.2368017525,2282.5,0.3062431544,0.5490196078,21.928,0,0,0,Trifolium,medium
TM2-121125d.bmp,1,0.5,TM,1.948,63,61,45.0897571278,1894,0.7391763464,1.0327868852,98.574,0,0,0,Trifolium,medium
TM2-121125d.bmp,2,0.5,TM,1.948,114,61,43.6964777504,3449.5,0.7163357008,1.868852459,49.928,0,0,0,Trifolium,medium
TM2-121125d.bmp,3,0.5,TM,1.948,137,77,28.7307176124,3122,0.3731262028,1.7792207792,26.137,0,0,0,Trifolium,medium
TM2-121125d.bmp,4,0.5,TM,1.948,154,98,30.3831251314,3626,0.3100318891,1.5714285714,24.093,0,0,0,Trifolium,medium
TM3-121118a.bmp,1,1,TM,1.948,25,92,38.8300840941,552,0.4220661315,0.2717391304,96.59,0,0,0,Trifolium,medium
TM3-121118a.bmp,2,1,TM,1.948,48,125,80.1584420462,2525,0.6412675364,0.384,86.31,0,0,0,Trifolium,medium
TM3-121118a.bmp,3,1,TM,1.948,77,125,76.7170229119,4344.5,0.6137361833,0.616,21.723,0,0,0,Trifolium,medium
TM3-121118a.bmp,4,1,TM,1.948,105,141,75.2591403466,5998.5,0.5337527684,0.7446808511,0,75.424,2,37.712,Trifolium,medium
