Block	Individual	Age	Competition Treatment	Month	# Rosettes	Total Leaf #	Length (cm)	Width (cm)	Area (cm^2)	Mortality	Fv/Fm	SPAD	SLA (cm^2/g)	RWC (g/g * 100)		Month	Number
3a	149	young	NoComp	0	3	50	27.6	2.2	60.72	alive	.	.	.	.			
3b	150	old	NoComp	0	5	64	28.5	1.2	34.2	alive	.	.	.	.			
3b	151	young	NoComp	0	6	38	26.2	0.7	18.34	alive	.	.	.	.			
3a	152	old	NoComp	0	4	49	25.1	1.4	35.14	alive	.	.	.	.			
3a	153	young	NoComp	0	3	52	30.5	1.7	51.85	alive	.	.	.	.			
3a	154	old	NoComp	0	8	85	22.9	1.4	32.06	alive	.	.	.	.			
3a	155	young	NoComp	0	1	26	34.7	2.8	97.16	alive	.	.	.	.			
3b	157	young	NoComp	0	8	80	31.1	1.1	34.21	alive	.	.	.	.			
3b	158	old	NoComp	0	5	54	8.5	0.6	5.1	alive	.	.	.	.			
3b	159	young	NoComp	0	4	36	29	1.3	37.7	alive	.	.	.	.			
3a	161	young	NoComp	0	3	37	39.3	1.6	62.88	alive	.	.	.	.			
3b	162	old	NoComp	0	3	47	26.9	0.6	16.14	alive	.	.	.	.			
3a	163	young	NoComp	0	1	30	.	.	.	alive	.	.	.	.			
3a	165	young	NoComp	0	1	32	29.1	2.6	75.66	alive	.	.	.	.			
3b	167	young	NoComp	0	1	33	37.3	2.5	93.25	alive	.	.	.	.			
3a	168	old	NoComp	0	5	44	22	1.1	24.2	alive	.	.	.	.			
3b	169	young	NoComp	0	3	47	21.2	0.9	19.08	alive	.	.	.	.			
3a	171	young	NoComp	0	2	34	24.8	1.2	29.76	alive	.	.	.	.			
3b	172	old	NoComp	0	7	87	28.2	1.3	36.66	alive	.	.	.	.			
3b	176	old	NoComp	0	5	52	25.3	1.6	40.48	alive	.	.	.	.			
3a	177	young	NoComp	0	1	28	44.6	2.5	111.5	alive	.	.	.	.			
3b	178	old	NoComp	0	7	63	28.5	0.9	25.65	alive	.	.	.	.			
3a	179	young	NoComp	0	6	62	20.3	1.6	32.48	alive	.	.	.	.			
3a	181	young	Comp	0	5	55	29.1	2.1	61.11	alive	.	.	.	.			
3b	182	old	Comp	0	5	48	17.8	1	17.8	alive	.	.	.	.			
3b	183	young	Comp	0	2	23	21.8	1.5	32.7	alive	.	.	.	.			
3b	184	old	Comp	0	1	17	17.3	1	17.3	alive	.	.	.	.			
3b	185	young	Comp	0	2	41	21.7	1.7	36.89	alive	.	.	.	.			
3a	186	old	Comp	0	2	26	28.8	2.5	72	alive	.	.	.	.			
3b	187	young	Comp	0	1	21	39.1	2.4	93.84	alive	.	.	.	.			
3a	188	old	Comp	0	7	61	24.2	1	24.2	alive	.	.	.	.			
3b	191	young	Comp	0	2	51	37.3	1.4	52.22	alive	.	.	.	.			
3b	192	old	Comp	0	2	30	19.5	1.2	23.4	alive	.	.	.	.			
3b	193	young	Comp	0	1	34	31	1.8	55.8	alive	.	.	.	.			
3a	194	old	Comp	0	8	74	29.5	1.7	50.15	alive	.	.	.	.			
3a	195	young	Comp	0	1	28	33	1.7	56.1	alive	.	.	.	.			
3a	197	young	Comp	0	1	19	36.3	3	108.9	alive	.	.	.	.			
3a	198	old	Comp	0	6	75	20.7	1.5	31.05	alive	.	.	.	.			
3a	199	young	Comp	0	2	40	28.6	1.2	34.32	alive	.	.	.	.			
3b	200	old	Comp	0	7	62	26.2	0.9	23.58	alive	.	.	.	.			
3a	201	young	Comp	0	5	42	30.7	1.5	46.05	alive	.	.	.	.			
3b	202	old	Comp	0	3	40	27.6	0.7	19.32	alive	.	.	.	.			
3a	203	young	Comp	0	5	53	20.7	1.7	35.19	alive	.	.	.	.			
3a	204	old	Comp	0	6	61	22.9	1	22.9	alive	.	.	.	.			
