block	mesocosm	light	precipitation	nutrients	species	speciesgroup	sugar.perc	starch.perc	NSC.perc	C.perc	N.perc	CN.ratio	delta13C.perm
3	48	L40	P50	Nhi	3	EC	8.4	15.5	23.89	45.14	1.456	31.00274725	-29.16
3	48	L40	P50	Nhi	6	DB	10	6.7	16.74	44.52	2.117	21.02975909	-30.03
3	48	L40	P50	Nhi	2	EC	8.9	7.7	16.61	43.96	1.826	24.07447974	-29.64
3	48	L40	P50	Nhi	7	DB	9	14	23.05	42.46	2.328	18.23883162	-28.91
3	48	L40	P50	Nhi	8	DB	6.8	12.4	19.22	44.56	1.952	22.82786885	-29.35
1	9	L40	P50	Nlo	3	EC	9.5	11.3	20.76	45.26	1.283	35.27669525	-28.06
1	9	L40	P50	Nlo	4	EC	5.5	8.7	14.25	45.92	1.239	37.06214689	-28.23
1	9	L40	P50	Nlo	7	DB	9.4	11.9	21.31	43.02	1.533	28.06262231	-28.6
1	9	L40	P50	Nlo	8	DB	8.1	9.9	18.02	41.54	1.453	28.58912595	-30.4
1	9	L40	P50	Nlo	6	DB	8.7	10.9	19.61	43.98	1.469	29.93873383	-29.86
1	9	L40	P50	Nlo	1	EC	7.8	22.8	30.58	45.11	1.036	43.54247104	-28.98
1	9	L40	P50	Nlo	2	EC	9.4	6.1	15.58	44.92	1.644	27.32360097	-29.64
1	9	L40	P50	Nlo	5	DB	5.3	6.9	12.23	43.32	1.641	26.39853748	-26.9
2	19	L40	P50	Nlo	2	EC	8.9	3.5	8.51	44.33	1.521	29.14529915	-30.97
2	19	L40	P50	Nlo	5	DB	2.5	14.6	17.09	44.3	1.884	23.51380042	-26.73
2	19	L40	P50	Nlo	6	DB	5.5	9.4	14.97	43.65	1.579	27.64407853	-30.65
2	19	L40	P50	Nlo	4	EC	4.9	5.1	10.03	45.65	1.311	34.82074752	-28.96
2	19	L40	P50	Nlo	3	EC	7.8	14.6	22.42	45.03	1.323	34.03628118	-28.99
2	19	L40	P50	Nlo	8	DB	5.8	18.1	23.94	42.07	1.846	22.78981582	-32.21
2	19	L40	P50	Nlo	1	EC	7.7	11	18.69	45.24	1.18	38.33898305	-28.09
2	19	L40	P50	Nlo	7	DB	10.4	8	18.41	43.14	1.912	22.56276151	-29.3
3	47	L40	P50	Nlo	4	EC	4.6	4.1	8.77	45.7	1.585	28.83280757	-29.11
3	47	L40	P50	Nlo	5	DB	5.7	10.4	16.04	43.47	1.387	31.34102379	-27.93
3	47	L40	P50	Nlo	7	DB	9.1	2.9	11.98	43.5	2.074	20.97396336	-29.6
3	47	L40	P50	Nlo	6	DB	7.5	11.8	19.28	43.69	1.651	26.46274985	-29.65
3	47	L40	P50	Nlo	8	DB	6.4	8.5	14.83	44.14	1.907	23.14630309	-30.05
3	47	L40	P50	Nlo	1	EC	5.9	10.7	16.58	45.73	1.207	37.88732394	-28.16
3	47	L40	P50	Nlo	2	EC	6	0.9	6.93	45.32	1.532	29.58224543	-30.82
3	47	L40	P50	Nlo	3	EC	6.2	7.6	13.78	45.18	1.511	29.90072799	-29.82
1	2	L60	P50	Nhi	5	DB	4.1	4.2	8.23	44.39	2.396	18.52671119	-27.57
1	2	L60	P50	Nhi	3	EC	8.3	11.2	19.44	45.11	1.445	31.21799308	-28.36
1	2	L60	P50	Nhi	4	EC	7.7	15	22.73	45.26	1.542	29.35149157	-29.05
1	2	L60	P50	Nhi	1	EC	12.5	9.2	21.69	44.91	1.636	27.45110024	-29.15
1	2	L60	P50	Nhi	2	EC	10.6	10	20.6	44.8	1.924	23.28482328	-29.38
1	2	L60	P50	Nhi	8	DB	8.8	13.8	22.6	43.11	2.239	19.25413131	-28.12
1	2	L60	P50	Nhi	8	DB	4	16.1	20.06	42.19	1.989	21.21166415	-28.35
1	2	L60	P50	Nhi	7	DB	9.3	5.6	14.92	44.56	2.078	21.44369586	-28.15
1	2	L60	P50	Nhi	6	DB	8.7	12.4	21.13	45.16	1.744	25.89449541	-28.07
2	30	L60	P50	Nhi	1	EC	8.2	9.1	17.27	40.86	0.97	42.12371134	-28.79
2	30	L60	P50	Nhi	3	EC	6.8	8	14.73	45.3	1.875	24.16	-28.85
2	30	L60	P50	Nhi	7	DB	11.1	3.7	11.05	43.55	2.67	16.31086142	-27.57
2	30	L60	P50	Nhi	4	EC	7.6	13.6	21.13	46.18	1.657	27.86964393	-28.3
2	30	L60	P50	Nhi	2	EC	9.5	7.2	16.7	45.01	1.624	27.71551724	-29.12
2	30	L60	P50	Nhi	6	DB	8.5	3.6	12.1	44.83	2.212	20.26672694	-28.84
2	30	L60	P50	Nhi	5	DB	2.6	3	5.62	44.51	2.421	18.38496489	-27.05
