ID	block	mesocosm	light	precipitation	nutrients	speciesgroup	species	leafdryweight.g	leaflength.cm	leafwidth.cm	leafarea.cm2	SLA.cm2g
330	3	40	L60	P100	Nhi	DB	5	1.261325	NA	NA	134.485375	106.6223019
331	3	40	L60	P100	Nhi	EC	4	0.0153625	6.96347875	0.128949875	1.795879429	116.9002069
332	3	40	L60	P100	Nhi	EC	3	0.0018625	2.44019375	0.069874188	0.341013111	183.0942879
333	3	40	L60	P100	Nhi	EC	2	0.0041625	2.3093925	0.149416125	0.690120957	165.7948245
334	1	12	L60	P100	Nlo	DB	8	0.0411	NA	NA	6.63157	161.3520681
335	1	12	L60	P100	Nlo	DB	6	0.0257	NA	NA	5.411876667	210.5788586
336	1	12	L60	P100	Nlo	EC	4	0.0131	8.2378975	0.105295813	1.734832221	132.4299405
337	1	12	L60	P100	Nlo	EC	2	0.004528571	2.345384286	0.149912429	0.703204508	155.2817526
338	1	12	L60	P100	Nlo	EC	1	0.0037	2.956074286	0.1091478	0.64529801	174.4048675
339	1	12	L60	P100	Nlo	DB	7	0.1661	NA	NA	22.23969667	133.8934176
340	1	12	L60	P100	Nlo	DB	5	0.285283333	NA	NA	53.80686667	188.6085178
341	1	12	L60	P100	Nlo	EC	3	0.0024125	2.35240875	0.070410913	0.331270493	137.3141941
342	1	12	L60	P100	Nlo	EC	1	0.00275	2.22279375	0.106535538	0.473613054	172.2229287
343	1	12	L60	P100	Nlo	EC	3	0.002175	2.12189	0.06292855	0.267054922	122.7838721
344	1	12	L60	P100	Nlo	DB	7	0.125166667	NA	NA	15.85455667	126.6675632
345	1	12	L60	P100	Nlo	EC	4	0.0222875	9.5855575	0.11754115	2.253394904	101.1057725
346	1	12	L60	P100	Nlo	DB	8	0.21	NA	NA	29.16350667	138.8738413
347	1	12	L60	P100	Nlo	DB	5	0.512175	NA	NA	85.662275	167.2519647
348	1	12	L60	P100	Nlo	EC	2	0.006375	2.3503975	0.159323125	0.748945349	117.4816234
349	1	12	L60	P100	Nlo	DB	6	0.0632	NA	NA	12.78588333	202.3082806
350	2	24	L60	P100	Nlo	EC	1	0.003775	2.54085	0.11734425	0.596308275	157.962457
351	2	24	L60	P100	Nlo	EC	3	0.00135	1.563775	0.06088745	0.190428544	141.0581809
352	2	24	L60	P100	Nlo	EC	4	0.0261875	9.69455	0.130404625	2.528428315	96.55096189
353	2	24	L60	P100	Nlo	DB	8	0.06565	NA	NA	10.3128025	157.0876238
354	2	24	L60	P100	Nlo	EC	2	0.0045125	2.24225125	0.158030125	0.708686491	157.0496378
355	2	24	L60	P100	Nlo	DB	5	0.47675	NA	NA	87.9301	184.4364971
356	2	24	L60	P100	Nlo	DB	6	0.050666667	NA	NA	10.94152667	215.9511842
357	2	24	L60	P100	Nlo	DB	7	0.084266667	NA	NA	15.52195333	184.2003956
358	2	24	L60	P100	Nlo	DB	6	0.0265	NA	NA	4.556533333	171.9446541
359	2	24	L60	P100	Nlo	DB	5	0.3222	NA	NA	56.80286667	176.296917
360	2	24	L60	P100	Nlo	EC	2	0.0059125	2.5284175	0.172017125	0.869862218	147.1225739
361	2	24	L60	P100	Nlo	EC	4	0.0213	10.24470375	0.116041863	2.377629008	111.625775
362	2	24	L60	P100	Nlo	DB	7	0.120033333	NA	NA	21.7982	181.6012219
363	2	24	L60	P100	Nlo	EC	3	0.0015	1.70463	0.0631182	0.215186355	143.4575697
364	2	24	L60	P100	Nlo	EC	1	0.0016625	1.55910625	0.070861075	0.22095989	132.9082044
365	2	24	L60	P100	Nlo	DB	8	0.046	NA	NA	7.96762	173.2091304
366	3	41	L60	P100	Nlo	EC	4	0.0147625	9.8520625	0.104544763	2.059963068	139.5402587
367	3	41	L60	P100	Nlo	EC	2	0.004725	2.00851875	0.158742875	0.637676082	134.9579009
368	3	41	L60	P100	Nlo	EC	3	0.0014125	1.9627775	0.066819525	0.26230372	185.701749
369	3	41	L60	P100	Nlo	DB	6	0.0497	NA	NA	20.06385333	403.6992622
370	3	41	L60	P100	Nlo	EC	1	0.0034125	2.89926	0.096557463	0.559890377	164.0704403
371	3	41	L60	P100	Nlo	DB	5	0.25055	NA	NA	51.3541	204.965476
372	3	41	L60	P100	Nlo	DB	7	0.149125	NA	NA	22.5310675	151.0884661
373	3	41	L60	P100	Nlo	EC	2	0.0037875	2.2035725	0.165163875	0.727901146	192.185121
374	3	41	L60	P100	Nlo	DB	5	0.9712	NA	NA	155.9799333	160.6053679
375	3	41	L60	P100	Nlo	DB	8	0.248733333	NA	NA	38.36556667	154.2437684
376	3	41	L60	P100	Nlo	EC	1	0.0028375	2.16119625	0.098105963	0.424052477	149.4458067
377	3	41	L60	P100	Nlo	DB	7	0.095133333	NA	NA	17.78506	186.9487737
378	3	41	L60	P100	Nlo	DB	8	0.057433333	NA	NA	9.66995	168.368253
379	3	41	L60	P100	Nlo	EC	3	0.002425	2.29810125	0.06283425	0.288798937	119.0923451
380	3	41	L60	P100	Nlo	EC	4	0.0267625	11.28006125	0.115626888	2.608556746	97.47059304
381	3	41	L60	P100	Nlo	DB	6	0.045266667	NA	NA	8.91246	196.8879234
