species,growthForm,dimensions,lambda,SurvivalV,SurvivalS,SurvivalEraw,RecruitV,RecruitS,RecruitEraw,GrowthTotV,GrowthTotS,GrowthTotEraw,TotElas,SurvivalE,RecruitE,GrowthTotE,kingdom,phylum,AngioGymnosperm,dicotMonocot,class,order,family,raunkier,clonality,Country,criteriaSize,criteriaStage,criteriaAge,criteria,temporalReplication,start,end,spatialReplication,ecoregion2
Juniperus procera,Tree,11,1.018716716,0.971818182,1.046277962,1,0.557612489,0.018837081,0.014177948,0.024505004,0.795308028,0.028896487,1.043074435,0.917408704,0.027184921,0.055406375,Plantae,Pinophyta,Gymnosperm,NA,Pinopsida,Pinales,Cupressaceae,Mesophanerophyte,Genet,ETH,DBH,NA,NA,S,1,2003,2003,1,Desert
Cirsium palustre,Herbaceous perennial,6,1.403141805,0.189583167,25.42080722,1,1655.267524,0.000128971,0.317656456,0.601022612,1.528544112,0.58028495,1.897941406,0.053773311,0.334737896,0.611488793,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Asterales,Asteraceae,Hemicryptophyte,Genet,SWE,Rosette diameter & Flower number,Based on size,Yes,S.ST.A,4,2002,2005,2,Temperate grassland
Eupatorium perfoliatum,Herbaceous perennial,5,0.837053835,0.447733253,1.567567928,1,0.046835735,0.241245875,0.031168617,1.492111763,1.25159817,0.464576771,1.495745388,0.337125968,0.041676368,0.621197664,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Asterales,Asteraceae,Helophyte,Ramet,USA,NA,Yes,NA,ST,3,1989,1991,3,Temperate grassland
Plantago media,Herbaceous perennial,5,0.93966528,0.619,1.104280922,1,0.260959792,0.005612469,0.007793354,0.709367028,0.322878522,0.069917537,1.077710891,0.855785273,0.014462791,0.129751935,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Lamiales,Plantaginaceae,Hemicryptophyte,Genet,SWE,Rosette size,Based on size,NA,S,5,1993,1997,2,Temperate grassland
Sequoia sempervirens,Tree,5,0.992171297,0.595772354,1.000131592,1,0.019442346,0.000155896,0.00000151,0.500503983,0.002280137,0.00000378,1.000005294,0.999989412,0.00000302,0.00000757,Plantae,Pinophyta,Gymnosperm,NA,Pinopsida,Pinales,Cupressaceae,Megaphanerophyte,Genet,NA,NA,NA,NA,NA,NA,NA,NA,NA,Temperate forest
Carduus nutans,Herbaceous perennial,4,0.638627377,0.278050084,2.172144296,1,6.919003056,0.067463,0.278009253,0.356498735,3.31867586,0.273757277,1.55176653,0.288853679,0.358313248,0.352833074,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Asterales,Asteraceae,Hemicryptophyte,Genet,FRA,Rosette area,Yes,NA,S.ST,4,1986,1989,3,Temperate forest
Digitalis purpurea,Herbaceous perennial,4,5.50087442,0.4883,2876.073331,1,23271575.6,0.051741027,0.340643313,0.647910986,1083.998919,0.538130855,1.878774168,0.064523898,0.362622948,0.572853155,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Lamiales,Plantaginaceae,Hemicryptophyte,Ramet,NA,NA,Yes,NA,ST,4,1978,1981,1,Temperate forest
Pinus lambertiana,Tree,5,1.027011985,0.90613332,1.110856028,1,0.482426333,0.012667786,0.029752688,0.109585898,0.701345614,0.067827819,1.097580507,0.822189795,0.054215045,0.12359516,Plantae,Pinophyta,Gymnosperm,NA,Pinopsida,Pinales,Pinaceae,Megaphanerophyte,Genet,USA,DBH,NA,NA,S,21,1983,2003,15,Temperate forest
Calochortus pulchellus,Herbaceous perennial,4,1.114977187,0.815,1.307546057,1,4.69329494,0.034567472,0.085922702,0.241937316,2.11742149,0.163868368,1.24979107,0.600267475,0.137499305,0.26223322,Plantae,Magnoliophyta,Angiosperm,Monocot,Liliopsida,Liliales,Liliaceae,Geophyte,Genet,USA,Basal leaf maximum width,NA,NA,S,3,1981,1983,1,Temperate forest
Lobularia maritima,Herbaceous perennial,5,1.05014716,0.62790032,1.909213685,1,19.46278436,0.098657257,0.124736393,0.448064152,2.460628707,0.164410635,1.289147028,0.551413421,0.193517714,0.255068865,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Brassicales,Brassicaceae,Hemicryptophyte,Genet,ESP,Flowering stalk number,Based on size,NA,S,6,1993,1998,1,Temperate forest
