location,individual,RH,AGB,LA,SLA,LDMC,FvFm,PI,SPS,SPI
Sa,Sa_08,32.10,,1040.80,14.01,278.64,0.83,6.45,278.51,2.48
Sa,Sa_09,30.20,2.34,831.49,15.61,284.15,0.85,10.78,195.05,4.71
Sa,Sa_10,40.30,1.98,1538.96,12.88,300.81,0.85,14.56,276.67,1.98
Sa,Sa_11,23.30,0.38,612.11,17.12,274.89,0.83,8.43,204.49,2.02
Sa,Sa_12,20.90,0.46,594.78,15.80,302.65,0.84,10.27,210.80,3.33
Sa,Sa_13,14.00,0.33,545.38,17.45,262.61,0.82,3.61,262.36,2.48
Sa,Sa_14,31.40,1.16,766.87,17.53,263.24,0.83,5.26,228.79,2.7
Sa,Sa_15,29.30,1.33,1074.77,14.60,293.40,0.84,11.19,228.14,3.31
Sa,Sa_16,55.60,1.48,1395.95,14.71,258.79,0.85,9.58,209.16,2.49
Sa,Sa_17,38.90,0.98,974.56,15.61,249.45,0.86,15.53,227.02,2.62
Sa,Sa_18,30.00,0.55,796.06,14.30,305.52,0.85,13.76,265.31,1.85
Sa,Sa_19,45.00,0.98,1502.85,15.70,252.61,0.85,10.61,247.64,2.61
Sa,Sa_20,30.40,0.46,805.39,18.95,243.83,0.84,8.29,281.12,2.52
If,If_01,43.40,1.04,1251.48,15.20,266.85,0.84,7.25,209.28,1.92
If,If_02,38.20,0.55,693.52,16.83,280.08,0.84,4.45,207.34,2.41
If,If_03,37.30,1.13,871.12,12.67,294.56,0.85,10.37,270.09,2.19
If,If_04,39.80,0.94,835.36,15.04,286.27,0.85,10.10,267.12,1.57
If,If_05,33.30,1.04,441.86,14.95,291.85,0.85,11.61,285.81,2.05
If,If_06,37.10,0.87,467.82,17.23,279.61,0.84,8.16,196.33,3.75
If,If_07,49.50,1.67,567.42,13.64,320.25,0.82,4.42,235.44,2.97
If,If_08,33.90,0.47,509.25,16.27,280.72,0.83,3.94,225.40,3.23
If,If_09,52.20,2.04,814.61,13.71,274.94,0.84,7.62,226.71,2.94
If,If_10,37.10,1.17,493.51,16.67,286.13,0.84,7.22,222.65,2.35
