Original.F,Location.T,coords.x1,coords.x2
C_undulatum_LL_&_UTM,Single Plant,403684.042,6463296.394
C_undulatum_LL_&_UTM,Single Plant,403679.817,6463293.361
C_undulatum_LL_&_UTM,Single Plant,403675.926,6463285.01
C_undulatum_LL_&_UTM,Single Plant,403667.808,6463284.047
C_undulatum_LL_&_UTM,Single Plant,403659.279,6463286.516
C_undulatum_LL_&_UTM,Single Plant,403667.146,6463284.04
C_undulatum_LL_&_UTM,Single Plant,403668.094,6463283.717
C_undulatum_LL_&_UTM,Single Plant,403668.76,6463283.28
C_undulatum_LL_&_UTM,Single Plant,403672.359,6463282.427
C_undulatum_LL_&_UTM,Single Plant,403677.767,6463280.26
C_undulatum_LL_&_UTM,Single Plant,403673.308,6463282.103
C_undulatum_LL_&_UTM,Single Plant,403671.128,6463282.748
C_undulatum_LL_&_UTM,Single Plant,403670.467,6463282.631
C_undulatum_LL_&_UTM,Single Plant,403669.519,6463282.954
C_undulatum_LL_&_UTM,Single Plant,403669.8,6463283.289
C_undulatum_LL_&_UTM,Single Plant,403669.7,6463283.843
C_undulatum_LL_&_UTM,Single Plant,403670.267,6463283.848
C_undulatum_LL_&_UTM,Single Plant,403670.178,6463283.293
C_undulatum_LL_&_UTM,Single Plant,403669.69,6463284.84
C_undulatum_LL_&_UTM,Single Plant,403644.089,6463574.607
C_undulatum_LL_&_UTM,Single Plant,403644.363,6463575.608
C_undulatum_LL_&_UTM,Single Plant,403644.736,6463576.166
C_undulatum_LL_&_UTM,Single Plant,403645.206,6463576.503
C_undulatum_LL_&_UTM,Single Plant,403644.831,6463576.166
C_undulatum_LL_&_UTM,Single Plant,403646.154,6463576.179
C_undulatum_LL_&_UTM,Single Plant,403647.381,6463576.301
C_undulatum_LL_&_UTM,Single Plant,403644.271,6463575.385
C_undulatum_LL_&_UTM,Single Plant,403642.013,6463574.255
C_undulatum_LL_&_UTM,Single Plant,403642.2,6463574.479
C_undulatum_LL_&_UTM,Single Plant,403646.639,6463574.853
C_undulatum_LL_&_UTM,Single Plant,403646.45,6463574.851
C_undulatum_LL_&_UTM,Single Plant,403646.915,6463575.632
C_undulatum_LL_&_UTM,Single Plant,403646.92,6463575.078
C_undulatum_LL_&_UTM,Single Plant,403647.109,6463575.079
C_undulatum_LL_&_UTM,Single Plant,403644.263,6463576.272
C_undulatum_LL_&_UTM,Single Plant,403644.552,6463575.61
C_undulatum_LL_&_UTM,Single Plant,403644.554,6463575.388
C_undulatum_LL_&_UTM,Single Plant,403644.273,6463575.163
C_undulatum_LL_&_UTM,Single Plant,403643.896,6463575.049
C_undulatum_LL_&_UTM,Single Plant,403645.034,6463574.616
C_undulatum_LL_&_UTM,Single Plant,403645.814,6463572.074
C_undulatum_LL_&_UTM,Single Plant,403645.725,6463571.519
C_undulatum_LL_&_UTM,Single Plant,403645.242,6463572.623
C_undulatum_LL_&_UTM,Single Plant,403643.926,6463571.834
C_undulatum_LL_&_UTM,Single Plant,403644.773,6463572.286
C_undulatum_LL_&_UTM,Single Plant,403646.488,6463570.75
C_undulatum_LL_&_UTM,Single Plant,403645.363,6463569.853
C_undulatum_LL_&_UTM,Single Plant,403644.131,6463570.173
C_undulatum_LL_&_UTM,Single Plant,403643.654,6463570.612
