"dryad_dataset_doi","dryad_version_id","dryad_file_id","source_file_path","original_row_number","scrubbed_species_binomial","raw_taxon","trait_name","raw_trait_name","trait_value","raw_trait_value","unit","raw_unit","standard_unit","expected_unit_class","latitude","longitude","elevation_m","date_collected","source_column_taxon","source_column_trait_name","source_column_trait_value","source_column_unit","qa_flags"
"doi:10.5061/dryad.s8f38",13999,52417,"DryadPlantTraits/output/downloads/v13999/FEBuzzardSpTraits.csv",242,"Guazuma ulmifolia","Guazuma ulmifolia","leaf_dry_matter_content","LDMC","0.37175597","0.37175597","mg_per_g",,"mg_per_g","ratio",,,,,"species","LDMC","LDMC",,"P2_VALUE_OUT_OF_RANGE[cited_range:10_to_990,got:0.371756]"
"doi:10.5061/dryad.s8f38",13999,52417,"DryadPlantTraits/output/downloads/v13999/FEBuzzardSpTraits.csv",55,"Genipa americana","Genipa americana","leaf_dry_matter_content","LDMC","0.292235255","0.292235255","mg_per_g",,"mg_per_g","ratio",,,,,"species","LDMC","LDMC",,"P2_VALUE_OUT_OF_RANGE[cited_range:10_to_990,got:0.292235]"
"doi:10.5061/dryad.s8f38",13999,52417,"DryadPlantTraits/output/downloads/v13999/FEBuzzardSpTraits.csv",75,"Cochlospermum vitifolium","Cochlospermum vitifolium","specific_leaf_area","SLA","175.2968425","175.2968425","mm2_per_mg",,"mm2_per_mg","ratio",,,,,"species","SLA","SLA",,""
"doi:10.5061/dryad.5j618",15847,56053,"/var/folders/hh/hv60fv4x0nb1zhgd0y12pzq80000gn/T//Rtmp6hNHV3/dryad_extract_11172cf63e2d/File_2.txt",10,,"Cerastium_fontanum","plant_height","Height","7.8","7.8","m",,"m","length",,,,,"Species","Height","Height",,"P1_SPECIES_UNRESOLVED"
"doi:10.5061/dryad.5j618",15847,56053,"/var/folders/hh/hv60fv4x0nb1zhgd0y12pzq80000gn/T//Rtmp6hNHV3/dryad_extract_11172cf63e2d/File_2.txt",16,,"Festuca_microphylla","plant_height","Height","27","27","m",,"m","length",,,,,"Species","Height","Height",,"P1_SPECIES_UNRESOLVED"
"doi:10.5061/dryad.5j618",15847,56053,"/var/folders/hh/hv60fv4x0nb1zhgd0y12pzq80000gn/T//Rtmp6hNHV3/dryad_extract_11172cf63e2d/File_2.txt",25,,"Moenchia_erecta","plant_height","Height","6","6","m",,"m","length",,,,,"Species","Height","Height",,"P1_SPECIES_UNRESOLVED"
"doi:10.5061/dryad.5j618",15847,56053,"/var/folders/hh/hv60fv4x0nb1zhgd0y12pzq80000gn/T//Rtmp6hNHV3/dryad_extract_11172cf63e2d/File_2.txt",4,,"Arenaria_montana","plant_height","Height","20","20","m",,"m","length",,,,,"Species","Height","Height",,"P1_SPECIES_UNRESOLVED"
"doi:10.5061/dryad.5j618",15847,56053,"/var/folders/hh/hv60fv4x0nb1zhgd0y12pzq80000gn/T//Rtmp6hNHV3/dryad_extract_11172cf63e2d/File_2.txt",23,,"Merendera_montana","plant_height","Height","6","6","m",,"m","length",,,,,"Species","Height","Height",,"P1_SPECIES_UNRESOLVED"
"doi:10.5061/dryad.nm13c",16126,56557,"/var/folders/hh/hv60fv4x0nb1zhgd0y12pzq80000gn/T//Rtmp6hNHV3/dryad_extract_111727a6c0300/community.txt",408,,,"photosynthetic_rate","Asat","0","0","umol_co2_per_m2_per_s",,"umol_co2_per_m2_per_s","gas_exchange",,,,,,"Asat","Asat",,"P1_SPECIES_UNRESOLVED|P2_VALUE_OUT_OF_RANGE[cited_range:0.1_to_60,got:0]"
"doi:10.5061/dryad.nm13c",16126,56557,"/var/folders/hh/hv60fv4x0nb1zhgd0y12pzq80000gn/T//Rtmp6hNHV3/dryad_extract_111727a6c0300/community.txt",419,,,"photosynthetic_rate","Asat","0","0","umol_co2_per_m2_per_s",,"umol_co2_per_m2_per_s","gas_exchange",,,,,,"Asat","Asat",,"P1_SPECIES_UNRESOLVED|P2_VALUE_OUT_OF_RANGE[cited_range:0.1_to_60,got:0]"
"doi:10.5061/dryad.nm13c",16126,56557,"/var/folders/hh/hv60fv4x0nb1zhgd0y12pzq80000gn/T//Rtmp6hNHV3/dryad_extract_111727a6c0300/community.txt",357,,,"photosynthetic_rate","Asat","0","0","umol_co2_per_m2_per_s",,"umol_co2_per_m2_per_s","gas_exchange",,,,,,"Asat","Asat",,"P1_SPECIES_UNRESOLVED|P2_VALUE_OUT_OF_RANGE[cited_range:0.1_to_60,got:0]"
