phylo.name,Species notes,leaf.fresh.weight.g,leaf.dry.weight.g,root.dry.weight.g,stem.dry.weight.g,leaf.area.cm.sq,experiment,all.dry.weight.g,block,harvest.minus.germ.date,average.seed.weight
Brachypodium_pinnatum,,0.0043,0.0013,0.00114,0.00071,0.4323,A,0.00315,4,12,0.00217156
Brachypodium_pinnatum,,0.0232,0.0069,0.00902,0.00181,2.2949,A,0.01773,8,30,0.00217156
Brachypodium_pinnatum,,0.2805,0.0831,0.0921,0.0329,21.8278,A,0.2081,7,51,0.00217156
Brachypodium_pinnatum,,0.0863,0.0257,0.01684,0.00925,7.2583,A,0.05179,5,35,0.00217156
Brachypodium_pinnatum,,0.0172,0.0054,0.00859,0.00097,1.7852,A,0.01496,1,26,0.00217156
Brachypodium_pinnatum,,0.0265,0.0093,0.00757,0.00303,2.1939,A,0.0199,2,35,0.00217156
Brachypodium_pinnatum,,0.1562,0.047,0.04813,0.02112,10.9244,A,0.11625,8,54,0.00217156
Brachypodium_pinnatum,,0.0262,0.0067,0.00524,0.00186,2.3491,A,0.0138,4,15,0.00217156
Brachypodium_sylvaticum,,0.054,0.0197,0.016,0.00201,5.4748,B,0.03771,5,47,0.003309375
Brachypodium_sylvaticum,,0.0018,0.00051,0.00038,0.00039,0.2253,B,0.00128,8,11,0.003309375
Brachypodium_sylvaticum,,0.0088,0.00327,0.0024,0.00084,0.9866,B,0.00651,3,22,0.003309375
Brachypodium_sylvaticum,,0.0035,0.00101,0.00126,0.00201,0.4189,B,0.00428,2,16,0.003309375
Brachypodium_sylvaticum,,0.0263,0.0108,0.006,0.004,2.2653,B,0.0208,3,44,0.003309375
Brachypodium_sylvaticum,,3.00E-04,0.00022,0.00038,0.00037,0.3099,B,0.00097,6,32,0.003309375
Brachypodium_sylvaticum,,0.0259,0.0061,0.0047,0.00194,2.1249,B,0.01274,5,24,0.003309375
Brachypodium_sylvaticum,,6.00E-04,0.00015,5.00E-04,0.00011,0.0633,B,0.00076,5,9,0.003309375
Brachypodium_sylvaticum,,0.0576,0.0209,0.01525,0.0053,6.6818,B,0.04145,8,43,0.003309375
Brachypodium_sylvaticum,,0.0148,0.00438,0.004,0.00158,1.6105,B,0.00996,3,31,0.003309375
Briza_maxima,,0.0239,0.004,0.00334,0.00129,1.5481,A,0.00863,6,17,0.000849057
Briza_maxima,,0.8216,0.1447,0.05752,0.12432,45.7169,A,0.32654,3,59,0.000849057
Briza_maxima,,0.0068,0.00086,0.00074,0.00012,0.5598,A,0.00172,1,10,0.000849057
Briza_maxima,,0.0089,0.00107,0.00101,0.00059,0.5634,A,0.00267,1,17,0.000849057
Briza_maxima,,0.009,0.00125,0.00071,1.00E-05,0.7562,A,0.00197,5,10,0.000849057
Briza_maxima,,0.017,0.0068,0.0043,0.00143,1.2695,A,0.01253,1,24,0.000849057
Briza_maxima,,0.0966,0.0155,0.01199,0.00426,5.5571,A,0.03175,2,24,0.000849057
Briza_maxima,,0.335,0.0583,0.06299,0.02055,19.4595,A,0.14184,8,40,0.000849057
Briza_maxima,,0.2334,0.0471,0.04667,0.01118,13.2727,A,0.10495,4,31,0.000849057
Briza_maxima,,0.3225,0.0557,0.0205,0.0152,16.3399,A,0.0914,5,31,0.000849057
Briza_subaristata,,0.0438,0.0072,0.0154,0.0012,2.2234,B,0.0238,8,43,0.000353982
Briza_subaristata,,0.0061,0.00278,0.0015,0.00122,1.1027,B,0.0055,1,52,0.000353982
Briza_subaristata,,0.0014,0.00035,0.00063,0.00029,0.1416,B,0.00127,4,17,0.000353982
Briza_subaristata,,0.0028,0.00085,7.00E-04,0.00031,0.2231,B,0.00186,7,22,0.000353982
Briza_subaristata,,0.009,0.00249,0.0028,9.00E-04,0.7259,B,0.00619,3,25,0.000353982
Briza_subaristata,,0.0012,0.00041,0.00048,0.00017,0.1345,B,0.00106,7,18,0.000353982
Briza_subaristata,,0.0093,0.00262,0.0024,0.0012,0.8549,B,0.00622,8,45,0.000353982
Briza_subaristata,,7.00E-04,0.00021,0.00024,1.00E-05,0.0954,B,0.00046,1,17,0.000353982
Briza_uniolae,,0.0068,0.00178,6.00E-04,0.00029,0.5758,A,0.00267,3,24,0.000128571
Briza_uniolae,,9.00E-04,0.00057,0.00041,1.00E-05,0.117,A,0.00099,8,17,0.000128571
Briza_uniolae,,0.0023,0.00017,0.00044,1.00E-05,0.2829,A,0.00062,5,14,0.000128571
