spname,EIV.L,EIV.N,plhtclassvalue (cm),leaf area (mm2),nla,seedmass (gr),nsm
Galeopsis ladanum,8,3,48.05,630.9573445,5,1.202264435,1
Lappula squarrosa,8,6,48.05,912.0108394,2,1.288249552,1
Petrorhagia prolifera,8,2,48.05,60.25595861,3,0.323593657,9
Polypogon monspeliensis,8,6,48.05,269.1534804,5,0.079432823,1
Senecio viscosus,8,4,48.05,1737.800829,4,0.512861384,7
Tragopogon hybridus,8,5,48.05,1174.897555,1,12.02264435,2
Amaranthus retroflexus,8,7,96.05,3981.071706,9,0.407380278,5
Chenopodium murale,8,9,96.05,912.0108394,6,0.645654229,4
Phalaris canariensis,8,6,96.05,1047.128548,3,6.025595861,6
Sisymbrium altissimum,8,4,96.05,3630.780548,3,0.229086765,2
Sisymbrium officinale,8,7,96.05,3388.441561,8,0.26915348,4
Vicia faba,8,7,96.05,10715.19305,1,1380.384265,1
Phalaris minor,8,5,96.05,562.3413252,6,1.202264435,12
Amaranthus hybridus,8,7,96.05,4168.693835,1,0.45708819,3
Anthriscus caucalis,8,6,96.05,3019.95172,8,1.174897555,3
Atriplex prostrata,8,9,96.05,2290.867653,11,0.87096359,4
Bidens cernua,8,9,96.05,1348.962883,5,1,6
Bidens tripartita,8,8,96.05,1905.460718,8,2.691534804,6
Bupleurum rotundifolium,8,4,96.05,1659.586907,7,2.818382931,6
Carduus tenuiflorus,8,4,96.05,4168.693835,1,3.235936569,1
Chenopodium rubrum,8,9,96.05,1995.262315,9,0.089125094,6
Conyza canadensis,8,5,96.05,602.5595861,3,0.043651583,7
Descurainia sophia,8,6,96.05,501.1872336,9,0.107151931,8
Eruca vesicaria,8,6,96.05,3235.936569,7,1.047128548,3
Fumaria bastardii,8,6,96.05,933.2543008,1,2.511886432,2
Fumaria densiflora,8,5,96.05,1348.962883,5,3.090295433,2
Hordeum distichon,8,7,96.05,2238.721139,2,58.88436554,1
Linum bienne,8,5,96.05,48.97788194,4,1.412537545,4
Rumex maritimus,8,9,96.05,2884.031503,5,0.213796209,3
Senecio sylvaticus,8,8,96.05,3715.352291,2,0.245470892,5
Brassica nigra,8,7,192.5,8317.637711,4,1.230268771,4
Setaria italica,8,8,192.5,5370.317964,2,0.758577575,1
Chenopodium album,8,6,192.5,1318.256739,13,0.660693448,11
