",""species"",""region"",""biome"",""spines"",""hmax"",""sla"",""woo"",""ref.sla"",""ref.woo"",""ref.hmax"",""mat"",""map"",""rs"",""nfires"",""avgfrp"",""cec"",""cly"",""crf"",""orc"",""ph"",""slt"",""snd"""
"34,""Pouteria reticulata"",""Neotropical"",""forest"",""n"",NA,NA,0.793956682,"""",""Zanneetal2009"","""",24.3128215384615,1826,56.8284523076923,23.0617507692308,15.4122118461538,31.1923076923077,36.4153846153846,11.8153846153846,38.6384615384615,62.3692307692308,23.5461538461538,40.0461538461538"
"35,""Pouteria glomerata"",""Neotropical"",""forest"",""n"",NA,NA,0.678915924,"""",""Zanneetal2009"","""",23.5906941176471,1681.76470588235,61.1823323529412,21.8715705882353,20.2573926470588,17.3181818181818,31.9545454545455,7.42424242424242,21.3333333333333,57.1515151515151,25.4393939393939,42.7878787878788"
"36,""Pouteria ambelaniifolia"",""Neotropical"",""forest"",""n"",NA,NA,0.6969147,"""",""Zanneetal2009"","""",26.60584,2255.8,40.88354,0.39772,1.71,8.8,35.1,3.9,28.6,45.7,20.7,44.3"
"37,""Pouteria manaosensis"",""Neotropical"",""forest"",""n"",NA,NA,0.64,"""",""Zanneetal2009"","""",26.175,2309.5,60.8249,13.9026,14.43335,8.75,38.25,5.25,13,48.5,22.5,39"
"38,""Pouteria ephedrantha"",""Neotropical"",""forest"",""n"",NA,NA,0.757598353,"""",""Zanneetal2009"","""",22.13335,2217.5,55.32665,2.48575,7.74,18.75,31,14.5,28.75,54,25.25,43.25"
"39,""Pouteria atabapoensis"",""Neotropical"",""forest"",""n"",NA,NA,0.45,"""",""Zanneetal2009"","""",26.8917,3034,21.7946,0,0,9.5,25.5,1,44.5,43.5,26,49"
"40,""Pouteria minima"",""Neotropical"",""forest"",""n"",NA,NA,0.755779117,"""",""Zanneetal2009"","""",26.5472333333333,2341.33333333333,62.4787,61.6387333333333,10.3583333333333,7.16666666666667,34.6666666666667,5.66666666666667,27.5,45.6666666666667,18.1666666666667,47.3333333333333"
"41,""Pouteria engleri"",""Neotropical"",""forest"",""n"",NA,NA,0.77422,"""",""Zanneetal2009"","""",26.0486333333333,2417,40.8391333333333,0.9919,2.97777666666667,7.75,42.5,8.75,14,46.5,23,34"
"42,""Pouteria altissima"",""Afrotropical"",""forest"",""n"",50,NA,0.44147775,"""",""Zanneetal2009"",""JStorPlants"",23.0708411764706,1879.29411764706,71.3989941176471,49.2313470588235,27.03734,16.3823529411765,33.4411764705882,18.0882352941176,21.7647058823529,52.0588235294118,21.8823529411765,44.5294117647059"
"43,""Pouteria ramiflora"",""Neotropical"",""savanna"",""n"",NA,8.781886236,NA,""Batalaetal2011/Cianciarusoetal2013/Miatto&Batala2016"","""","""",23.7975106382979,1340,80.8464234042553,38.9371744680851,39.9876042553191,8.11702127659574,28.3829787234043,4.38297872340426,12.031914893617,54.6702127659574,17.2234042553191,54.3510638297872"
