Block,Species_source,Plant_Number,Rust_4th,Rust_17th,Height
2,41,Plant2,0,0,73
2,41,Plant3,0,0,59
2,41,Plant4,0,0,71
2,41,Plant5,0,0,80
2,20,Plant1,2,2,61
2,20,Plant2,3,2,66
2,20,Plant3,0,0,NA
2,20,Plant4,3,2,71
2,20,Plant5,3,1,76
2,8,Plant1,2,1,46
2,8,Plant2,0,0,NA
2,8,Plant3,1,0,85
2,8,Plant4,1,1,64
2,8,Plant5,1,1,67
2,23,Plant1,1,1,67
2,23,Plant2,0,0,61
2,23,Plant3,1,0,23
2,23,Plant4,1,1,57
2,23,Plant5,0,0,69
2,42,Plant1,1,0,75
2,42,Plant2,0,0,70
2,42,Plant3,1,1,55
2,42,Plant4,1,1,63
2,42,Plant5,4,4,60
2,18,Plant1,4,3,82
2,18,Plant2,3,2,73
2,18,Plant3,4,3,79
2,18,Plant4,0,0,NA
2,18,Plant5,3,2,77
2,12,Plant1,3,3,78
2,12,Plant2,2,1,53
2,12,Plant3,3,2,57
2,12,Plant4,3,3,62
2,12,Plant5,3,3,67
2,3,Plant1,0,0,64
2,3,Plant2,0,0,57
2,3,Plant3,0,0,NA
2,3,Plant4,0,0,55
2,3,Plant5,0,0,46
2,31,Plant1,0,0,NA
2,31,Plant2,0,0,NA
2,31,Plant3,1,1,67
2,31,Plant4,3,2,85
2,31,Plant5,3,3,64
2,27,Plant1,3,2,73
2,27,Plant2,2,1,71
2,27,Plant3,2,2,67
2,27,Plant4,3,1,70
2,27,Plant5,0,0,NA
2,26,Plant1,2,0,40
2,26,Plant2,1,1,54
2,26,Plant3,0,0,NA
2,26,Plant4,1,0,60
2,26,Plant5,1,1,70
2,2,Plant1,0,0,48
2,2,Plant2,0,0,66
2,2,Plant3,0,0,66
2,2,Plant4,0,0,62
2,2,Plant5,0,0,56
2,21,Plant1,0,0,67
2,21,Plant2,1,0,33
2,21,Plant3,2,1,70
2,21,Plant4,2,1,54
2,21,Plant5,1,1,31
2,16,Plant1,0,0,NA
2,16,Plant2,0,0,NA
2,16,Plant3,2,1,68
2,16,Plant4,0,0,NA
2,16,Plant5,0,0,NA
2,14,Plant1,5,4,52
2,14,Plant2,3,3,73
2,14,Plant3,3,2,56
2,14,Plant4,0,0,NA
2,14,Plant5,0,0,NA
2,36,Plant1,1,0,56
2,36,Plant2,2,0,56
2,36,Plant3,0,0,NA
2,36,Plant4,0,0,NA
2,36,Plant5,0,0,NA
2,17,Plant1,2,1,71
2,17,Plant2,2,2,76
2,17,Plant3,0,0,22
2,17,Plant4,3,2,63
2,17,Plant5,4,3,72
