source,block,row,plot,rep,sd_wt_50_ct,num_seeds,notes
14,8,42,2,2,0.1198,38,38 seeds
14,8,42,2,3,NA,NA,NA
14,8,42,2,4,NA,NA,NA
15,1,4,8,1,0.145,NA,NA
15,1,4,8,2,0.1442,NA,NA
15,1,4,8,3,0.1444,NA,NA
15,1,4,8,4,0.146,NA,NA
15,2,10,6,1,0.1464,NA,NA
15,2,10,6,2,0.146,NA,NA
15,2,10,6,3,0.1442,NA,NA
15,2,10,6,4,0.144,NA,NA
15,3,13,5,1,0.1467,NA,NA
15,3,13,5,2,0.146,NA,NA
15,3,13,5,3,0.1463,NA,NA
15,3,13,5,4,0.1475,NA,NA
15,5,25,1,1,0.1415,NA,NA
15,5,25,1,2,0.1415,NA,NA
15,5,25,1,3,0.1408,NA,NA
15,5,25,1,4,0.1399,NA,NA
15,6,28,8,1,0.1306,NA,NA
15,6,28,8,2,0.1307,NA,NA
15,6,28,8,3,0.1305,NA,NA
15,6,28,8,4,0.1308,NA,NA
15,7,34,1,1,0.138,NA,NA
15,7,34,1,2,0.1393,NA,NA
15,7,34,1,3,0.1376,NA,NA
15,7,34,1,4,0.1375,NA,NA
15,8,39,3,1,0.1442,NA,NA
15,8,39,3,2,0.1434,NA,NA
15,8,39,3,3,0.143,NA,NA
15,8,39,3,4,0.1433,NA,NA
16,1,3,4,1,0.128,NA,NA
16,1,3,4,2,0.1287,NA,NA
16,1,3,4,3,0.131,NA,NA
16,1,3,4,4,0.1311,NA,NA
16,2,9,7,1,0.1441,NA,NA
16,2,9,7,2,0.1421,NA,NA
16,2,9,7,3,0.1418,NA,NA
16,2,9,7,4,0.1427,NA,NA
16,3,15,4,1,0.1503,NA,NA
16,3,15,4,2,0.1487,NA,NA
16,3,15,4,3,0.1485,NA,NA
16,3,15,4,4,0.1507,NA,NA
16,4,18,1,1,0.1319,NA,NA
16,4,18,1,2,0.1317,NA,NA
16,4,18,1,3,0.1326,NA,NA
16,4,18,1,4,0.1315,NA,NA
16,5,23,7,1,0.1234,NA,NA
16,5,23,7,2,0.1222,NA,NA
16,5,23,7,3,0.1223,NA,NA
16,5,23,7,4,0.1218,NA,NA
16,6,29,7,1,0.1353,NA,NA
16,6,29,7,2,0.1351,NA,NA
16,6,29,7,3,0.1352,NA,NA
16,6,29,7,4,0.1356,NA,NA
16,7,36,3,1,0.1284,NA,NA
16,7,36,3,2,0.1281,NA,NA
16,7,36,3,3,0.1274,NA,NA
16,7,36,3,4,0.1275,NA,NA
16,8,39,2,1,0.1478,NA,NA
16,8,39,2,2,0.1465,NA,NA
16,8,39,2,3,0.1465,NA,NA
16,8,39,2,4,0.1479,NA,NA
17,1,5,7,1,0.1379,NA,NA
17,1,5,7,2,0.1387,NA,NA
17,1,5,7,3,0.1368,NA,NA
17,1,5,7,4,0.1378,NA,NA
17,2,10,2,1,0.1602,NA,NA
17,2,10,2,2,0.1619,NA,NA
17,2,10,2,3,0.1609,NA,NA
17,2,10,2,4,0.1595,NA,NA
17,3,15,3,1,0.1492,NA,NA
17,3,15,3,2,0.1483,NA,NA
17,3,15,3,3,0.1477,NA,NA
17,3,15,3,4,0.149,NA,NA
17,4,19,2,1,0.1546,NA,NA
17,4,19,2,2,0.1545,NA,NA
17,4,19,2,3,0.1538,NA,NA
17,4,19,2,4,0.153,NA,NA
17,5,23,3,1,0.1536,NA,NA
17,5,23,3,2,0.1541,NA,NA
17,5,23,3,3,0.1538,NA,NA
17,5,23,3,4,0.1532,NA,NA
17,6,32,6,1,0.152,NA,NA
17,6,32,6,2,0.1519,NA,NA
17,6,32,6,3,0.1528,NA,NA
17,6,32,6,4,0.1538,NA,NA
17,7,33,8,1,0.1411,NA,NA
17,7,33,8,2,0.1407,NA,NA
17,7,33,8,3,0.1405,NA,NA
17,7,33,8,4,0.1414,NA,NA
17,8,39,6,1,0.1549,NA,NA
17,8,39,6,2,0.1535,NA,NA
17,8,39,6,3,0.1541,NA,NA
17,8,39,6,4,0.1549,NA,NA
18,1,2,8,1,0.1106,NA,NA
18,1,2,8,2,0.1115,NA,NA
18,1,2,8,3,0.1111,NA,NA
18,1,2,8,4,0.1113,NA,NA
18,2,8,7,1,0.1161,NA,NA
18,2,8,7,2,0.117,NA,NA
18,2,8,7,3,0.1177,NA,NA
18,2,8,7,4,0.1168,NA,NA
18,3,16,5,1,0.1313,NA,NA
18,3,16,5,2,0.1314,NA,NA
18,3,16,5,3,0.1312,NA,NA
18,3,16,5,4,0.132,NA,NA
18,4,20,7,1,0.1088,NA,NA
18,4,20,7,2,0.108,NA,NA
18,4,20,7,3,0.108,NA,NA
18,4,20,7,4,0.1085,NA,NA
18,5,26,4,1,0.1214,NA,NA
18,5,26,4,2,0.1226,NA,NA
18,5,26,4,3,0.1216,NA,NA
18,5,26,4,4,0.1209,NA,NA
18,6,30,6,1,0.1191,NA,NA
18,6,30,6,2,0.1199,NA,NA
18,6,30,6,3,0.1204,NA,NA
18,6,30,6,4,0.1195,NA,NA
18,7,33,4,1,0.1095,NA,NA
18,7,33,4,2,0.1092,NA,NA
18,7,33,4,3,0.1081,NA,NA
18,7,33,4,4,0.1084,NA,NA
18,8,38,3,1,0.1183,NA,NA
18,8,38,3,2,0.1173,NA,NA
18,8,38,3,3,0.1177,NA,NA
18,8,38,3,4,0.1166,NA,NA
19,1,4,7,1,0.1031,NA,NA
19,1,4,7,2,0.0523,25,25 seeds
19,1,4,7,3,NA,NA,NA
19,1,4,7,4,NA,NA,NA
19,2,7,4,1,0.1013,NA,NA
19,2,7,4,2,0.1016,NA,NA
19,2,7,4,3,0.1014,NA,NA
19,2,7,4,4,0.1012,NA,NA
19,3,14,3,1,0.108,NA,NA
19,3,14,3,2,0.1068,NA,NA
19,3,14,3,3,0.1075,NA,NA
19,3,14,3,4,0.1092,NA,NA
19,4,21,3,1,0.0958,NA,NA
19,4,21,3,2,0.0942,NA,NA
19,4,21,3,3,0.0945,NA,NA
19,4,21,3,4,0.0965,NA,NA
19,5,25,7,1,0.1044,NA,NA
19,5,25,7,2,0.105,NA,NA
19,5,25,7,3,0.1041,NA,NA
19,5,25,7,4,0.1029,NA,NA
19,6,32,5,1,0.1014,NA,NA
19,6,32,5,2,0.1026,NA,NA
19,6,32,5,3,0.1017,NA,NA
19,6,32,5,4,0.101,NA,NA
19,7,35,3,1,0.0971,NA,NA
19,7,35,3,2,0.0979,NA,NA
19,7,35,3,3,0.0981,NA,NA
19,7,35,3,4,0.0996,NA,NA
19,8,38,4,1,0.0694,NA,NA
19,8,38,4,2,0.0695,NA,NA
19,8,38,4,3,0.0712,NA,NA
19,8,38,4,4,0.0718,NA,NA
20,1,1,3,1,0.1597,NA,NA
20,1,1,3,2,0.1606,NA,NA
20,1,1,3,3,0.1584,NA,NA
20,1,1,3,4,0.1613,NA,NA
20,2,8,3,1,0.1719,NA,NA
20,2,8,3,2,0.1725,NA,NA
20,2,8,3,3,0.1722,NA,NA
20,2,8,3,4,0.1729,NA,NA
20,3,15,6,1,0.1574,NA,NA
20,3,15,6,2,0.1541,NA,NA
20,3,15,6,3,0.1542,NA,NA
20,3,15,6,4,0.1575,NA,NA
20,4,17,1,1,0.1554,NA,NA
20,4,17,1,2,0.1568,NA,NA
20,4,17,1,3,0.1571,NA,NA
20,4,17,1,4,0.158,NA,NA
20,5,26,8,1,0.1322,NA,NA
20,5,26,8,2,0.1345,NA,NA
20,5,26,8,3,0.1342,NA,NA
20,5,26,8,4,0.133,NA,NA
20,6,29,5,1,0.1565,NA,NA
20,6,29,5,2,0.1581,NA,NA
20,6,29,5,3,0.1558,NA,NA
20,6,29,5,4,0.1589,NA,NA
20,7,34,8,1,0.1438,NA,NA
20,7,34,8,2,0.1433,NA,NA
20,7,34,8,3,0.1443,NA,NA
20,7,34,8,4,0.1441,NA,NA
20,8,41,1,1,0.1613,NA,NA
20,8,41,1,2,0.1587,NA,NA
20,8,41,1,3,0.1601,NA,NA
20,8,41,1,4,0.161,NA,NA
21,1,6,7,1,0.1745,NA,NA
21,1,6,7,2,0.1729,NA,NA
21,1,6,7,3,0.1736,NA,NA
21,1,6,7,4,0.1743,NA,NA
21,2,9,6,1,0.1517,NA,NA
21,2,9,6,2,0.152,NA,NA
21,2,9,6,3,0.1531,NA,NA
21,2,9,6,4,0.1513,NA,NA
21,3,12,5,1,0.1662,NA,NA
21,3,12,5,2,0.1671,NA,NA
21,3,12,5,3,0.1678,NA,NA
21,3,12,5,4,0.1679,NA,NA
21,4,17,7,1,0.1777,NA,NA
21,4,17,7,2,0.177,NA,NA
21,4,17,7,3,0.1761,NA,NA
21,4,17,7,4,0.1778,NA,NA
21,5,24,2,1,0.155,NA,NA
21,5,24,2,2,0.156,NA,NA
21,5,24,2,3,0.156,NA,NA
21,5,24,2,4,0.1559,NA,NA
21,6,30,4,1,0.1721,NA,NA
21,6,30,4,2,0.1735,NA,NA
21,6,30,4,3,0.1744,NA,NA
21,6,30,4,4,0.1739,NA,NA
21,7,35,5,1,0.1728,NA,NA
21,7,35,5,2,0.1751,NA,NA
21,7,35,5,3,0.1728,NA,NA
21,7,35,5,4,0.1746,NA,NA
21,8,38,2,1,0.1564,NA,NA
21,8,38,2,2,0.157,NA,NA
21,8,38,2,3,0.1583,NA,NA
21,8,38,2,4,0.1583,NA,NA
22,1,1,2,1,0.1579,NA,NA
22,1,1,2,2,0.1583,NA,NA
22,1,1,2,3,0.1573,NA,NA
22,1,1,2,4,0.1566,NA,NA
22,3,14,1,1,0.136,NA,NA
22,3,14,1,2,0.1354,NA,NA
22,3,14,1,3,0.1352,NA,NA
22,3,14,1,4,0.1371,NA,NA
22,4,18,6,1,0.0845,NA,NA
22,4,18,6,2,0.0821,NA,NA
22,4,18,6,3,0.0829,NA,NA
22,4,18,6,4,0.0834,NA,NA
22,5,26,2,1,0.0946,NA,NA
22,5,26,2,2,0.0954,NA,NA
22,5,26,2,3,0.0943,NA,NA
