Sample Number,Palmitic,Palmitoleic,Stearic,Oleic,Linoleic,Alphalinolenic,Arachidic,Gondoic,BL,Range,Plot,Accession
42,4.09,n.a.,3.47,17.16,13.7,60.89,0.69,n.a.,2,11,8,11
43,4.06,n.a.,3.35,19.72,17.16,54.49,0.79,n.a.,3,15,1,11
44,4.51,n.a.,3.64,20.78,18.52,51.29,0.79,n.a.,4,18,4,11
45,4.91,n.a.,3.98,31.33,15.67,41.84,1.05,0.35,1,2,3,12
46,4.65,n.a.,3.53,18.1,16.87,55.72,0.71,n.a.,2,8,8,12
47,4.67,n.a.,3.23,19.02,17.63,54.03,0.84,n.a.,3,13,1,12
48,4.41,n.a.,4.23,16.99,17.55,56.19,0.63,n.a.,4,19,8,12
49,4.31,n.a.,2.98,16.44,16.79,58.08,0.62,0.31,1,3,1,13
50,4.32,n.a.,3.56,19.26,20.13,51.51,0.83,n.a.,2,7,2,13
51,4.74,n.a.,3.64,22.22,17.98,50.61,0.81,n.a.,3,12,6,13
52,4.85,n.a.,3.42,18.15,18.74,53.55,0.75,n.a.,4,17,3,13
53,3.92,n.a.,3.07,18.96,15.86,56.34,0.7,0.31,1,1,1,14
54,3.78,n.a.,3.95,19.57,15.06,56.67,0.59,n.a.,2,9,8,14
55,4.02,n.a.,3.76,18.82,15.59,57.28,0.52,n.a.,3,11,1,14
56,4.04,n.a.,3.02,19.89,17.67,53.78,0.78,0.34,4,21,6,14
57,4.22,n.a.,2.79,22.08,19.7,49.5,0.75,0.32,1,4,8,15
58,3.88,n.a.,2.84,21.6,17.27,52.58,0.81,0.35,2,10,6,15
59,3.84,n.a.,3.02,19.62,15.35,56.71,0.65,0.35,3,13,5,15
60,4.08,n.a.,3.34,19.08,12.74,60.14,0.63,n.a.,1,3,4,16
61,3.97,n.a.,2.77,19.51,13.34,59.74,0.66,n.a.,2,9,7,16
62,4.31,n.a.,3.47,24.81,15.25,50.55,0.74,0.4,3,15,4,16
63,4.32,n.a.,3.41,22.19,14.06,54.72,0.85,n.a.,4,18,1,16
64,4.03,n.a.,2.94,15.59,17.73,58.7,0.6,n.a.,1,5,7,17
65,3.99,n.a.,2.55,16.87,17.17,57.94,0.59,0.29,2,10,2,17
66,4.13,n.a.,3.06,16.03,16.04,59.69,0.63,n.a.,3,15,3,17
67,4.21,n.a.,3.61,16.32,15.86,59.47,0.53,n.a.,4,19,2,17
68,4.52,n.a.,3.44,17.74,19.34,54.26,0.69,n.a.,1,2,8,18
69,4.18,n.a.,3.44,21.5,18.36,51.71,0.81,n.a.,2,8,7,18
70,4.23,n.a.,3.78,19.58,22.45,48.67,0.8,n.a.,3,16,5,18
71,4.93,n.a.,4.24,18.4,21.45,50.26,0.73,n.a.,4,20,7,18
72,4.92,n.a.,4,20.16,17.74,53.17,n.a.,n.a.,1,4,7,19
73,4.36,n.a.,3.14,17.8,16.81,56.61,0.69,n.a.,2,7,4,19
74,4.24,n.a.,2.52,21.4,14.18,55.85,0.75,0.34,3,14,3,19
75,4.31,n.a.,3.5,20.22,16.83,53.79,0.7,n.a.,4,21,3,19
76,3.98,n.a.,2.84,19.31,16.86,55.28,0.7,0.31,1,1,3,20
77,3.73,n.a.,3.03,18.87,16.2,56.31,0.74,0.33,2,8,3,20
78,3.87,n.a.,2.82,19.54,17.83,54.27,0.81,0.34,3,15,6,20
79,3.96,n.a.,2.56,18.39,15.68,57.96,0.66,0.34,4,17,1,20
80,3.95,n.a.,3.11,19.85,21.67,49.73,0.74,0.34,1,6,7,21
81,3.97,n.a.,2.92,15.4,17.88,58.74,0.61,n.a.,2,9,6,21
82,4.41,n.a.,2.67,17.38,14.84,59.59,0.63,n.a.,3,12,5,21
83,3.93,n.a.,2.79,17.86,18.87,55.06,0.74,0.33,4,17,7,21
84,3.72,n.a.,2.82,18.9,16.22,56.35,0.67,0.33,1,1,2,22
86,3.96,n.a.,2.89,20.84,16.47,54.22,0.74,0.38,3,14,1,22
87,4.66,n.a.,4.28,17.5,15.6,57.85,n.a.,n.a.,4,18,6,22
88,4.6,n.a.,3.46,17.4,16.75,56.4,0.79,n.a.,1,1,5,23
89,4.58,n.a.,3.28,17.55,18.93,54.37,0.77,n.a.,2,8,5,23
