NA,NA,NA,no_plant,no_survival,no_survival,no_survival,no_survival,no_survival,,no_survival,,no_survival,no_survival,no_survival,no_survival,no_survival,no_survival
Plot,Rep,Entry,6/12/12,6/27/12,7/27/12,8/24/12,9/29/12,10/27/12,%surviorship,4/27/13,%winterkill,5/31/13,6/29/13,8/30/13,5/1/14,6/5/14,8/12/14
98,1,18,10,10,9,9,5,5,0.5,5,0,5,5,2,1,1,NA
99,1,26,10,9,7,7,6,6,0.6,4,0.33,4,4,4,4,4,4
100,1,28,10,9,9,9,9,9,0.9,9,0,9,9,9,9,9,9
101,2,18,10,9,9,7,5,4,0.4,3,0.25,3,2,1,NA,NA,NA
102,2,7,9,9,9,8,8,8,0.89,8,0,8,7,7,2,2,NA
103,2,3,10,10,10,9,9,8,0.8,8,0,8,8,4,2,2,2
104,2,16,10,9,9,9,9,9,0.9,9,0,9,9,7,2,2,1
105,3,34,10,9,7,7,7,7,0.7,5,0.29,5,4,4,4,4,4
106,3,33,10,10,10,10,10,10,1,9,0.1,7,7,7,2,2,2
107,3,28,10,10,10,10,10,10,1,10,0,10,10,10,10,10,8
108,3,29,10,10,9,9,9,9,0.9,9,0,9,9,9,9,9,9
109,4,17,10,10,8,7,7,7,0.7,7,0,7,7,6,6,6,6
110,4,21,10,10,10,10,10,10,1,9,0.1,9,9,9,7,7,7
111,4,33,10,10,10,10,10,10,1,9,0.1,9,8,5,1,1,NA
112,4,6,10,9,6,5,5,3,0.3,3,0,3,3,3,3,2,2
113,1,16,10,9,9,9,9,9,0.9,9,0,9,9,9,6,6,6
114,1,4,10,10,10,10,10,10,1,10,0,10,10,10,10,10,9
115,1,22,10,10,9,9,9,9,0.9,9,0,9,9,9,4,4,3
116,1,14,10,10,8,8,8,8,0.8,8,0,8,7,7,3,2,2
117,2,15,10,10,10,10,10,10,1,10,0,9,9,9,4,4,2
118,2,17,10,10,10,10,10,10,1,10,0,10,10,9,9,8,8
119,2,21,10,10,8,8,8,8,0.8,7,0.13,7,7,6,1,1,1
120,2,38,10,10,6,6,6,5,0.5,5,0,5,5,5,5,5,5
121,3,12,10,10,10,10,9,9,0.9,9,0,9,9,9,5,3,3
122,3,13,10,10,8,8,8,8,0.8,7,0.13,7,7,7,7,5,5
123,3,37,10,10,10,10,10,10,1,9,0.1,7,9,9,9,9,9
124,3,1,10,9,8,7,4,2,0.2,1,0.5,1,1,1,NA,NA,NA
125,4,24,10,10,10,9,9,8,0.8,8,0,8,8,7,2,1,NA
126,4,23,10,10,10,10,10,10,1,10,0,10,10,8,8,8,8
127,4,10,10,10,8,8,8,8,0.8,8,0,8,8,6,5,4,4
128,4,38,10,9,9,9,9,9,0.9,9,0,9,9,9,7,7,4
129,1,20,10,10,10,9,9,9,0.9,9,0,9,8,7,5,3,3
130,1,8,10,10,9,9,9,8,0.8,8,0,8,7,7,1,1,1
131,1,9,10,10,10,10,9,9,0.9,9,0,9,9,9,6,6,6
132,1,36,10,9,9,9,9,9,0.9,9,0,9,9,9,6,6,4
133,2,11,10,9,7,7,7,7,0.7,7,0,7,7,6,1,1,1
134,2,5,10,9,9,9,8,8,0.8,7,0.13,7,7,5,5,5,5
135,2,36,10,10,10,9,8,7,0.7,8,-0.14,8,7,5,3,2,2
136,2,2,10,10,10,10,10,10,1,10,0,10,10,8,8,8,8
