NA,NA,NA,2013,2013,2013,2013,2013,2013,2013,no_survival
Plot,Rep,Entry,Capsules,sub_stems,ttl_stems,stemcap_ratio,est_ttl_capsules,av_ht,av_diam,4/27/13
203,6,7,671,20,115,5.75,3858,68.75,44.83,6
204,6,10,541,20,104,5.2,2813,66.5,74,3
205,5,8,495,20,158,7.9,3911,68.6,69.2,6
206,5,1,771,20,82,4.1,3161,55.25,57.4,5
207,5,34,638,20,71,3.55,2265,60,54.75,4
208,5,12,554,20,222,11.1,6149,64.75,53.6,6
209,8,36,572,20,125,6.25,3575,70.33,68.75,4
210,8,4,517,20,191,9.55,4937,63.6,54.78,9
211,8,22,787,20,67,3.35,2636,63,67.33,3
212,8,35,784,20,42,2.1,1646,64,39,3
213,7,13,702,20,101,5.05,3545,70,49.83,6
214,7,29,403,20,170,8.5,3426,63.6,59.5,8
215,7,7,616,20,88,4.4,2710,65.5,43,3
216,7,18,443,13,13,1,443,62,30,4
217,6,11,476,20,183,9.15,4355,62,42,7
218,6,14,395,20,150,7.5,2963,69.2,27.63,9
219,6,34,571,14,14,1,571,69,50.5,2
220,6,33,335,20,70,3.5,1173,67.8,33.29,8
221,5,29,389,20,251,12.55,4882,70.4,75.86,7
222,5,22,405,20,214,10.7,4334,60,61,9
223,5,21,420,20,32,1.6,672,64.5,56.5,5
224,5,32,595,20,90,4.5,2678,56.67,61,4
225,8,1,34,1,1,1,34,31,24,2
226,8,8,457,20,100,5,2285,60.75,37.5,7
227,8,27,461,20,93,4.65,2144,71.4,49.29,7
228,8,21,456,20,129,6.45,2941,70,44.86,8
229,7,27,354,20,163,8.15,2885,68.6,61.33,7
230,7,37,993,20,467,23.35,23187,61.8,47.9,10
231,7,20,831,20,82,4.1,3407,66.8,49,8
232,7,14,458,20,142,7.1,3252,71.6,41.89,9
233,6,22,428,20,222,11.1,4751,60.8,46.9,10
234,6,19,368,20,140,7,2576,68.8,43.5,10
235,6,3,35,6,6,1,35,35,15,1
236,6,36,303,20,179,8.95,2712,59.4,59.17,6
237,5,25,51,20,39,1.95,99,73.33,45.75,7
238,5,10,236,20,344,17.2,4059,61,52,7
239,5,6,511,20,140,7,3577,70.67,90,4
240,5,5,267,14,14,1,267,41,37,3
241,8,18,NA,NA,NA,NA,NA,NA,NA,1
242,8,5,NA,NA,NA,NA,NA,NA,NA,2
243,8,20,596,20,141,7.05,4202,63.6,47,10
244,8,16,490,20,24,1.2,588,60,60,2
245,7,26,589,20,28,1.4,825,39.5,27.8,7
246,7,34,770,20,32,1.6,1232,52.2,35,7
247,7,19,422,20,85,4.25,1794,69,44,8
248,7,33,636,19,19,1,636,69,40,5
249,6,25,423,20,45,2.25,952,71,37,7
250,6,5,433,18,18,1,433,55,47.33,3
251,6,28,917,20,238,11.9,10912,69.2,46,10
252,6,17,265,20,143,7.15,1895,73.25,58.8,5
253,5,7,510,20,95,4.75,2423,73.5,39.67,8
254,5,38,243,20,135,6.75,1640,63,63,4
255,5,37,766,20,369,18.45,14133,61,35.5,10
256,5,17,607,20,112,5.6,3399,52.75,43.2,7
257,8,34,752,20,55,2.75,2068,53.25,50,5
258,8,25,591,20,201,10.05,5940,81.6,46.38,9
259,8,13,469,20,201,10.05,4713,70,60.83,6
260,8,12,449,20,243,12.15,5455,55.6,48.5,10
261,7,15,694,20,38,1.9,1319,75,57.25,4
262,7,17,534,20,189,9.45,5046,65.8,74.71,8
263,7,1,109,2,2,1,109,79,42,2
264,7,12,342,20,232,11.6,3967,55,43.3,10
265,6,5,312,20,155,7.75,2418,60.25,72.2,5
266,6,4,316,20,263,13.15,4155,61,62.2,10
267,6,18,513,20,118,5.9,3027,58.75,47.29,7
268,6,30,468,20,77,3.85,1802,61.75,63,4
269,5,4,433,20,414,20.7,8963,64.2,58.11,9
270,5,9,329,20,151,7.55,2484,68.6,47.43,7
271,5,2,355,20,440,22,7810,67,45.75,8
272,5,13,375,20,180,9,3375,53.6,42.29,7
273,8,6,476,20,105,5.25,2499,76,93.5,4
