Unique_ID,Worksheet,Notes,Reference_code,Reference,
1593,Metabolism,Heterotrophic Protozoa,Roth 1955,"Roth J.S., Eichel H.J. The effect of X-radiation on enzyme systems of Tetrahymena pyriformis. - Biol. Bull., 1955, v.108. N.3, p.308-317.",
1594,Metabolism,Heterotrophic Protozoa,Ryley 1951,"Ryley J.F. Studies on the metabolism of the Protozoa. I. Metabolism of the parasitic flagellate, Trypanosoma lewisi. - Biochem. J., 1951, v.49, N.5, p. 577-585.",
1595,Metabolism,Heterotrophic Protozoa,Ryley 1952,"Ryley J.F. Studies on the metabolism of the Protozoa. 3. Metabolism of the ciliate Tetrahymena pyriformis (Glaucoma pyriformis). - Biochem .J., 1952, v.52, N.3, p.483-492.",
1596,Metabolism,Heterotrophic Protozoa,Ryley 1953,"Ryley J.F. Carbohydrate metabolism in Protozoa and metal-binding substances. - Nature, I953, v.171, N.4356, p.747-748.",
1597,Metabolism,Heterotrophic Protozoa,Ryley 1955,"Ryley J.F. Studies on the metabolism of the Protozoa. 5. Metabolism of the parasitic flagellate, Strigomonas oncopelti. - Biochem. J., 1955a, v.59, N.3, p. 353-361.",
1598,Metabolism,Heterotrophic Protozoa,Ryley 1955,"Ryley J.F. Studies on the metabolism of the Protozoa. 5. Metabolism of the parasitic flagellate, Trichomonas foetus. - Biochem. J., 1955b, v.59, N.3, p. 361-369.",
1599,Metabolism,Heterotrophic Protozoa,Ryley 1956,"Ryley J.F. Studies on the metabolism of the Protozoa. 7. Comparative carbohydrate metabolism of eleven species of Trypanosoma. - Biochem. J., 1956, v.62, N.2, p.215-222.",
1600,Metabolism,Heterotrophic Protozoa,Sanchez 1968,"Sanchez G., Dusanic D.G. Respiratory activity of Trypanosoma lewisi during several phases of infection in the rat. - Exp. Parasit., 1968, v.23, N.3, p.361-370.",
1601,Metabolism,Heterotrophic Protozoa,Sarojini 1966,"Sarojini R., Nagabhushanam R. The oxygen consumption of the ciliate, Coleps hirtus. - Brotéria, 1966, Ser. Ciênc. Nat., v.35, p.45-55.",
1602,Metabolism,Heterotrophic Protozoa,Scholander 1952,"Scholander P.F., Claff C.L., Sveinsson S.L. Respiratory studies of single cells. II. Observations on the oxygen consumption in single protozoans. - Biol. Bull., 1952, v.102, N.2, p.178-184.",
1603,Metabolism,Heterotrophic Protozoa,Seaman 1949,"Seaman G.R. The presence of the tricarboxylic acid cycle in the ciliate, Colpidium campylum. - Biol. Bull., 1949, v.96, N.3, p.257-262.",
1604,Metabolism,Heterotrophic Protozoa,Seaman 1950,"Seaman G.R. Utilization of acetate by Tetrahymena geleii (S). - J. biol. Chem., 1950, v.186, N.1, p. 97-104.",
1605,Metabolism,Heterotrophic Protozoa,Seaman 1950,"Seaman G.R., Houlihan R.K. Trans-I,2-cyclopentanedicarboxylic acid, a succinic acid analog affecting the permeability of the cell membrane. - Arch. Biochem., 1950, v.26, N.3, p.436-441.",
1606,Metabolism,Heterotrophic Protozoa,Simonsen 1952,"Simonsen D.H., Van Wagtendonk W.J. Respiratory studies on Paramecium aurelia, variety 4, killers and sensitives.- Biochim. Biophys. Acta,1952, v.9, N.5, p.515-527.",
1607,Metabolism,Heterotrophic Protozoa,Smith 1944,"Smith B.F., Herrick C.A. The respiration of the protozoan parasite, Eimeria tenella. - J. Parasit., 1944, v.30, N.5, p.295-302.",
1608,Metabolism,Heterotrophic Protozoa,Speck 1946,"Speck J.F., Moulder J.W., Evans E.A. The biochemistry of the malaria parasite. V. Mechanism of pyruvate oxidation in the malaria parasite. - J. biol. Chem., 1946, v.164, N.1, p.119-144.",
1609,Metabolism,Heterotrophic Protozoa,Thurston 1958,"Thurston J.P. The oxygen uptake of Trypanosoma lewisi and Trypanosoma equiperdum, with especial reference to oxygen consumption in the presence of amino-acids. - Parasitology, 1958, v.48, N.1-2, p.149-164.",
1610,Metabolism,Heterotrophic Protozoa,Van de Vijver 1966,"Van de Vijver G. Studies on the metabolism of Tetrahymena pyriformis Gl. I. Influence of substrates on the respiratory rate. - Enzymologia, 1966, v.31, N.6, p.363-381.",
1611,Metabolism,Heterotrophic Protozoa,Vernberg 1974,"Vernberg W.B., Coull B.C. Respiration of an interstitial ciliate and benthic energy relationships. - Oecologia, 1974, v.16, N.4, p.259-264.",
1612,Metabolism,Heterotrophic Protozoa,Vladimirova 1983,"Vladimirova I.G., Zotin A.I. Respiration rates of Protozoa. Manuscript No. 5500-B3 12.08.1983 deposited in the All-Russian Institute of Scientific and Technical Information (VINITI), 62 pp, 1983. (in Russian)",
1613,Metabolism,Heterotrophic Protozoa,Vladimirova 1985,"Vladimirova I.G., Zotin A.I. Dependence of metabolic rate in Protozoa on body temperature and weight. - Zhurnal Obschei Biologii [Journal of General Biology], 1985, v.46, p.165-173. (in Russian)",
1614,Metabolism,Heterotrophic Protozoa,von Brand 1955,"von Brand T., Agosin M. The utilization of Krebs cycle intermediates by the culture forms of Trypanosoma cruzi and Leishmania tropica. - J. inf. Dis., 1955, v.97, N.3, p.274-279.",
1615,Metabolism,Heterotrophic Protozoa,von Dach 1942,"von Dach H. Respiration of a colorless flagellate, Astasia klebsii. - Biol. Bull., 1942, v.82, N.3, p.356-371.",
1616,Metabolism,Heterotrophic Protozoa,von Dach 1950,"von Dach H. Effect of high osmotic pressures on growth and respiration of a fresh-water flagellate, Astasia klebsii. - J. exp. Zool., 1950, v.115, N.1, p.1-15.",
1617,Metabolism,Heterotrophic Protozoa,Wagenbach 1969,"Wagenbach G.E., Burns W.C. Structure and respiration of sporulating Eimeria stiedae and E. tenella oocysts. - J. Protozool., 1969, v.16, N.2, p.257-263.",
1618,Metabolism,Heterotrophic Protozoa,Waidyasekera 1975,"Waidyasekera F.L.D., Kitching J.A. Oxygen consumption and Krebs cycle activity of Acantnamoeba castellanii at high hydrostatic pressure. - Arch. Protistenk., 1975, v.117, N.3, p.314-319.",
1619,Metabolism,Heterotrophic Protozoa,Weinbach 1974,"Weinbach E.C., Diamond L.S. Entamoeba histolytica: I. Aerobic metabolism. - Exp. Parasit., 1974, v.35, N.2, p.232-242.",
1620,Metabolism,Heterotrophic Protozoa,Whiteley 1960,"Whiteley A.H. Interactions of nucleus and cytoplasm in controlling respiratory patterns ia regenerating Stentor coeruleus. - Comp. Rend. Trav. Lab. Carlsberg, 1960, v.32, N.4, p.49-62.",
1621,Metabolism,Heterotrophic Protozoa,Wilson 1961,"Wilson P.A.G., Fairbairn D. Biochemistry of sporulation in oocysts of Eimeria acervulina. - J. Protozool. 1961, v.8, N.4, p.410-416.",
1622,Metabolism,Heterotrophic Protozoa,Wilson 1963,"Wilson B.W. The oxidative assimilation of acetate by Astasia longa and the regulation of cell respiration. - J. cell. comp. Physiol., 1963, v.62, N.1, p.49-56.",
1623,Metabolism,Heterotrophic Protozoa,Wilson 1963,"Wilson B.W., James T.W. The respiration and growth of synchronised populations of the cell Astasia longa. - Exp. Cell Res., 1963, v.32, N.2, p.305-319.",
1624,Metabolism,Heterotrophic Protozoa,Wirtschafter 1956,"Wirtschafter S., Saltman P., Jahn T.L. The metabolism of Trichomonas vaginalis: the oxidative pathway. - J. Protozool., 1956, v.3, N.2, p.86-88.",
1625,Metabolism,Heterotrophic Protozoa,Wright 1964,"Wright B.E. Biochemistry of acrasiales. - In: Biochemistry and Physiology of Protozoa (Ed. S.H. Hutner). New York: Acad. Press, 1964, v.3, p.341-381.",
1626,Metabolism,Heterotrophic Protozoa,Zeledon 1960,"Zeledon R. Comparative physiological studies on four species of Hemoflagellates in culture. I. Endogenous respiration and respiration in the presence of glucose. - J. Protozool., 1960, v.7, N.2, p.146-150.",
1627,Metabolism,Heterotrophic Protozoa,Zeledon 1960,"Zeledon R. Comparative physiological studies on four species of Hemoflagellates in culture. II. Effect of carbohydrates and related substances and some amino compounds on the respiration. - J. Parasit., I960, v.46, N.5, p.541-551.",
1628,Metabolism,Heterotrophic Protozoa,Zeledon 1960,"Zeledon R. Comparative physiological studies on four species of Hemoflagellates in culture. III. Effect of Krebs cycle intermediates on the respiration. - Rev. Biol. trop. Univ., Costa Rica, 1960, v.8, N.1, p.25-33.",
1629,Metabolism,Heterotrophic Protozoa,Zeledon 1960,"Zeledon R. Comparative physiological studies on four species of Hemoflagellates in culture. IV. Effect of metabolic inhibitors on respiration. - Rev. Biol. trop. Univ., Costa Rica, I960, v.8, N.2, p.181-195.",
1630,Metabolism,Heterotrophic Protozoa,Zeledon 1966,"Zeledon R., de Monge E. Physiological studies on Leishmania braziliensis. – In: Internat. Congr. Parasitology (Ed. A. Corradetii). Oxford: Pergamon Press, 1966, v.1, p.42-43.",
1631,Metabolism,Heterotrophic Protozoa,Zeledon 1967,"Zeledon R., de Monge E. Physiological studies on the culture form of four strains of Leishmania braziliensis. I. Nitrogen content, substrate utilization, and effect of metabolic inhibitors on respiration and its relation to infectivity. - J. Parasit., 1967, v.53, N.5, p.937-945.",
1632,Metabolism,Insects,Acar 2001,"Acar, E. B., Smith, B. N., Hansen, L. D. & Booth, G. M. Use of calorespirometry to determine effects of temperature on metabolic efficiency of an insect. Environmental Entomology 30, 811-816 (2001).",
1633,Metabolism,Insects,Ashby 1997,"Ashby, P. D. Conservation of mass-specific metabolic rate among high- and low-elevation populations of the acridid grasshopper Xanthippus corallipes. Physiological Zoology 70, 701-711 (1997).",
1634,Metabolism,Insects,Bailey 1973,"Bailey, C. G. & Riegert, P. W. Energy dynamics of Encoptolophus sordidus costalis (Scudder) (Orthoptera: Acrididae) in a grassland ecosystem. Canadian Journal of Zoology 51, 91-100 (1973).",
1635,Metabolism,Insects,Bailey 1977,"Bailey, C. G. & Singh, N. B. An energy budget for Mamestra configurata (Lepidoptera: Noctuidae). Canadian Entomology 109, 687-693 (1977).",
1636,Metabolism,Insects,Bailey 1993,"Bailey, C. G., Withers, P. C., Endersby, M. & Gaull, K. The energetic costs of calling in the bushcricket Requena verticalis (Orthoptera: Tettigoniidae: Listroscelidinae). Journal of Experimental Biology 178, 21-37 (1993).",
1637,Metabolism,Insects,Bartholomew 1977,"Bartholomew, G. A. & Casey, T. M. Body temperature and oxygen consumption during rest and activity in relation to body size in some tropical beetles. Journal of Thermal Biology 2, 173-176 (1977).",
1638,Metabolism,Insects,Bartholomew 1978,"Bartholomew, G. A. & Casey, T. M. Oxygen consumption of moths during rest, pre-flight warm-up, and flight in relation to body size and wing morphology. Journal of Experimental Biology 76, 11-25 (1978).",
1639,Metabolism,Insects,Bartholomew 1984,"Bartholomew, G. A. & Barnhart, M. C. Tracheal gases, respiratory gas exchange, body temperature and flight in some tropical cicadas. Journal of Experimental Biology 111, 131-144 (1984).",
1640,Metabolism,Insects,Bartholomew 1985,"Bartholomew, G. A. & Lighton, J. R. B. Ventilation and oxygen consumption during rest and locomotion in a tropical cockroach, Blaberus giganteus. Journal of Experimental Biology 118, 449-454 (1985).",
1641,Metabolism,Insects,Bartholomew 1985,"Bartholomew, G. A., Lighton, J. R. B. & Louw, G. N. Energetics of locomotion and patterns of respiration in tenebrionid beetles from the Namib Desert. Journal of Comparative Physiology B 155, 155-162 (1985).",
1642,Metabolism,Insects,Bartholomew 1986,"Bartholomew, G. A. & Lighton, J. R. B. Endothermy and energy metabolism of a giant tropical fly, Pantophthalmus tabaninus Thunberg. Journal of Comparative Physiology B 156, 461-467 (1986).",
1643,Metabolism,Insects,Bartholomew 1988,"Bartholomew, G. A., Lighton, J. R. B. & Feener, D. H. Energetics of trail running, load carriage, and emigration in the column-rading army ant Eciton hamatum. Physiological Zoology 61, 57-68 (1988).",
1644,Metabolism,Insects,Beekman 1999,"Beekman, M. & Van Stratum, P. Respiration in bumblebee queens: effect of life phase on the discontinuous ventilation cycle. Entomologia Experimentalis et Applicata 92, 295-298 (1999).",
1645,Metabolism,Insects,Beraldo 1982,"Beraldo, M. J. A. H. & Mendes, E. G. The influence of temperature on oxygen consumption rates of workers of two leaf cutting ants, Atta laevigata (F. Smith, 1958) and Atta sexdens rubropilosa (Forel, 1908). Comparative Biochemistry and Physiology A 71, 419-424 (1982).",
1646,Metabolism,Insects,Berrigan 1994,"Berrigan, D. & Lighton, J. R. B. Energetics of pedestrian locomotion in adult male blowflies, Protophormia terraenovae (Diptera: Calliphoridae). Physiological Zoology 67, 1140-1153 (1994).",
1647,Metabolism,Insects,Birch 1947,"Birch, L. C. The oxygen consumption of the small strain of Calandra oryzae L. and Rhizopertha dominica Fab. as affected by temperature and humidity. Ecology 28, 17-25 (1947).",
1648,Metabolism,Insects,Bosch 2000,"Bosch, M., Chown, S. L. & Scholtz, C. H. Discontinuous gas exchange and water loss in the keratin beetle Omorgus radula: further evidence against the water conservation hypothesis? Physiological Entomology 25, 309-314 (2000).",
1649,Metabolism,Insects,Bradley 2003,"Bradley, T. J., Brethorst, L., Robinson, S. & Hetz, S. Changes in the rate of CO2 release following feeding in the insect Rhodnius prolixus. Physiological and Biochemical Zoology 76, 302-309 (2003).",
1650,Metabolism,Insects,Brown 1978,"Brown, A. V. & Fitzpatrick, L. C. Life history and population energetics of the dobson fly, Corydalus cornutus. Ecology 59, 1091-1108 (1978).",
1651,Metabolism,Insects,Buck 1949,"Buck, J. B. & Keister, M. L. Respiration and water loss in the adult blowfly, Phormia regina, and their relation to the physiological action of DDT. Biological Bulletin 97, 64-81 (1949).",
1652,Metabolism,Insects,Burkett 1962,"Burkett, B. N. Respiration of Galleria mellonella in relation to temperature and oxygen. Entomologia Experimentalis et Applicata 5, 305-312 (1962).",
1653,Metabolism,Insects,Campbell 1976,"Campbell, A., Singh, N. B. & Sinha, R. N. Bioenergetics of the granary weevil, Sitophilus granarius (L.) (Coleoptera: Curculionidae). Canadian Journal of Zoology 54, 786-798 (1976).",
1654,Metabolism,Insects,Chadwick 1940,"Chadwick, L. E. & Gilmour, D. Respiration during flight in Drosophila repleta Wollaston: the oxygen consumption considered in relation to the wing-rate. Physiological Zoology 13, 398-410 (1940).",
1655,Metabolism,Insects,Chadwick 1947,"Chadwick, L. E. The respiratory quotient of Drosophila in flight. Biological Bulletin 93, 229-239 (1947).",
1656,Metabolism,Insects,Chappell 2000,"Chappell, M. A. & Rogowitz, G. L. Mass, temperature and metabolic effects on discontinuous gas exchange cycles in Eucalyptus-boring beetles (Coleoptera: Cerambycidae). Journal of Experimental Biology 203, 3809-3820 (2000).",
1657,Metabolism,Insects,Chown 1995,"Chown, S. L., Scholtz, C. H., Klok, C. J., Joubert, F. J. & Coles, K. Ecophysiology, range contraction and survival of a geographically restricted African dung beetle (Coleoptera: Scarabaeidae). Functional Ecology 9, 30-39 (1995).",
1658,Metabolism,Insects,Chown 1997,"Chown, S. L., Van Der Merwe, M. & Smith, V. R. The influence of habitat and altitude on oxygen uptake in sub-antarctic weevils. Physiological Zoology 70, 116-124 (1997).",
1659,Metabolism,Insects,Chown 1997,"Chown, S. L. Thermal sensitivity of oxygen uptake of Diptera from sub-Antarctic South Georgia and Marion Island. Polar Biology 17, 81-86 (1997).",
1660,Metabolism,Insects,Chown 2000,"Chown, S. L. & Holter, P. Discontinuous gas exchange cycles in Aphodius fossor (Scarabaeidae): a test of hypotheses concerning origins and mechanisms. Journal of Experimental Biology 203, 397-403 (2000).",
1661,Metabolism,Insects,Chown 2003,"Chown, S. L. & Davis, A. L. V. Discontinuous gas exchange and the significance of respiratory water loss in scarabaeine beetles. Journal of Experimental Biology 206, 3547-3556 (2003).",
1662,Metabolism,Insects,Coelho 1989,"Coelho, J. R. & Moore, A. J. Allometry of resting metabolic rate in cockroaches. Comparative Biochemistry and Physiology A 94, 587-590 (1989).",
1663,Metabolism,Insects,Cooper 1993,"Cooper, P. D. Field metabolic rates and cost of activity in two tenebrionid beetles from the Mojave Desert of North America. Journal of Arid Environments 24, 165-175 (1993).",
1664,Metabolism,Insects,Davis 2000,"Davis, A. L. V., Chown, S. L., McGeoch, M. A. & Scholtz, C. H. A comparative analysis of metabolic rate in six Scarabaeus species (Coleoptera : Scarabaeidae) from southern Africa: further caveats when inferring adaptation. Journal of Insect Physiology 46, 553-562 (2000).",
1665,Metabolism,Insects,Davison 1987,"Davison, E. A. Respiration and energy flow in two Australian species of desert harvester ants, Chelaner rothsteini and Chelaner whitei. Journal of Arid Environments 12, 61-82 (1987).",
1666,Metabolism,Insects,Duke 1975,"Duke, K. M. & Crossley, D. A. Population energetics and ecology of the rock grasshopper, Trimerotropis saxatilis. Ecology 56, 1106-1117 (1975).",
1667,Metabolism,Insects,Duncan 1993,"Duncan, F. D. & Crewe, R. M. A comparison of the energetics of foraging of three species of Leptogenys (Hymenoptera, Formicidae). Physiological Entomology 18, 372-378 (1993).",
1668,Metabolism,Insects,Duncan 1997,"Duncan, F. D. & Lighton, J. R. B. Discontinuous ventilation and energetics of locomotion in the desert-dwelling female mutillid wasp, Dasymutilla gloriosa. Physiological Entomology 22, 310-315 (1997).",
1669,Metabolism,Insects,Duncan 2000,"Duncan, F. D. & Byrne, M. J. Discontinuous gas exchange in dung beetles: patterns and ecological implications. Oecologia 122, 452-458 (2000).",
1670,Metabolism,Insects,Duncan 2001,"Duncan, F. D. & Dickman, C. R. Respiratory patterns and metabolism in tenebrionid and carabid beetles from the Simpson Desert, Australia. Oecologia 129, 509-517 (2001).",
1671,Metabolism,Insects,Duncan 2002,"Duncan, F. D., Krasnov, B. & McMaster, M. Novel case of a tenebrionid beetle using discontinuous gas exchange cycle when dehydrated. Physiological Entomology 27, 79-83 (2002).",
1672,Metabolism,Insects,Edwards 1958,"Edwards, D. K. Effects of acclimatization and sex on respiration and thermal resistance in Tribolium (Coleoptera: Tenebrionidae). Canadian Journal of Zoology 36, 363-382 (1958).",
1673,Metabolism,Insects,Ehnes 2011,"Ehnes, R. B., D. C. Rall, and U. Brose. 2011. Phylogenetic grouping, curvature and metabolic scaling in terrestrial invertebrates. Ecology Letters 14:993–1000.",
1674,Metabolism,Insects,Engelmann 1961,"Engelmann, M. D. The role of soil arthropods in the energetics of an old field community. Ecological Monographs 31, 221-238 (1961).",
1675,Metabolism,Insects,Ettershank 1973,"Ettershank, G. & Whitford, W. G. Oxygen consumption of two species of Pogonomyrmex harverster ants (Hymenoptera: Formicidae). Comparative Biochemistry and Physiology A 46, 605-611 (1973).",
1676,Metabolism,Insects,Fewell 1996,"Fewell, J. H., Harrison, J. F., Lighton, J. R. B. & Breed, M. D. Foraging energetics of the ant, Paraponera clavata. Oecologia 105, 419-427 (1996).",
1677,Metabolism,Insects,Fielden 2004,"Fielden, L. J., Krasnov, B. R., Khokhlova, I. S. & Arakelyan, M. S. Respiratory gas exchange in the desert flea Xenopsylla ramesis (Siphonaptera : Pulicidae): response to temperature and blood-feeding. Comparative Biochemistry and Physiology A 137, 557-565 (2004).",
1678,Metabolism,Insects,Full 1990,"Full, R. J., Zuccarello, D. A. & Tullis, A. Effect of variation in form on the cost of terrestrial locomotion. Journal of Experimental Biology 150, 233-246 (1990).",
1679,Metabolism,Insects,Gäde 1998,"Gäde, G. & Auerswald, L. Flight metabolism in carpenter bees and primary structure of their hypertrehalosaemic peptide. Experimental Biology Online 3 (1998).",
1680,Metabolism,Insects,Gehrken 1985,"Gehrken, U. Physiology of diapuse in the adult bark beetle, Ips acuminatus Gyll., studied in relation to cold hardiness. Journal of Insect Physiology 31(12), 909-916 (1985).",
1681,Metabolism,Insects,Gray 2003,"Gray, E. M. & Bradley, T. J. Metabolic rate in female Culex tarsalis (Diptera : Culicidae): Age, size, activity, and feeding effects. Journal of Medical Entomology 40, 903-911 (2003).",
1682,Metabolism,Insects,Gromadzka 1968,"Gromadzka, J. Respiratory metabolism of the Colorado beetle (Leptinotarsa decemlineata Say). Ekologia Polska A 16, 1-9 (1968).",
1683,Metabolism,Insects,Guerra 1970,"Guerra, A. A. & Cochran, D. G. Respiration during the life cycle of the face fly. Journal of Economic Entomology 63, 918-921 (1970).",
1684,Metabolism,Insects,Gunn 1935,"Gunn, D. L. Oxygen consumption of the cockroach in relation to moulting. Nature 125, 434-435 (1935).",
1685,Metabolism,Insects,Hack 1997,"Hack, M. A. The effects of mass and age on standard metabolic rate in house crickets. Physiological Entomology 22, 325-331 (1997).",
1686,Metabolism,Insects,Hadley 1991,"Hadley, N. F., Quinlan, M. C. & Kennedy, M. L. Evaporative cooling in the desert cicada: thermal efficiency and water/metabolic costs. Journal of Experimental Biology 159, 269-283 (1991).",
1687,Metabolism,Insects,Harrison 1991,"Harrison, J. F., Philips, J. E. & Gleeson, T. T. Activity physiology of the two-striped grasshopper, Melanoplus bivittatus: gas exchange, hemolymph acid-base status, lactate production, and the effect of temperature. Physiological Zoology 64, 451-472 (1991).",
1688,Metabolism,Insects,Harvey 1951,"Harvey, G. T. & Brown, A. W. A. The effect of insecticide on the rate of oxygen consumption in Blattella. Canadian Journal of Zoology 29, 42-53 (1951).",
1689,Metabolism,Insects,Heatwole 1986,"Heatwole, H., Muir, R. & Davison, E. Oxygen consumption of some terrestrial invertebrates from the Pre-Saharan steppe of Tunisia. Journal of Arid Environments 11, 219-226 (1986).",
1690,Metabolism,Insects,Hebling 1992,"Hebling, M. J. A., Penteado, C. H. S. & Mendes, E. G. Respiratory regulation in workers of the leaf cutting ant Atta sexdens rubropilosa Forel, 1908. Comparative Biochemistry and Physiology A 101, 319-322 (1992).",
1691,Metabolism,Insects,Herreid 1981,"Herreid, C. F., Full, R. J. & Prawel, D. A. Energetics of cockroach locomotion. Journal of Experimental Biology 94, 189-202 (1981).",
1692,Metabolism,Insects,Herreid 1984,"Herreid, C. F. & Full, R. J. Cockroaches on a treadmill: aerobic running. Journal of Insect Physiology 30, 395-403 (1984).",
1693,Metabolism,Insects,Hinton 1971,"Hinton, J. M. Energy flow in a natural population of Neophilaenus lineatus (Homoptera). Oikos 22, 155-171 (1971).",
1694,Metabolism,Insects,Hocking 1953,"Hocking, B. The intrinsic range and speed of flight of insects. Transactions of the Royal Entomological Society of London 104, 223-345 (1953).",
1695,Metabolism,Insects,Holter 1982,"Holter, P. Resource utilization and local coexistence in a guild of scarabaeid dung beetles (Aphodius spp.). Oikos 39, 213-227 (1982).",
1696,Metabolism,Insects,Holter 1997,"Holter, P. & Spangenberg, A. Oxygen uptake in coprophilous beetles (Aphodius, Geotrupes, Sphaeridium) at low oxygen and high carbon dioxide concentrations. Physiological Entomology 22, 339-343 (1997).",
1697,Metabolism,Insects,Jeeva 1999,"Jeeva, D., Bignell, D. E., Eggleton, P. & Maryati, M. Respiratory gas exchanges of termites from the Sabah (Borneo) assemblage. Physiological Entomology 24, 11-17 (1999).",
1698,Metabolism,Insects,Jensen 1975,"Jensen, T. F. & Nielsen, M. G. The influence of body size and temperature on worker ant respiration. Natura Jutlandica 18, 21-25 (1975).",
1699,Metabolism,Insects,Kavanagh 1987,"Kavanagh, M. W. The efficiency of sound production on two cricket species, Gryllotalpa australis and Teleogryllus commodus (Orthoptera: Grylloidea). Journal of Experimental Biology 130, 107-119 (1987).",
1700,Metabolism,Insects,Keister 1964,"Keister, M. & Buck, J. in Physiology of Insecta Volume 3 (ed. Rockstein, M.) 617-658 (Academic Press, New York, 1964).",
1701,Metabolism,Insects,Klok ,"Klok, C. J. & Chown, S. L. Temperature- and body mass-related variation in cyclic gas exchange characteristics and metabolic rates of seven weevil species: broader implications. Journal of Insect Physiology (in press).",
1702,Metabolism,Insects,Lehmann 2000,"Lehmann, F.-O., Dickinson, M. H. & Staunton, J. The scaling of carbon dioxide release and respiratory water loss in flying fruit flies (Drosophila spp.). Journal of Experimental Biology 203, 1613-1624 (2000).",
1703,Metabolism,Insects,Lewis 1971,"Lewis, L. C., Mutchmor, J. A. & Lynch, R. E. Effect of Perezia pyraustae on oxygen consumption by the European corn borer,  Ostrinia nubilalis. Journal of Insect Physiology 17, 2457-2468 (1971).",
1704,Metabolism,Insects,Lighton 1985,"Lighton, J. R. B. Minimum cost of transport and ventilatory patterns in three African beetles. Physiological Zoology 58, 390-399 (1985).",
1705,Metabolism,Insects,Lighton 1989,"Lighton, J. R. B. Individual and whole-colony respiration in an African formicine ant. Functional Ecology 3, 523-230 (1989).",
1706,Metabolism,Insects,Lighton 1989,"Lighton, J. R. B. & Gillespie, R. G. The energetics of mimicry: the cost of pedestrian transport in a formicine ant and its mimic, a clubionid spider. Physiological Entomology 14, 173-177 (1989).",
1707,Metabolism,Insects,Lighton 1990,"Lighton, J. R. B. & Lovegrove, B. G. A temperature-induced switch from diffusive to convective ventilation in the honeybee. Journal of Experimental Biology 154, 509-516 (1990).",
1708,Metabolism,Insects,Lighton 1990,"Lighton, J. R. B. Slow discontinuous ventilation in the Namib dune-sea ant Camponotus detritus (Hymenoptera, Formicidae). Journal of Experimental Biology 151, 71-82 (1990).",
1709,Metabolism,Insects,Lighton 1991,"Lighton, J. R. B. Ventilation in Namib desert tenebrionid beetles: mass scaling and evidence of a novel quantized flutter-phase. Journal of Experimental Biology 159, 249-268 (1991).",
1710,Metabolism,Insects,Lighton 1993,"Lighton, J. R. B. & Wehner, R. Ventilation and respiratory metabolism in the thermophilic desert ant, Cataglyphis bicolor (Hymenoptera,  Formicidae). Journal of Comparative Physiology B 163, 11-17 (1993).",
1711,Metabolism,Insects,Lighton 1995,"Lighton, J. R. B. & Berrigan, D. Questioning paradigms: caste-specific ventilation in harvester ants, Messor pergandei and M. julianus (Hymenoptera: Formicidae). Journal of Experimental Biology 198, 521-530 (1995).",
1712,Metabolism,Insects,Lighton 1995,"Lighton, J. R. B. & Garrigan, D. Ant breathing: testing regulation mechanism hypotheses with hypoxia. Journal of Experimental Biology 198, 1613-1620 (1995).",
1713,Metabolism,Insects,Louw 1986,"Louw, G. N., Nicolson, S. W. & Seely, M. K. Respiration beneath desert sand: carbon dioxide diffusion and respiratory patterns in a tenebrionid beetle. Journal of Experimental Biology 120, 443-447 (1986).",
1714,Metabolism,Insects,Loveridge 1975,"Loveridge, J. P. & Bursell, E. Studies on the water relations of adult locusts (Orthoptera, Acrididae) I. Respiration and the production of metabolic water. Bulletin of Entomological Research 65, 13-20 (1975).",
1715,Metabolism,Insects,Mac Nally 1982,"Mac Nally, R. C. & Doolan, J. M. Comparative reproductive energetics of the sexes in the cicada Cystosoma saundersii. Oikos 39, 179-186 (1982).",
1716,Metabolism,Insects,Marais 2003,"Marais, E. & Chown, S. L. Repeatability of standard metabolic rate and gas exchange characteristics in a highly variable cockroach, Perisphaeria sp. Journal of Experimental Biology 206, 4565-4574 (2003).",
1717,Metabolism,Insects,Martin 1991,"Martin, P. J. Respiration of the ant Leptothorax unifasciatus (Hymenoptera, Formicidae) at individual and society levels. Journal of Insect Physiology 37, 311-318 (1991).",
1718,Metabolism,Insects,Massion 1983,"Massion, D. D. An altitudinal comparison of water and metabolic relations in two acridid grasshoppers (Orthopera). Comparative Biochemistry and Physiology A 74, 101-105 (1983).",
1719,Metabolism,Insects,May 1979,"May, M. L. Energy metabolism of dragonflies (Odonata: Anisoptera) at rest and during endothermic warm-up. Journal of Experimental Biology 83, 79-94 (1979).",
1720,Metabolism,Insects,May 1986,"May, M. L., Pearson, D. L. & Casey, T. M. Oxygen consumption of active and inactive adult tiger beetles. Physiological Entomology 11, 171-179 (1986).",
1721,Metabolism,Insects,McComie 1990,"McComie, L. D. & Dhanarjan, G. Respiratory rate and energy utilization by Macrotermes carbonarius (Hagen) (Isoptera, Termitidae, Macrotermitinae) in Penang, Malaysia. Insect Science and its Applications 11, 197-204 (1990).",
1722,Metabolism,Insects,Mispagel 1981,"Mispagel, M. E. Relation of oxygen consumption to size and temperature in desert arthropods. Ecological Entomology 6, 423-431 (1981).",
1723,Metabolism,Insects,Montooth 2003,"Montooth, K. L. & Gibbs, A. G. Cuticular pheremones and water balance in the house fly, Musca domestica. Comparative Biochemistry and Physiology A 135, 457-465 (2003).",
