Unique_ID,Worksheet,Notes,Reference_code,Reference,
55,Density,Damuth Ref: 33,Barnett 1977,"Barnett, J. L., How, R. A. & Humphries, W. F., 1977. Small mammal populations in pine and native forests in north-eastern New South Wales. Australian Wildlife Research, 4: 233-240.",
56,Density,Damuth Ref: 34,Barnett 1978,"Barnett, J. L., How, R. A. & Humphries, W. F., 1978. The use of habitat components by small mammals in eastern Australia. Australian Journal of Ecology, 3: 277-285.",
57,Density,Damuth Ref: 35,Barnett 1982,"Barnett, J. L., How, R. A. & Humphries, W. F., 1982. Habitat effects on organ weights, longevity, and reproduction in the mountain brushtail possum, Trichosurus caninus (Ogilby). Australian Journal of Zoology, 30: 23-32.",
58,Density,Damuth Ref: 36,Barrette 1977,"Barrette, C., 1977. Some aspects of the behaviour of muntjacs in Wilpattu National Park. Mammalia, 41: 1-34.",
59,Density,Damuth Ref: 37,Batcheler 1975,"Batcheler, C. L., 1975. Development of a distance method for deer census from pellet groups. Journal of Wildlife Management, 39: 641-652.",
60,Density,Damuth Ref: 38,Batzli 1968,"Batzli, G. O., 1968. Dispersion patterns of mice in California annual grassland. Journal of Mammalogy, 49: 239-250.",
61,Density,Damuth Ref: 39,Bauchot 1966,"Bauchot, R. & Stephan, H., 1966. Données nouvelles sur l'encephalisation des insectivores et des prosimiens. Mammalia, 30: 160-196",
62,Density,Damuth Ref: 40,Bayless 1969,"Bayless, S. R., 1969. Winter food habits, range use, and home range of antelope in Montana. Journal of Wildlife Management, 33: 538-551.",
63,Density,Damuth Ref: 41,Beatley 1976,"Beatley, J. C., 1976a. Rainfall and fluctuating plant populations in relation to distributions and numbers of desert rodents in southern Nevada. Oecologia (Berlin), 24: 21-42.",
64,Density,Damuth Ref: 42,Beatley 1976,"Beatley, J. C., 1976b. Environments of kangaroo rats (Dipodomys) and effects of environmental change on populations in southern Nevada. Journal of Mammalogy, 57: 67-93.",
65,Density,Damuth Ref: 43,Beattie 1972,"Beattie, M., Bromley, H. J., Chambers, M., Goldspink, R., Vijverberg, J., Van Zalinge, N. P. & Golterman, H. L., 1972. Limnological studies on Tjeukemeer-a typical Dutch ""polder reservoir"". In Z. Kajak & A. Hillbricht-Ilkowska (Eds), Productivity Problems of Freshwaters: 421-446. Warsaw: Polish Scientific Publishers.",
66,Density,Damuth Ref: 44,Beecham 1983,"Beecham, J. J., 1983. Population characteristics of black bears in west central Idaho. Journal of Wildlife Management, 47: 405-412.",
67,Density,Damuth Ref: 45,Begg 1976,"Begg, R. J., 1976. Aggressiveness, body weight and injuries in long-haired rats (Rattus uillosissimus). Australian Zoologist, 19: 35-43.",
68,Density,Damuth Ref: 46,Bekoff 1975,"Bekoff, M. & Jamieson, R., 1975. Physical development in coyotes (Canis latrans), with a comparison to other canids. Journal of Mammalogy, 56: 685-692.",
69,Density,Damuth Ref: 47,Bell 1973,"Bell, R. H. V. & Grimsdell, J. J. R., 1973. The persecuted black lechwe of Zambia. Oryx, 12: 77-92.",
70,Density,Damuth Ref: 48,Bellier 1967,"Bellier, L., 1967. Recherches ecologiques dans la savane de Lamto (Cote d'lvoire): densites et biomasses des petits mammiferes. La Terre et La Vie, 21: 319-329.",
71,Density,Damuth Ref: 49,Bennett 1979,"Bennett, A. F. & Gorman, G. C., 1979. Population density and energetics of lizards on a tropical island. Oecologia, 42: 339-358.",
72,Density,Damuth Ref: 743,Benson 1964,"Benson, C. W., 1964. Leopard weights. The Puku, 2: 131.",
73,Density,Damuth Ref: 50,Bertram 1977,"Bertram, R. C. & Rempel, R. D., 1977. Migration of the North Kings deer herd. California Fish and Game, 63: 157-169.",
74,Density,Damuth Ref: 51,Best 1973,"Best, T. L., 1973. Ecological separation of three genera of pocket gophers (Geomyidae). Ecology, 54: 1311-1319.",
75,Density,Damuth Ref: 52,Bigler 1974,"Bigler, W. J., 1974. Seasonal movements and activity patterns of the collared peccary. Journal of Mammalogy, 55: 851-855.",
76,Density,Damuth Ref: 53,Bigler 1975,"Bigler, W. J. & Jenkins, J. H., 1975. Population characteristics of Peromyscus gossypinus and Sigmodon hispidus in tropical hammocks of South Florida. Journal of Mammalogy, 56: 633-644.",
77,Density,Damuth Ref: 54,Birkenholz 1963,"Birkenholz, D. E., 1963. A study of the life history and ecology of the round-tailed muskrat (Neofiber alleni True) in north-central Florida. Ecological Monographs, 33: 255-280.",
78,Density,Damuth Ref: 55,Blair 1940,"Blair, W. F., 1940. Home ranges and populations of the meadow vole in southern Michigan. Journal of Wildlife Management, 4: 149-161.",
79,Density,Damuth Ref: 56,Blair 1943,"Blair, W. F., 1943. Populations of the deermouse and associated small mammals in the mesquite association of southern New Mexico. University of Michigan Contributions of the Laboratory of Vertebrate Biology, 21: 1-40.",
80,Density,Damuth Ref: 57,Blankenship 1972,"Blankenship, L. H. & Field, C. R., 1972. Factors affecting the distribution of wild ungulates on a ranch in Kenya. A preliminary report. Zoologica Africana, 7: 281-302.",
81,Density,Damuth Ref: 58,Bleich 1975,"Bleich, V. C. & Schwartz, O. A., 1975. Observations on the home range of the desert woodrat, Neotoma lepida intermdia. Journal of Mammalogy, 56: 518-519.",
82,Density,Damuth Ref: 59,Block 1966,"Block, W., 1966. Seasonal fluctuations and distribution of mite populations in moorland soils, with a note on biomass. Journal of Animal Ecology, 35: 487-503.",
83,Density,Damuth Ref: 60,Bobek 1969,"Bobek, B., 1969. Survival, turnover, and production of small rodents in a beech forest. Ada Theriologica, 14: 191-210.",
84,Density,Damuth Ref: 61,Bobek 1971,"Bobek, B., 1971. Influence of population density upon rodent production in a deciduous forest. Annales Zoologici Fennici, 8: 137-144.",
85,Density,Damuth Ref: 62,Bopp 1958,"Bopp, P., 1958. Zur Frage der Hirschpopulation im Schweizerischen Nationalpark. Revue Suisse de Zoologie, 65: 305-311.",
86,Density,Damuth Ref: 63,Borner 1978,"Borner, M., 1978. Status and conservation of the Sumatran tiger. Carnivore, 1: 97-102.",
87,Density,Damuth Ref: 64,Borowski 1967,"Borowski, S., Krasinski, Z. & Milkowski, L., 1967. Food and role of the European bison in forest ecosystems. Acta Theriologica, 12: 367-376.",
88,Density,Damuth Ref: 65,Bouffard 1978,"Bouffard, S. H. & Hein, D., 1978. Census methods for eastern gray squirrels. Journal of Wildlife Management, 42: 550-557.",
89,Density,Damuth Ref: 66,Bourliere 1962,"Bourliere, F., 1962. Les populations des ongules sauvages Africains: caracteristiques ecologiques et implications economiques. La Terre et La Vie, 16: 150-160.",
90,Density,Damuth Ref: 67,Bourliere 1965,"Bourliere, F., 1965. Densities and biomasses of some ungulate populations in eastern Congo and Rwanda, with notes on population structure and lion/ungulate ratios. Zoologica Africana, 1: 199-207.",
91,Density,Damuth Ref: 68,Bourliere 1969,"Bourliere, F., Bertrand, M. & Hunkeler, C., 1969. L'ecologie de la mone de Lowe (Cercopithecus campbelli lowei) en Côte d'lvoire. La Terre el La Vie, 23: 135-163.",
92,Density,Damuth Ref: 69,Bourquin 1971,"Bourquin, O., Vincent, J. & Hitchins, P. M., 1971. The vertebrates of the Hluhluwe Game Reserve—Corridor (state land)—Umfolozi Game Reserve complex. The Lammergeyer, 14: 5-58.",
93,Density,Damuth Ref: 70,Brady 1979,"Brady, C. A., 1979. Observations on the behavior of the crab-eating fox (Cerdocyon thous). In J. F. Eisenberg (Ed.), Vertebrate Ecology in the Northern Neotropics: 161-171. Washington, D.C.: Smithsonian Institution Press.",
94,Density,Damuth Ref: 71,Braithwaite 1978,"Braithwaite, R. W., Cockburn, A. & Lee, A. K., 1978. Resource partitioning by small mammals in lowland heath communities of south-eastern Australia. Australian Journal of Ecology, 3: 423-445.",
95,Density,Damuth Ref: 73,Brian 1965,"Brian, M. V., Hibble, J. & Stradling, D. J., 1965. Ant pattern and density in a southern English heath. Journal of Animal Ecology, 34: 545-555.",
96,Density,Damuth Ref: 72,Brian 1967,"Brian, M. V., Elmes, G. & Kelley, A. F., 1967. Populations of the ant Tetramorium caespitum. Journal of Animal Ecology, 36: 337-342.",
97,Density,Damuth Ref: 74,Briederman 1971,"Briederman, L., 1971. Die Migrationen des Elches (Alces alces L. 1758) in Mitteleuropa von 1957 bis ende 1966. Lynx (Praha), n. s., 12: 5-24.",
98,Density,Damuth Ref: 75,Broadbrooks 1965,"Broadbrooks, H. E., 1965. Ecology and distribution of pikas of Washington and Alaska. American Midland Naturalist, 73: 299-335.",
99,Density,Damuth Ref: 80,Brown 1964,"Brown, L. N., 1964. Dynamics in an ecologically isolated population of the brush mouse. Journal of Mammalogy, 45: 436-442.",
100,Density,Damuth Ref: 77,Brown 1969,"Brown, J. H. & Lee, A. K., 1969. Bergmann’s Rule and climatic adaptation in woodrats. Eriolufion, 23: 329-338.",
101,Density,Damuth Ref: 79,Brown 1969,"Brown, L. E., 1969. Field experiments on the movements of Apodemus syluaticus L. using trapping and tracking techniques. Oecologia (Berlin), 2: 198-222.",
102,Density,Damuth Ref: 81,Brown 1970,"Brown, L. N., 1970. Population dynamics of the western jumping mouse (Zapus princeps) during a four- year study. Journal of Mammalogy, 51: 651-658.",
103,Density,Damuth Ref: 78,Brown 1972,"Brown, J. H. & Lieberman, G. A., 1972. Woodrats and cholla: dependence of a small mammal population on the density of cacti. Ecology, 53: 310-313.",
104,Density,Damuth Ref: 76,Brown 1973,"Brown, J. H., 1973. Species diversity of seed-eating desert rodents in sand dune habitats. Ecology, 54: 775-787.",
105,Density,Damuth Ref: 83,Bruckner 1957,"Bruckner, C. H., 1957. Population studies on small mammals of southeastern Manitoba. Journal of Mammalogy, 38: 87-97.",
106,Density,Damuth Ref: 82,Bruns 1977,"Bruns, E. H., 1977. Winter behavior of pronghorns in relation to habitat. Journal of Wildlife Management, 41: 560-571.",
107,Density,Damuth Ref: 736,Buckner 1969,"Buckner, C. H., 1969. Some aspects of the population ecology of the common shrew, Sorex araneus, near Oxford, England. Journal of Mammalogy, 50:326-332. ",
108,Density,Damuth Ref: 84,Buechner 1960,"Buechner, H. K., 1960.The bighorn sheep in the United States, its past, present, and future. Wildlife Monographs, 4: 1-174.",
109,Density,Damuth Ref: 85,Buechner 1961,"Buechner, H. K., 1961. Regulation of numbers of pronghorn antelope in relation to land use. La Terre et La Vie, 15: 266-285. ",
110,Density,Damuth Ref: 86,Buechner 1963,"Buechner, H. K., Buss, I. O., Longhurst, W. M., & Brooks, A. C., 1963. Numbers and migration of elephants in Murchison Falls National Park, Uganda. Journal of Wildlife Management, 27: 36-53. ",
