species,genus,family,trait_name,trait_value,unit,method,latitude,longitude,elevation_m,source_dataset,source_url,source_record_id,project_pi,retrieved_utc
Cereus jamacaru,Cereus,Cactaceae,plant flowering duration,3,month,,,,,BIEN,http://datadryad.org/resource/doi:10.5061/dryad.6t7t6,3190576,Bezeng BS,2026-03-28 23:42:38 UTC
Cereus jamacaru,Cereus,Cactaceae,plant flowering begin,11,month,,,,,BIEN,http://datadryad.org/resource/doi:10.5061/dryad.6t7t6,3190577,Bezeng BS,2026-03-28 23:42:38 UTC
Opuntia humifusa,Opuntia,Cactaceae,seed mass,29.4,mg,data compilation; average of 1000 seeds,,,,BIEN,http://www.kew.org/data/sid ,3193825,"Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H.",2026-03-28 23:42:38 UTC
Echinopsis spachiana,Echinopsis,Cactaceae,plant flowering duration,5,month,,,,,BIEN,http://datadryad.org/resource/doi:10.5061/dryad.6t7t6,3194354,Bezeng BS,2026-03-28 23:42:38 UTC
Echinopsis spachiana,Echinopsis,Cactaceae,plant flowering begin,11,month,,,,,BIEN,http://datadryad.org/resource/doi:10.5061/dryad.6t7t6,3194355,Bezeng BS,2026-03-28 23:42:38 UTC
Opuntia basilaris,Opuntia,Cactaceae,whole plant growth form,shrub,,,,,,BIEN,https://www.jstor.org/stable/1936684?seq=1#page_scan_tab_contents,3229965,Shmida A,2026-03-28 23:42:38 UTC
Cylindropuntia bigelovii,Cylindropuntia,Cactaceae,flower color,Yellow,,,,,,BIEN,https://bien.nceas.ucsb.edu/bien/,3246357,,2026-03-28 23:42:38 UTC
Echinocactus horizonthalonius,Echinocactus,Cactaceae,seed mass,7.11,mg,data compilation; average of 1000 seeds,,,,BIEN,http://www.kew.org/data/sid ,3240680,"Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H.",2026-03-28 23:42:38 UTC
Opuntia polyacantha,Opuntia,Cactaceae,plant flowering begin,7,month,first-flowering time,,,,BIEN,https://bien.nceas.ucsb.edu/bien/,3237388,Steven Travers,2026-03-28 23:42:38 UTC
Browningia candelaris,Browningia,Cactaceae,leaf phosphorus content per leaf dry mass,2.05258,mg.g-1,,-22.60444,-77.05083,2250,BIEN,https://bien.nceas.ucsb.edu/bien/,3237411,Cyrille Violle/Brian Enquist ,2026-03-28 23:42:38 UTC
Opuntia polyacantha,Opuntia,Cactaceae,plant flowering begin,6/29/1913,date,first-flowering time,,,,BIEN,https://bien.nceas.ucsb.edu/bien/,3237788,Steven Travers,2026-03-28 23:42:38 UTC
Escobaria vivipara,Escobaria,Cactaceae,plant flowering begin,6/13/1918,date,first-flowering time,,,,BIEN,https://bien.nceas.ucsb.edu/bien/,3237814,Steven Travers,2026-03-28 23:42:38 UTC
Opuntia polyacantha,Opuntia,Cactaceae,plant flowering begin,6,month,first-flowering time,,,,BIEN,https://bien.nceas.ucsb.edu/bien/,3237816,Steven Travers,2026-03-28 23:42:38 UTC
Opuntia polyacantha,Opuntia,Cactaceae,plant flowering begin,7,month,first-flowering time,,,,BIEN,https://bien.nceas.ucsb.edu/bien/,3237940,Steven Travers,2026-03-28 23:42:38 UTC
Opuntia polyacantha,Opuntia,Cactaceae,plant flowering begin,7/5/1912,date,first-flowering time,,,,BIEN,https://bien.nceas.ucsb.edu/bien/,3237949,Steven Travers,2026-03-28 23:42:38 UTC
Echinocactus polycephalus,Echinocactus,Cactaceae,seed mass,7.273,mg,data compilation; average of 1000 seeds,,,,BIEN,http://www.kew.org/data/sid ,3240690,"Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H.",2026-03-28 23:42:38 UTC
Opuntia littoralis,Opuntia,Cactaceae,seed mass,7.294,mg,data compilation; average of 1000 seeds,,,,BIEN,http://www.kew.org/data/sid ,3242408,"Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H.",2026-03-28 23:42:38 UTC
Opuntia sulphurea,Opuntia,Cactaceae,whole plant woodiness,herbaceous,,,,,,BIEN,http://datadryad.org/resource/doi:10.5061/dryad.63q27.2,3242442,Zanne AE,2026-03-28 23:42:38 UTC
