source_dataset,source_url,source_record_id,species,genus,family,trait_group,trait_name,trait_value,unit,method,latitude,longitude,elevation_m,project_pi,access,retrieved_utc
BIEN,http://datadryad.org/resource/doi:10.5061/dryad.m88g7,3453845,Opuntia fragilis,Opuntia,Cactaceae,body_size,whole plant height,0.2,m,"These measurements are taken from of a larger dataset assembled by Cornwell. Cornwell, W.K., Westoby, M., Falster, D.S. et al. (2014) Functional distinctiveness of major plant lineages. Journal of Ecology, 102, 345Â356.",,,,Marx HE,public,2026-03-28 22:54:12 UTC
BIEN,http://www.kew.org/data/sid ,3864766,Echinocactus horizonthalonius,Echinocactus,Cactaceae,body_size,seed mass,7.11,mg,data compilation; average of 1000 seeds,,,,"Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H.",public,2026-03-28 22:54:12 UTC
BIEN,http://www.kew.org/data/sid ,3894409,Opuntia basilaris,Opuntia,Cactaceae,body_size,seed mass,27.608,mg,data compilation; average of 1000 seeds,,,,"Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H.",public,2026-03-28 22:54:12 UTC
BIEN,http://www.kew.org/data/sid ,3895447,Opuntia ficus-indica,Opuntia,Cactaceae,body_size,seed mass,25,mg,data compilation; average of 1000 seeds,,,,"Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H.",public,2026-03-28 22:54:12 UTC
BIEN,http://www.kew.org/data/sid ,3956956,Carnegiea gigantea,Carnegiea,Cactaceae,body_size,seed mass,1.007983,mg,data compilation; average of 1000 seeds,,,,"Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H.",public,2026-03-28 22:54:12 UTC
BIEN,https://bien.nceas.ucsb.edu/bien/,3958338,Mammillaria grahamii,Mammillaria,Cactaceae,flower_color,flower color,Pink,,,,,,,public,2026-03-28 22:54:12 UTC
BIEN,https://bien.nceas.ucsb.edu/bien/,3962390,Cylindropuntia echinocarpa,Cylindropuntia,Cactaceae,flower_color,flower color,Yellow,,,,,,,public,2026-03-28 22:54:12 UTC
BIEN,https://bien.nceas.ucsb.edu/bien/,3962721,Cylindropuntia bigelovii,Cylindropuntia,Cactaceae,flower_color,flower color,Yellow,,,,,,,public,2026-03-28 22:54:12 UTC
BIEN,https://bien.nceas.ucsb.edu/bien/,3963820,Bergerocactus emoryi,Bergerocactus,Cactaceae,flower_color,flower color,Yellow,,,,,,,public,2026-03-28 22:54:12 UTC
BIEN,https://bien.nceas.ucsb.edu/bien/,3963930,Cylindropuntia whipplei,Cylindropuntia,Cactaceae,flower_color,flower color,Yellow,,,,,,,public,2026-03-28 22:54:12 UTC
BIEN,https://bien.nceas.ucsb.edu/bien/,3964474,Echinocereus fasciculatus,Echinocereus,Cactaceae,flower_color,flower color,Red,,,,,,,public,2026-03-28 22:54:12 UTC
BIEN,https://bien.nceas.ucsb.edu/bien/,3966313,Carnegiea gigantea,Carnegiea,Cactaceae,flower_color,flower color,White,,,,,,,public,2026-03-28 22:54:12 UTC
BIEN,https://bien.nceas.ucsb.edu/bien/,3966315,Echinocereus triglochidiatus,Echinocereus,Cactaceae,flower_color,flower color,Red,,,,,,,public,2026-03-28 22:54:12 UTC
BIEN,https://bien.nceas.ucsb.edu/bien/,3966908,Peniocereus greggii,Peniocereus,Cactaceae,flower_color,flower color,White,,,,,,,public,2026-03-28 22:54:12 UTC
BIEN,https://bien.nceas.ucsb.edu/bien/,3968365,Cylindropuntia fulgida,Cylindropuntia,Cactaceae,flower_color,flower color,Purple,,,,,,,public,2026-03-28 22:54:12 UTC
BIEN,https://bien.nceas.ucsb.edu/bien/,3982296,Opuntia polyacantha,Opuntia,Cactaceae,flower_color,flower color,Yellow,,,,,,,public,2026-03-28 22:54:12 UTC
