site,Leaf_N_g/kg,Leaf_P_g/kg,NPP_kgCm-2y-1,Mean_annual_temperature_°„C,Thornthwaite_moisture_index,Soil_total_N_Concentration_g/kg,Soil_total_P_Concentration_g/kg,Type
GDHZ004,10.84518269,0.487804122,0.6697,21.76475,60.57434082,1.14675843,0.31281318,Shrub community
GDJM001,13.69050576,0.74001247,NA,22.74999984,78.55737305,0.85646118,0.03646853,Shrub community
GDJM002,9.132038102,0.510486398,1.041425,21.98591667,79.79338837,1.01215152,0.25666091,Shrub community
GDJM003,9.187966434,0.43916967,0.52685,22.3789,76.64694214,1.43974509,0.12470746,Shrub community
GDLM001,9.591887403,0.471674554,0.578675,21.086325,72.54464722,0.70520899,0.13215451,Shrub community
GDLM002,5.583905037,0.347501411,0.783525,21.32248333,70.01014709,0.85150671,0.18176101,Shrub community
GDMZ001,9.060754003,0.574499302,0.75585,20.20928333,53.64948654,0.89646294,0.21334141,Shrub community
GDMZ002,6.606908562,0.345227909,0.80235,20.20580833,53.93341827,0.65093386,0.33951924,Shrub community
GDMZ003,10.27288625,0.507980264,0.86355,21.04491667,40.64275742,0.65801091,0.20641051,Shrub community
GDMZ004,5.111679235,0.347586694,0.85145,21.07535833,39.75860214,0.49157156,0.14615146,Shrub community
GDMZ005,7.559161202,0.41497277,0.78735,20.73559167,46.38782883,0.87367506,0.24012117,Shrub community
GDMZ006,9.068531078,0.773165885,0.785175,20.78364167,47.84341431,0.96622344,0.60656021,Shrub community
GDQX001,8.728922363,0.395492984,0.74525,20.38776667,68.9179306,0.91590913,0.11260394,Shrub community
GDRY001,13.17367467,0.828476824,0.546725,19.10513333,76.31461334,2.34474907,0.45776266,Shrub community
GDRY002,11.19427987,0.338829552,0.530925,17.62924167,102.2219543,1.67535087,0.14691476,Shrub community
GDWY001,5.91769847,0.393357852,1.1317,19.33833833,87.49628448,NA,NA,Shrub community
GDYD001,10.18851585,0.865160402,0.76355,20.10939167,67.28757477,NA,NA,Shrub community
GDYS001,6.59979414,0.417276151,0.5141,18.82601167,80.45684814,0.82051802,0.14992696,Shrub community
GS001,23.51553493,1.231001738,0.531625,8.558072167,-2.206362486,1.37217753,0.61748291,Shrub community
GS002,13.64948244,1.134440898,0.39535,7.821523333,0,1.92513067,0.64297417,Shrub community
GS003,25.85081173,1.49565624,0.40305,9.649745917,-3.89024353,3.23460279,0.8056903,Shrub community
GS004,22.08082608,1.239244961,0.747775,8.119153333,2.023204565,1.31537152,0.5977622,Shrub community
GS005,14.62,0.964,0.304475,5.8032985,-2.113246918,1.75953844,0.74326439,Shrub community
GS006,17.40035641,1.114940416,0.41165,4.151390183,29.15433884,1.30071535,0.66842768,Shrub community
GS007,39.2825,2.45625,0.588625,5.99509475,23.17906189,0.78194416,0.76104878,Shrub community
GS008,17.72076458,1.14342139,0.538225,12.71864342,-8.504893303,1.67499415,0.58264647,Shrub community
GS009,23.74027824,1.160831322,0.634825,12.40626075,-8.496052742,0.6797492,0.55387067,Shrub community
GS010,24.31816242,1.648550049,0.5648,11.35595858,-4.017515182,0.96454661,0.49133948,Shrub community
GS011,33.20913553,1.895119318,0.4122,6.170827645,-8.586723328,1.71333659,0.77111843,Shrub community
GS012,21.3863198,0.960407476,0.3955,3.089674167,17.75322914,5.49213955,0.97877165,Shrub community
GS013,25.57469558,1.376297868,0.326775,-2.74828,83.39717102,3.42640915,0.79438453,Shrub community
GS014,12.50438109,1.362482141,NA,9.694769583,-95.10757446,0.26073758,0.37238379,Shrub community
GS015,18.41913581,1.136903782,NA,9.654915417,-94.92168427,0.23418594,0.31952902,Shrub community
GS016,35.20303329,1.079341761,NA,9.686200167,-94.66739655,0.21649701,0.3709579,Shrub community
GS018,7.254176736,0.67064862,NA,8.700508583,-93.73963165,0.08131808,0.34041056,Shrub community
GS019,29.24211025,0.931257918,NA,10.17588567,-97.48135376,0.33470535,0.31254193,Shrub community
GS021,18.18820675,0.752447798,NA,7.585805833,-92.21248627,0.17030022,0.4447578,Shrub community
GS022,21.22836739,1.067464181,NA,7.586285,-92.42558289,0.08676442,0.32333587,Shrub community
GS025,17.15967536,0.643185253,NA,7.81658375,-86.87705994,0.23967422,0.36602732,Shrub community
GS026,10.1639547,0.387673555,NA,8.2977045,-87.74920654,0.34974471,0.41416448,Shrub community
GS027,21.44694289,1.407144704,NA,5.7741629,-79.67240906,0.38045323,0.59097534,Shrub community
GS028,7.254176736,0.67064862,NA,7.2302925,-80.01223755,0.16034479,0.63439913,Shrub community
GS029,24.60006317,0.864622497,NA,5.893021417,-72.80561829,0.62565642,0.77734344,Shrub community
GS030,24.86604771,0.798796614,NA,7.080335833,-85.95246887,0.16507527,0.36385412,Shrub community
GX001,16.98240362,1.276779186,0.71965,20.89483333,39.57054138,5.00963455,1.26027558,Shrub community
GX002,16.6119877,1.025192081,0.709275,16.56907667,83.27371979,1.61607306,0.24386577,Shrub community
GX003,14.22642153,1.034361779,0.7747,17.90848167,61.09301376,1.62937368,0.48004241,Shrub community
GX004,13.89172306,1.053940593,0.686475,17.20560917,72.42243195,1.12675768,0.18269726,Shrub community
GX005,7.077893816,0.336114606,0.5073,21.77378333,48.84442139,0.81747177,0.0903157,Shrub community
GX006,10.67797961,0.374636509,0.652825,22.01240833,84.01906586,0.80657917,0.14941889,Shrub community
GX007,10.85829538,0.527457755,0.5406,22.452425,48.70456696,0.81969669,0.17117531,Shrub community
GX008,10.63100591,0.331444499,0.420625,22.045725,83.6743927,0.84010189,0.1194494,Shrub community
GX009I,8.424706338,0.705501598,0.59645,21.82283333,32.56032944,4.96665307,0.89586349,Shrub community
GX009II,10.28403538,0.713342063,0.59875,21.83484167,31.06227684,4.03840035,0.41928606,Shrub community
GX010,13.15418785,0.989140298,0.689825,21.59201667,29.51548195,3.63747738,0.80574311,Shrub community
GX011,6.898727737,0.599552263,0.52595,22.26505833,17.74542809,3.22688125,0.40867363,Shrub community
GX012,8.738382255,0.53096016,0.443875,15.39267583,130.2071381,1.86462782,0.23539636,Shrub community
GX013,12.62077587,0.860946656,0.8907,20.52408333,19.3963356,2.3680459,0.47151906,Shrub community
GX014,8.390930894,0.556556421,0.561175,21.8594,-0.354329139,1.722817,0.38671089,Shrub community
GX015,8.394653143,0.488172864,0.693375,22.03485833,-1.656640291,1.25015925,0.43017405,Shrub community
GX016,8.430041517,0.557855738,0.67185,18.078305,80.30950928,1.0188399,0.34349207,Shrub community
GX017,13.76487319,0.871780823,0.495125,18.80414583,65.03807068,1.72612896,0.42048649,Shrub community
GX018,15.0735904,0.958481199,0.45835,19.60558167,59.52451324,2.33192381,0.42851866,Shrub community
GX019,9.223978623,0.560853979,0.63115,19.08118583,93.33771515,1.32045956,0.3025512,Shrub community
GX020,12.65677639,1.04242855,0.769775,20.67548333,32.93912888,1.39758513,0.30269194,Shrub community
