;TraitIdentifierAccordingToTop-thesaurus.org;NA;TOP112;NA;TOP293;TOP25;TOP50;TOP45;NA;TOP935;TOP76;NA;NA;TOP69;TOP452;TOP462;TOP491;TOP501;TOP713;TOP723;NA;NA;NA
Abbreviated Species Name;Species name according to Daphne phylogenetic tree (Durka & Michalski 2012) ;Seed number;Seed mass;Reproductive mass;Onset of seed ripening;Leaf area;Specific leaf area;Leaf dry matter content;Specific stem length;Specific root length;Plant leaf dry mass;Plant stem dry mass;Plant root and rhizome dry mass;Plant height vegetative;Leaf carbon concentration per mass;Leaf nitrogen concentration per mass;Stem carbon concentration per mass;Stem nitrogen concentration per mass;Root carbon concentration per mass;Root nitrogen concentration per mass;Leaf mass fraction;Stem mass fraction;Below-ground mass fraction
;;n;mg;mg;Julian day;mm²;mm² mg-1;mg g-1;mm mg-1;mm mg-1;mg;mg;mg;cm;%;%;%;%;%;%;Proportion;Proportion;Proportion
Spec_short4;Spec_Daphne;SN;SM;RepM;ONSET;LA;SLA;LDMC;SSL;RSL;LBM;SBM;BlBM;CH;LCC;LNC;SCC;SNC;RCC;RNC;LBMVegfrac;SBMVegfrac;BlBMVegfrac
Empe_nigr;Empetrum_nigrum;250.44;1.11;279.13;167.00;5.10;11.57;376.78;1.26;162.89;1293.89;2136.96;1230.60;22.20;53.96;1.33;53.45;0.78;52.07;0.86;0.31;0.45;0.23
Epil_parv;Epilobium_parviflorum;270.50;0.07;18.60;239.00;18.13;35.12;233.20;1.01;8.86;8.88;661.25;130.20;67.00;42.01;0.90;45.53;0.44;43.41;0.90;0.01;0.84;0.15
Equi_palu;Equisetum_palustre;100000.00;0.00;100.00;152.00;65.67;17.38;122.48;3.41;10.70;160.82;172.41;80.97;32.81;38.61;2.57;38.73;1.38;44.97;0.91;0.39;0.42;0.20
Eric_tetr;Erica_tetralix;141812.00;0.01;1833.47;167.00;2.69;16.51;565.73;2.69;4.59;1269.66;4088.10;3685.48;32.20;56.42;1.67;51.91;0.95;52.61;1.16;0.14;0.45;0.41
Erig_annu;Erigeron_annuus;7143.00;0.25;1785.75;175.00;406.81;28.08;196.98;1.47;5.51;707.68;1563.76;2316.76;43.00;45.83;1.64;44.60;0.58;42.29;0.67;0.16;0.38;0.45
Erod_cicu;Erodium_cicutarium;400.00;1.41;563.87;152.00;237.85;21.11;148.53;2.09;4.96;262.72;275.55;188.26;9.94;49.36;3.03;45.25;0.92;47.90;0.78;0.37;0.37;0.26
Fest_arun;Festuca_arundinacea;132.33;1.17;171.15;208.17;432.13;24.28;309.03;2.50;24.21;191.23;865.70;303.49;65.28;42.05;0.73;43.75;0.21;43.39;0.65;0.13;0.63;0.24
Fest_ovin;Festuca_ovina;85.53;0.44;37.27;159.83;92.56;10.38;331.65;5.08;22.81;321.57;300.55;1407.15;13.83;44.82;1.10;46.60;0.66;49.98;1.03;0.22;0.32;0.46
Fest_prat;Festuca_pratensis;100.00;1.95;194.78;152.00;483.68;24.19;201.25;2.89;12.74;451.47;1061.53;2807.80;59.00;45.42;1.33;44.67;0.96;55.86;0.43;0.12;0.39;0.49
Fest_rubr_lito;Festuca_rubra;54.81;0.82;35.17;175.76;93.98;17.56;302.05;7.21;45.65;28.74;91.32;78.50;26.83;44.33;1.07;43.67;0.78;38.25;0.90;0.17;0.54;0.29
Fest_rubr_rubr;Festuca_rubra;1110.09;0.42;338.05;192.21;126.10;16.74;313.07;6.86;29.36;228.60;144.79;85.74;37.42;43.69;1.49;45.92;0.60;44.14;0.81;0.12;0.61;0.27
Gali_apar;Galium_aparine;124.86;4.25;594.85;222.60;42.63;26.85;372.24;4.13;12.71;355.93;1170.76;304.86;66.08;41.30;1.94;44.47;2.03;45.48;1.40;0.18;0.72;0.10
Gali_moll;Galium_mollugo;10867.00;0.73;7957.81;177.80;16.04;30.16;288.23;4.90;5.22;302.66;660.78;287.47;36.40;44.00;1.93;45.30;1.04;42.93;1.11;0.20;0.55;0.25
Gali_saxa;Galium_saxatile;91.60;0.61;56.03;167.00;40.10;33.25;186.74;16.47;29.27;15.93;25.87;21.34;8.00;53.69;1.82;51.57;1.14;55.89;3.03;0.25;0.41;0.34
Gali_veru;Galium_verum;18.50;0.87;16.05;260.20;69.98;12.37;390.98;3.34;62.55;67.43;103.18;105.27;9.00;44.26;1.83;46.05;1.14;40.94;1.66;0.31;0.36;0.34
Glau_mari;Glaux_maritima;31.09;0.64;25.37;252.81;16.95;19.46;270.86;4.48;13.39;67.14;72.94;40.44;8.10;40.84;1.52;39.43;0.79;41.74;0.72;0.36;0.43;0.21
Glyc_flui;Glyceria_fluitans;45.89;0.93;43.44;244.18;745.71;27.83;339.47;1.72;55.57;369.50;656.22;68.45;39.70;40.50;1.84;43.60;0.70;44.00;0.80;0.10;0.83;0.06
Glyc_maxi;Glyceria_maxima;179.50;0.61;104.30;214.00;3355.58;20.51;339.10;1.94;17.88;1752.90;5154.40;1712.65;128.00;43.54;1.08;42.61;0.63;43.99;1.02;0.20;0.60;0.20
Hali_port;Halimione_portulacoides;468.78;2.82;1122.32;235.74;186.15;13.39;165.90;0.95;11.03;2869.74;9183.15;3908.03;28.71;38.45;1.70;44.72;0.97;44.45;1.26;0.18;0.53;0.29
Heli_numm;Helianthemum_nummularium;75.48;1.09;82.33;161.00;82.06;22.96;203.98;4.43;5.71;411.13;842.92;585.67;10.75;45.14;2.66;46.53;1.20;48.52;1.55;0.19;0.45;0.36
Hier_pilo;Hieracium_pilosella;75.96;0.24;18.58;153.50;228.24;21.82;157.33;5.66;5.22;62.85;61.99;131.18;1.37;46.99;1.76;44.41;0.85;49.52;0.74;0.26;0.25;0.49
Hipp_como;Hippocrepis_comosa;120.00;3.75;449.82;161.33;409.25;25.98;184.69;3.84;6.60;454.56;1203.93;2313.55;12.33;43.88;4.07;45.89;1.93;48.81;1.51;0.14;0.28;0.58
Holc_lana;Holcus_lanatus;732.05;0.14;109.55;205.30;529.87;32.95;280.42;3.76;87.21;145.12;318.46;229.08;41.65;41.65;1.46;44.20;0.60;42.52;1.18;0.18;0.54;0.27
Hydr_mors;Hydrocharis_morsus-ranae;0.00;0.00;0.00;152.00;559.19;73.83;63.51;20.93;49.52;47.80;18.19;28.46;4.00;45.87;3.60;50.53;1.88;48.14;1.82;0.53;0.19;0.28
Hype_perf;Hypericum_perforatum;20933.60;0.12;2482.20;176.40;76.86;24.45;283.62;1.11;1.67;1756.28;3720.62;1861.80;46.00;48.05;1.71;46.68;0.50;47.43;0.65;0.24;0.51;0.25
Hypo_radi;Hypochaeris_radicata;375.61;0.63;237.49;152.00;828.09;17.32;107.27;1.99;6.99;836.14;697.65;941.97;0.50;43.78;1.90;44.22;1.80;44.75;0.85;0.37;0.27;0.36
Junc_comp;Juncus_compressus;117.00;0.02;1.80;239.00;139.59;29.44;213.20;4.84;20.63;27.60;160.45;152.27;39.88;38.77;1.08;43.29;0.91;38.27;0.75;0.15;0.49;0.36
Junc_cong;Juncus_conglomeratus;17389.33;0.01;118.67;209.75;3123.66;6.81;250.12;3.48;8.61;548.55;319.27;728.62;68.00;46.61;1.37;45.72;0.99;45.19;1.41;0.38;0.13;0.49
Junc_gera;Juncus_gerardii;1638.67;0.07;71.07;234.24;139.37;11.58;373.34;5.04;6.07;54.96;129.48;282.28;24.72;44.15;1.23;46.29;1.10;43.87;0.72;0.12;0.28;0.59
Koel_pyra;Koeleria_pyramidata;203.77;2.30;468.67;161.25;256.92;21.85;210.62;2.16;10.83;51.30;2953.34;4150.27;21.75;44.86;1.70;45.29;0.77;43.69;0.80;0.02;0.48;0.50
Leon_autu;Leontodon_autumnalis;189.57;0.53;78.26;234.85;951.78;32.79;193.22;3.36;25.12;342.84;712.39;194.44;17.34;41.84;2.09;44.34;1.43;43.51;1.38;0.34;0.46;0.19
Leuc_vulg;Leucanthemum_vulgare;3008.99;0.38;1153.75;159.00;129.56;34.19;151.55;2.28;18.95;60.60;208.35;55.95;39.00;37.61;1.73;45.14;0.64;46.56;0.92;0.19;0.64;0.17
Limo_vulg;Limonium_vulgare;691.77;1.37;1213.48;230.52;1681.32;13.37;208.34;0.75;28.53;4172.17;1193.61;15173.65;14.51;41.26;1.90;44.78;0.98;43.21;1.01;0.27;0.13;0.60
Loli_pere;Lolium_perenne;38.70;1.89;69.32;210.18;461.63;26.29;245.72;2.16;30.07;99.19;620.65;186.78;34.18;42.62;1.63;44.04;0.68;41.99;1.00;0.16;0.61;0.23
Lotu_pedu;Lotus_pedunculatus;70.90;4.63;328.17;152.00;374.65;45.21;132.08;4.29;15.07;116.48;135.99;48.08;27.80;48.30;3.89;46.11;1.85;52.40;2.46;0.40;0.45;0.15
Luzu_camp;Luzula_campestris;1350.44;0.68;914.09;152.00;105.27;29.28;183.81;7.43;30.27;21.04;31.42;96.05;10.50;52.21;1.58;49.34;1.07;49.09;0.89;0.16;0.25;0.58
Lych_flos;Lychnis_flos-cuculi;4317.00;0.20;857.36;151.17;412.80;27.75;147.94;2.52;14.52;173.91;451.13;396.82;44.29;43.75;1.65;44.74;0.71;52.05;0.99;0.17;0.49;0.34
Lyco_euro;Lycopus_europaeus;4417.99;0.20;903.06;248.00;639.54;29.97;302.38;1.15;17.61;364.92;299.48;335.12;38.89;44.14;1.64;42.99;0.60;46.30;1.17;0.32;0.31;0.37
Oeno_bien;Oenothera_biennis;46550.00;0.58;26935.38;174.20;1168.81;16.04;195.55;0.32;1.13;4122.86;3791.52;2365.51;68.80;43.74;1.15;43.31;0.60;41.50;0.74;0.38;0.40;0.22
Phal_arun;Phalaris_arundinacea;329.47;0.36;122.13;201.57;1823.93;23.66;321.40;2.49;13.94;593.41;2399.47;729.27;116.32;42.38;1.60;42.90;0.70;45.04;1.25;0.14;0.64;0.22
Phle_prat;Phleum_pratense;576.93;0.26;134.73;226.91;974.11;24.99;305.30;1.26;65.89;281.68;1254.26;324.79;56.34;42.73;1.41;44.96;0.73;36.57;1.09;0.13;0.68;0.19
Phra_aust;Phragmites_australis;5692.90;0.19;1035.03;251.75;4668.40;14.60;427.86;0.34;7.92;2422.45;7832.53;4586.72;151.61;45.04;2.04;45.61;0.54;44.42;1.30;0.17;0.58;0.25
Plan_lanc;Plantago_lanceolata;258.62;0.89;167.85;218.85;1362.87;26.99;210.03;2.44;12.48;1133.92;441.96;421.18;24.11;42.50;1.46;45.00;0.85;42.09;1.08;0.43;0.27;0.29
Plan_majo;Plantago_major;581.96;0.27;151.67;250.54;3076.85;23.13;121.28;1.92;18.45;693.56;281.14;359.23;9.21;37.30;2.04;44.14;0.46;36.20;1.00;0.49;0.22;0.29
Plan_mari;Plantago_maritima;532.78;1.88;530.98;208.58;1401.67;11.93;132.08;3.08;0.98;1239.13;688.29;2063.55;13.15;36.23;1.21;42.20;0.48;41.88;1.10;0.32;0.18;0.50
Plan_medi;Plantago_media;2894.00;0.39;1114.41;160.33;2071.61;25.93;142.15;2.48;19.76;493.63;212.43;185.93;5.33;39.95;1.83;44.51;0.87;46.88;0.83;0.57;0.23;0.20
Poa _angu;Poa_angustifolia;101.82;0.21;21.32;159.00;88.16;35.26;215.52;4.07;15.43;2.50;215.25;231.52;33.00;68.64;0.92;44.74;0.76;41.17;0.69;0.01;0.48;0.52
Poa _prat;Poa_pratensis;239.32;0.22;50.14;197.45;285.67;31.35;221.08;4.42;81.19;86.00;213.71;109.38;31.09;45.10;1.57;45.63;0.54;43.67;1.32;0.11;0.61;0.28
Poa _triv;Poa_trivialis;308.76;0.12;35.08;186.10;146.38;38.49;258.07;7.42;143.44;20.17;93.17;69.17;34.11;44.13;2.61;45.97;0.67;39.96;1.88;0.06;0.66;0.28
Poly_amph;Persicaria_amphibia;152.63;1.49;409.08;247.30;791.87;19.51;358.61;0.96;67.20;1362.55;1836.65;838.42;46.36;48.93;1.80;47.98;0.60;46.20;2.00;0.29;0.47;0.23
Pote_anse;Potentilla_anserina;28.45;0.50;16.35;244.95;773.31;28.83;259.39;9.28;23.18;386.61;209.64;201.42;19.94;43.74;1.86;43.89;0.97;44.54;1.04;0.42;0.21;0.37
Pote_arge;Potentilla_argentea;10931.00;0.10;1110.99;152.00;334.30;13.79;320.10;2.24;2.48;586.18;639.03;1679.70;20.00;45.64;1.87;46.50;0.70;48.43;0.84;0.24;0.17;0.59
Pote_rept;Potentilla_reptans;100.00;0.27;27.10;152.00;1514.69;35.58;234.03;1.32;1.47;4052.46;2240.41;3300.29;6.25;44.04;2.81;46.07;1.14;48.34;0.61;0.38;0.18;0.44
Pote_tabe;Potentilla_tabernaemontani;333.81;0.61;203.60;159.00;579.02;20.11;278.03;1.10;2.82;180.73;77.50;153.38;9.00;45.46;2.07;50.00;1.10;46.27;0.76;0.44;0.19;0.37
Pucc_mari;Puccinellia_maritima;43.87;1.82;96.11;220.48;76.16;15.14;307.57;4.63;56.98;62.52;209.93;153.43;28.82;42.38;1.62;43.39;0.91;34.89;1.25;0.21;0.55;0.25
Ranu_acri;Ranunculus_acris;267.46;1.22;336.78;168.27;688.30;20.02;197.76;2.32;3.42;181.26;594.22;614.47;36.64;42.78;2.23;43.89;0.79;42.31;0.70;0.17;0.39;0.44
Ranu_bulb;Ranunculus_bulbosus;4.00;0.49;2.25;171.50;326.29;26.36;336.60;5.19;13.10;54.52;92.19;153.01;11.55;45.97;2.52;45.64;1.00;44.35;0.90;0.19;0.39;0.42
Ranu_repe;Ranunculus_repens;59.39;1.44;75.21;190.73;1533.40;26.38;166.50;4.94;8.76;290.90;353.59;287.35;21.48;41.66;2.31;43.14;1.21;39.27;1.13;0.31;0.36;0.32
Ranu_scel;Ranunculus_sceleratus;26494.00;0.13;3453.05;152.00;339.17;37.86;100.97;2.81;21.01;169.38;359.21;434.14;23.33;41.87;1.66;41.73;0.93;40.65;1.17;0.18;0.38;0.44
Rume_acet;Rumex_acetosa;1169.58;0.33;302.71;163.78;687.72;22.02;176.49;1.10;3.87;157.49;1010.19;1692.71;45.34;46.09;3.04;46.34;0.87;44.86;0.95;0.09;0.45;0.46
Rume_actl;Rumex_acetosella;2666.80;0.36;960.23;167.00;81.74;26.11;161.97;6.67;11.30;100.88;307.24;403.56;15.60;49.41;3.00;48.44;1.27;50.93;1.19;0.15;0.33;0.52
Rume_cris;Rumex_crispus;1730.59;0.71;804.12;217.00;1023.88;15.59;200.92;0.66;0.38;2015.66;6486.38;24798.98;75.66;43.80;1.75;45.20;0.89;43.20;0.71;0.10;0.33;0.57
Sali_euro;Salicornia_europaea;1396.96;0.13;249.63;254.32;162.38;7.19;161.99;1.49;53.24;799.62;719.96;165.33;17.24;36.14;1.83;39.87;0.67;33.67;0.74;0.52;0.39;0.10
Salv_prat;Salvia_pratensis;572.21;2.57;1468.23;161.00;2868.97;25.56;176.62;0.81;9.74;749.83;557.77;537.78;29.25;43.83;2.91;44.61;0.66;35.06;1.01;0.38;0.33;0.29
Sang_mino;Sanguisorba_minor;300.00;4.24;1272.70;161.00;1023.00;25.25;236.19;3.20;5.45;295.66;160.83;275.25;16.25;44.83;1.99;44.23;0.81;47.64;0.87;0.40;0.22;0.38
Scir_mari;Bolboschoenus_maritimus;198.83;3.96;652.50;232.50;2104.69;13.10;280.45;0.72;29.16;1349.48;2626.34;1158.36;108.45;44.92;1.62;45.67;0.78;41.26;0.99;0.25;0.52;0.23
Sene_inae;Senecio_inaequidens;10000.00;0.28;2785.33;175.40;79.22;18.44;174.78;2.81;4.32;445.70;979.94;621.98;27.40;44.84;1.62;44.82;0.69;44.56;0.92;0.23;0.45;0.32
Spar_angl;Spartina_anglica;17.85;30.67;305.18;250.15;1380.22;9.55;366.50;0.51;16.58;764.80;1425.34;758.58;44.27;41.36;1.64;39.45;1.00;39.60;0.88;0.25;0.49;0.26
Sper_medi;Spergularia_media;314.54;0.25;48.84;268.17;446.06;12.75;174.77;7.08;69.23;173.81;261.52;1477.38;7.72;34.66;1.43;39.83;0.85;40.31;0.46;0.10;0.16;0.74
Stel_gram;Stellaria_graminea;209.85;0.15;35.69;256.75;82.56;29.27;267.12;4.24;17.40;780.40;971.95;14.96;31.25;44.91;3.17;45.39;1.39;44.05;1.57;0.42;0.55;0.03
