"";"species";"island";"islandgroup";"nat_score";"cult_stat";"family";"order";"dataset";"inva_stat";"orginal_name";"reference";"sp_ar";"sp_is";"dataset_ar";"nat_score2";"inva_stat2";"refid";"latitude";"longitude"
"3857";"Phyllanthus amarus";"Aunu'u";"Samoa";0;"0";"Phyllanthaceae";"Malpighiales";"glonpier";0;"Phyllanthus amarus Sch. & Thon.";"Whistler, W. A. 1998. A study of the rare plants of American Samoa. The U.S. Fish and Wildlife Service, Honolulu, Hawaii.";"Phyllanthus amarus_Samoa";"Phyllanthus amarus_Aunu'u";"glonpier";0;0;"1";"-14.284039";"-170.553464"
"3858";"Abrus precatorius";"Aunu'u";"Samoa";0,75;"0";"Fabaceae";"Fabales";"glonpier";0,5;"Abrus precatorius L.";"Whistler, W. A. 1998. A study of the rare plants of American Samoa. The U.S. Fish and Wildlife Service, Honolulu, Hawaii.";"Abrus precatorius_Samoa";"Abrus precatorius_Aunu'u";"glonpier";1;0;"1,150";"-14.284039";"-170.553464"
"3859";"Adenanthera pavonina";"Aunu'u";"Samoa";0;"0";"Fabaceae";"Fabales";"glonpier";0;"Adenanthera pavonina L.";"Whistler, W. A. 1998. A study of the rare plants of American Samoa. The U.S. Fish and Wildlife Service, Honolulu, Hawaii.";"Adenanthera pavonina_Samoa";"Adenanthera pavonina_Aunu'u";"glonpier";0;0;"1";"-14.284039";"-170.553464"
"3860";"Alysicarpus vaginalis";"Aunu'u";"Samoa";0;"0";"Fabaceae";"Fabales";"glonpier";0;"Alysicarpus vaginalis (L.) DC.";"Whistler, W. A. 1998. A study of the rare plants of American Samoa. The U.S. Fish and Wildlife Service, Honolulu, Hawaii.";"Alysicarpus vaginalis_Samoa";"Alysicarpus vaginalis_Aunu'u";"glonpier";0;0;"1";"-14.284039";"-170.553464"
"3861";"Crotalaria retusa";"Aunu'u";"Samoa";0;"0";"Fabaceae";"Fabales";"glonpier";0;"Crotalaria retusa L.";"Whistler, W. A. 1998. A study of the rare plants of American Samoa. The U.S. Fish and Wildlife Service, Honolulu, Hawaii.";"Crotalaria retusa_Samoa";"Crotalaria retusa_Aunu'u";"glonpier";0;0;"1";"-14.284039";"-170.553464"
"3862";"Desmodium incanum";"Aunu'u";"Samoa";0;"0";"Fabaceae";"Fabales";"glonpier";0;"Desmodium incanum DC.";"Whistler, W. A. 1998. A study of the rare plants of American Samoa. The U.S. Fish and Wildlife Service, Honolulu, Hawaii.";"Desmodium incanum_Samoa";"Desmodium incanum_Aunu'u";"glonpier";0;0;"1";"-14.284039";"-170.553464"
"3863";"Desmodium triflorum";"Aunu'u";"Samoa";0;"0";"Fabaceae";"Fabales";"glonpier";0;"Desmodium triflorum (L.) DC.";"Whistler, W. A. 1998. A study of the rare plants of American Samoa. The U.S. Fish and Wildlife Service, Honolulu, Hawaii.";"Desmodium triflorum_Samoa";"Desmodium triflorum_Aunu'u";"glonpier";0;0;"1";"-14.284039";"-170.553464"
"3864";"Inocarpus fagifer";"Aunu'u";"Samoa";0;"0";"Fabaceae";"Fabales";"glon";0;"Inocarpus fagifer (Parkinson) Fosb.";"Whistler, W. A. 1998. A study of the rare plants of American Samoa. The U.S. Fish and Wildlife Service, Honolulu, Hawaii.";"Inocarpus fagifer_Samoa";"Inocarpus fagifer_Aunu'u";"glon";0;0;"1";"-14.284039";"-170.553464"
"3865";"Leucaena leucocephala";"Aunu'u";"Samoa";0;"0";"Fabaceae";"Fabales";"glonpier";0;"Leucaena leucocephala (Lam.) de Wit";"Whistler, W. A. 1998. A study of the rare plants of American Samoa. The U.S. Fish and Wildlife Service, Honolulu, Hawaii.";"Leucaena leucocephala_Samoa";"Leucaena leucocephala_Aunu'u";"glonpier";0;0;"1";"-14.284039";"-170.553464"
"3866";"Mimosa pudica";"Aunu'u";"Samoa";0;"0";"Fabaceae";"Fabales";"glon";0;"Mimosa pudica L.";"Whistler, W. A. 1998. A study of the rare plants of American Samoa. The U.S. Fish and Wildlife Service, Honolulu, Hawaii.";"Mimosa pudica_Samoa";"Mimosa pudica_Aunu'u";"glon";0;0;"1";"-14.284039";"-170.553464"
"3867";"Pueraria montana";"Aunu'u";"Samoa";0;"0";"Fabaceae";"Fabales";"glonpier";0;"Pueraria lobata (Willd.) Ohwi";"Whistler, W. A. 1998. A study of the rare plants of American Samoa. The U.S. Fish and Wildlife Service, Honolulu, Hawaii.";"Pueraria montana_Samoa";"Pueraria montana_Aunu'u";"glonpier";0;0;"1";"-14.284039";"-170.553464"
"3868";"Uraria lagopodioides";"Aunu'u";"Samoa";0;"0";"Fabaceae";"Fabales";"glonpier";0;"Uraria lagopodoides (L.) Desv. ex DC.";"Whistler, W. A. 1998. A study of the rare plants of American Samoa. The U.S. Fish and Wildlife Service, Honolulu, Hawaii.";"Uraria lagopodioides_Samoa";"Uraria lagopodioides_Aunu'u";"glonpier";0;0;"1";"-14.284039";"-170.553464"
"3869";"Abelmoschus moschatus";"Aunu'u";"Samoa";0;"0";"Malvaceae";"Malvales";"glonpier";0;"Hibiscus abelmoschus L.";"Whistler, W. A. 1998. A study of the rare plants of American Samoa. The U.S. Fish and Wildlife Service, Honolulu, Hawaii.";"Abelmoschus moschatus_Samoa";"Abelmoschus moschatus_Aunu'u";"glonpier";0;0;"1";"-14.284039";"-170.553464"
"3870";"Sida rhombifolia";"Aunu'u";"Samoa";0;"0";"Malvaceae";"Malvales";"glonpier";0;"Sida rhombifolia L.";"Whistler, W. A. 1998. A study of the rare plants of American Samoa. The U.S. Fish and Wildlife Service, Honolulu, Hawaii.";"Sida rhombifolia_Samoa";"Sida rhombifolia_Aunu'u";"glonpier";0;0;"1";"-14.284039";"-170.553464"
"3871";"Sida parvifolia";"Aunu'u";"Samoa";0;"0";"Malvaceae";"Malvales";"glon";0;"Sida samoensis Rechinger";"Whistler, W. A. 1998. A study of the rare plants of American Samoa. The U.S. Fish and Wildlife Service, Honolulu, Hawaii.";"Sida parvifolia_Samoa";"Sida parvifolia_Aunu'u";"glon";0;0;"1";"-14.284039";"-170.553464"
"3872";"Psidium guajava";"Aunu'u";"Samoa";0;"0";"Myrtaceae";"Myrtales";"glonpier";0;"Psidium guajava L.";"Whistler, W. A. 1998. A study of the rare plants of American Samoa. The U.S. Fish and Wildlife Service, Honolulu, Hawaii.";"Psidium guajava_Samoa";"Psidium guajava_Aunu'u";"glonpier";0;0;"1";"-14.284039";"-170.553464"
"3873";"Ludwigia hyssopifolia";"Aunu'u";"Samoa";0;"0";"Onagraceae";"Myrtales";"glonpier";0;"Ludwigia hyssopifolia (G.Don) Exell";"Whistler, W. A. 1998. A study of the rare plants of American Samoa. The U.S. Fish and Wildlife Service, Honolulu, Hawaii.";"Ludwigia hyssopifolia_Samoa";"Ludwigia hyssopifolia_Aunu'u";"glonpier";0;0;"1";"-14.284039";"-170.553464"
"3874";"Ludwigia octovalvis";"Aunu'u";"Samoa";0,25;"0";"Onagraceae";"Myrtales";"glonpier";0,5;"Ludwigia octocalvis (Jacq.) Raven";"Whistler, W. A. 1998. A study of the rare plants of American Samoa. The U.S. Fish and Wildlife Service, Honolulu, Hawaii.";"Ludwigia octovalvis_Samoa";"Ludwigia octovalvis_Aunu'u";"glonpier";0;0;"1,150";"-14.284039";"-170.553464"
"3875";"Passiflora foetida";"Aunu'u";"Samoa";0;"0";"Passifloraceae";"Malpighiales";"glonpier";0;"Passiflora foetida L.";"Whistler, W. A. 1998. A study of the rare plants of American Samoa. The U.S. Fish and Wildlife Service, Honolulu, Hawaii.";"Passiflora foetida_Samoa";"Passiflora foetida_Aunu'u";"glonpier";0;0;"1";"-14.284039";"-170.553464"
"3876";"Peperomia pellucida";"Aunu'u";"Samoa";0;"0";"Piperaceae";"Piperales";"glonpier";0;"Peperomia pellucida (L.) Kunth";"Whistler, W. A. 1998. A study of the rare plants of American Samoa. The U.S. Fish and Wildlife Service, Honolulu, Hawaii.";"Peperomia pellucida_Samoa";"Peperomia pellucida_Aunu'u";"glonpier";0;0;"1";"-14.284039";"-170.553464"
"3877";"Polygala paniculata";"Aunu'u";"Samoa";0;"0";"Polygalaceae";"Fabales";"glonpier";0;"Polygala paniculata L.";"Whistler, W. A. 1998. A study of the rare plants of American Samoa. The U.S. Fish and Wildlife Service, Honolulu, Hawaii.";"Polygala paniculata_Samoa";"Polygala paniculata_Aunu'u";"glonpier";0;0;"1";"-14.284039";"-170.553464"
"3878";"Portulaca oleracea";"Aunu'u";"Samoa";0;"0";"Portulacaceae";"Caryophyllales";"glonpier";0;"Portulaca oleracea L.";"Whistler, W. A. 1998. A study of the rare plants of American Samoa. The U.S. Fish and Wildlife Service, Honolulu, Hawaii.";"Portulaca oleracea_Samoa";"Portulaca oleracea_Aunu'u";"glonpier";0;0;"1";"-14.284039";"-170.553464"
"3879";"Portulaca quadrifida";"Aunu'u";"Samoa";0;"0";"Portulacaceae";"Caryophyllales";"glon";0;"Portulaca quadrifida L.";"Whistler, W. A. 1998. A study of the rare plants of American Samoa. The U.S. Fish and Wildlife Service, Honolulu, Hawaii.";"Portulaca quadrifida_Samoa";"Portulaca quadrifida_Aunu'u";"glon";0;0;"1";"-14.284039";"-170.553464"
"3880";"Gardenia taitensis";"Aunu'u";"Samoa";1;"0";"Rubiaceae";"Gentianales";"glon";0;"Gardenia taitensis DC.";"Whistler, W. A. 1998. A study of the rare plants of American Samoa. The U.S. Fish and Wildlife Service, Honolulu, Hawaii.";"Gardenia taitensis_Samoa";"Gardenia taitensis_Aunu'u";"glon";1;0;"1";"-14.284039";"-170.553464"
"3881";"Morinda citrifolia";"Aunu'u";"Samoa";1;"0";"Rubiaceae";"Gentianales";"glon";0;"Morinda citrifolia L.";"Whistler, W. A. 1998. A study of the rare plants of American Samoa. The U.S. Fish and Wildlife Service, Honolulu, Hawaii.";"Morinda citrifolia_Samoa";"Morinda citrifolia_Aunu'u";"glon";1;0;"1";"-14.284039";"-170.553464"
"3882";"Spermacoce rubescens";"Aunu'u";"Samoa";0;"0";"Rubiaceae";"Gentianales";"glon";0;"Spermacoce assurgens Ruiz and Pavon";"Whistler, W. A. 1998. A study of the rare plants of American Samoa. The U.S. Fish and Wildlife Service, Honolulu, Hawaii.";"Spermacoce rubescens_Samoa";"Spermacoce rubescens_Aunu'u";"glon";0;0;"1";"-14.284039";"-170.553464"
"3883";"Physalis angulata";"Aunu'u";"Samoa";0;"0";"Solanaceae";"Solanales";"glonpier";0;"Physalis angulata L.";"Whistler, W. A. 1998. A study of the rare plants of American Samoa. The U.S. Fish and Wildlife Service, Honolulu, Hawaii.";"Physalis angulata_Samoa";"Physalis angulata_Aunu'u";"glonpier";0;0;"1";"-14.284039";"-170.553464"
"3884";"Triumfetta rhomboidea";"Aunu'u";"Samoa";0;"0";"Sparrmanniaceae";"Malvales";"glonpier";0;"Triumfetta rhomboidea Jacq.";"Whistler, W. A. 1998. A study of the rare plants of American Samoa. The U.S. Fish and Wildlife Service, Honolulu, Hawaii.";"Triumfetta rhomboidea_Samoa";"Triumfetta rhomboidea_Aunu'u";"glonpier";0;0;"1";"-14.284039";"-170.553464"
"3885";"Premna serratifolia";"Aunu'u";"Samoa";0;"0";"Lamiaceae";"Lamiales";"glon";0;"Premna serratifolia L.";"Whistler, W. A. 1998. A study of the rare plants of American Samoa. The U.S. Fish and Wildlife Service, Honolulu, Hawaii.";"Premna serratifolia_Samoa";"Premna serratifolia_Aunu'u";"glon";0;0;"1";"-14.284039";"-170.553464"
"3886";"Stachytarpheta urticifolia";"Aunu'u";"Samoa";0;"0";"Verbenaceae";"Lamiales";"glon";0;"Stachytarpheta urticaefolia (Salisb.) Sims";"Whistler, W. A. 1998. A study of the rare plants of American Samoa. The U.S. Fish and Wildlife Service, Honolulu, Hawaii.";"Stachytarpheta urticifolia_Samoa";"Stachytarpheta urticifolia_Aunu'u";"glon";0;0;"1";"-14.284039";"-170.553464"
"3887";"Amorphophallus paeoniifolius";"Aunu'u";"Samoa";0;"0";"Araceae";"Alismatales";"glon";0;"Amorphophallus paeoniifolius (Dennst.) Nicholson";"Whistler, W. A. 1998. A study of the rare plants of American Samoa. The U.S. Fish and Wildlife Service, Honolulu, Hawaii.";"Amorphophallus paeoniifolius_Samoa";"Amorphophallus paeoniifolius_Aunu'u";"glon";0;0;"1";"-14.284039";"-170.553464"
"3888";"Canna indica";"Aunu'u";"Samoa";0;"0";"Cannaceae";"Zingiberales";"glonpier";0;"Canna indica L.";"Whistler, W. A. 1998. A study of the rare plants of American Samoa. The U.S. Fish and Wildlife Service, Honolulu, Hawaii.";"Canna indica_Samoa";"Canna indica_Aunu'u";"glonpier";0;0;"1";"-14.284039";"-170.553464"
"3889";"Commelina diffusa";"Aunu'u";"Samoa";0;"0";"Commelinaceae";"Commelinales";"glonpier";0;"Commelina diffusa Burm.f.";"Whistler, W. A. 1998. A study of the rare plants of American Samoa. The U.S. Fish and Wildlife Service, Honolulu, Hawaii.";"Commelina diffusa_Samoa";"Commelina diffusa_Aunu'u";"glonpier";0;0;"1";"-14.284039";"-170.553464"
"3890";"Fimbristylis dichotoma";"Aunu'u";"Samoa";0;"0";"Cyperaceae";"Poales";"glon";0;"Fimbristylis dichotoma (L.) Vahl";"Whistler, W. A. 1998. A study of the rare plants of American Samoa. The U.S. Fish and Wildlife Service, Honolulu, Hawaii.";"Fimbristylis dichotoma_Samoa";"Fimbristylis dichotoma_Aunu'u";"glon";0;0;"1";"-14.284039";"-170.553464"
"3891";"Kyllinga brevifolia";"Aunu'u";"Samoa";0;"0";"Cyperaceae";"Poales";"glonpier";0;"Kyllinga brevifolia Rottb.";"Whistler, W. A. 1998. A study of the rare plants of American Samoa. The U.S. Fish and Wildlife Service, Honolulu, Hawaii.";"Kyllinga brevifolia_Samoa";"Kyllinga brevifolia_Aunu'u";"glonpier";0;0;"1";"-14.284039";"-170.553464"
"3892";"Kyllinga nemoralis";"Aunu'u";"Samoa";0;"0";"Cyperaceae";"Poales";"glonpier";0;"Kyllinga nemoralis (Forst.) Dandy ex Hutch. & Dalziel";"Whistler, W. A. 1998. A study of the rare plants of American Samoa. The U.S. Fish and Wildlife Service, Honolulu, Hawaii.";"Kyllinga nemoralis_Samoa";"Kyllinga nemoralis_Aunu'u";"glonpier";0;0;"1";"-14.284039";"-170.553464"
"3893";"Cyperus polystachyos";"Aunu'u";"Samoa";0;"0";"Cyperaceae";"Poales";"glon";0;"Pycreus polystachyos (Rottb.) Beauv.";"Whistler, W. A. 1998. A study of the rare plants of American Samoa. The U.S. Fish and Wildlife Service, Honolulu, Hawaii.";"Cyperus polystachyos_Samoa";"Cyperus polystachyos_Aunu'u";"glon";0;0;"1";"-14.284039";"-170.553464"
