site,site,subsite, shrub_num, year,shoot_length, pi, pi_full, latitude, longitude, elevation,speciescode, species
Spiekeroog,SP,D,76,2017,27.84,KZ,Katharina Zech,53.7612,7.6734,1,EN,Empetrum nigrum
Spiekeroog,SP,D,76,2016,42.26,KZ,Katharina Zech,53.7612,7.6734,1,EN,Empetrum nigrum
Spiekeroog,SP,D,76,2015,30.36,KZ,Katharina Zech,53.7612,7.6734,1,EN,Empetrum nigrum
Spiekeroog,SP,D,76,2014,36.11,KZ,Katharina Zech,53.7612,7.6734,1,EN,Empetrum nigrum
Spiekeroog,SP,D,77,2017,14.98,KZ,Katharina Zech,53.7612,7.6734,1,EN,Empetrum nigrum
Spiekeroog,SP,D,77,2016,27.21,KZ,Katharina Zech,53.7612,7.6734,1,EN,Empetrum nigrum
Spiekeroog,SP,D,77,2015,22.82,KZ,Katharina Zech,53.7612,7.6734,1,EN,Empetrum nigrum
Spiekeroog,SP,D,78,2017,50.9,KZ,Katharina Zech,53.7612,7.6734,1,EN,Empetrum nigrum
Spiekeroog,SP,D,78,2016,82.76,KZ,Katharina Zech,53.7612,7.6734,1,EN,Empetrum nigrum
Spiekeroog,SP,D,78,2015,24.69,KZ,Katharina Zech,53.7612,7.6734,1,EN,Empetrum nigrum
Spiekeroog,SP,D,79,2017,50.08,KZ,Katharina Zech,53.7612,7.6734,1,EN,Empetrum nigrum
Spiekeroog,SP,D,79,2016,76.1,KZ,Katharina Zech,53.7612,7.6734,1,EN,Empetrum nigrum
Spiekeroog,SP,D,79,2015,45.63,KZ,Katharina Zech,53.7612,7.6734,1,EN,Empetrum nigrum
Spiekeroog,SP,D,79,2014,17.59,KZ,Katharina Zech,53.7612,7.6734,1,EN,Empetrum nigrum
Spiekeroog,SP,D,80,2017,43.97,KZ,Katharina Zech,53.7612,7.6734,1,EN,Empetrum nigrum
Spiekeroog,SP,D,80,2016,51.56,KZ,Katharina Zech,53.7612,7.6734,1,EN,Empetrum nigrum
Spiekeroog,SP,D,81,2017,33.79,KZ,Katharina Zech,53.7612,7.6734,1,EN,Empetrum nigrum
Spiekeroog,SP,D,81,2016,43.89,KZ,Katharina Zech,53.7612,7.6734,1,EN,Empetrum nigrum
Spiekeroog,SP,D,81,2015,47.75,KZ,Katharina Zech,53.7612,7.6734,1,EN,Empetrum nigrum
Spiekeroog,SP,D,82,2017,67.71,KZ,Katharina Zech,53.7612,7.6734,1,EN,Empetrum nigrum
Spiekeroog,SP,D,82,2016,53.84,KZ,Katharina Zech,53.7612,7.6734,1,EN,Empetrum nigrum
Spiekeroog,SP,D,83,2017,42.64,KZ,Katharina Zech,53.7612,7.6734,1,EN,Empetrum nigrum
Spiekeroog,SP,D,83,2016,40.63,KZ,Katharina Zech,53.7612,7.6734,1,EN,Empetrum nigrum
Spiekeroog,SP,D,83,2015,17.88,KZ,Katharina Zech,53.7612,7.6734,1,EN,Empetrum nigrum
Spiekeroog,SP,D,84,2017,60.51,KZ,Katharina Zech,53.7612,7.6734,1,EN,Empetrum nigrum
Spiekeroog,SP,D,84,2016,67.64,KZ,Katharina Zech,53.7612,7.6734,1,EN,Empetrum nigrum
Spiekeroog,SP,D,84,2015,70.42,KZ,Katharina Zech,53.7612,7.6734,1,EN,Empetrum nigrum
Spiekeroog,SP,D,85,2017,72.58,KZ,Katharina Zech,53.7612,7.6734,1,EN,Empetrum nigrum
Spiekeroog,SP,D,85,2016,55.62,KZ,Katharina Zech,53.7612,7.6734,1,EN,Empetrum nigrum
Spiekeroog,SP,D,85,2015,21.79,KZ,Katharina Zech,53.7612,7.6734,1,EN,Empetrum nigrum
Spiekeroog,SP,D,86,2017,44.11,KZ,Katharina Zech,53.7612,7.6734,1,EN,Empetrum nigrum
Spiekeroog,SP,D,86,2016,36.64,KZ,Katharina Zech,53.7612,7.6734,1,EN,Empetrum nigrum
Spiekeroog,SP,D,86,2015,26.43,KZ,Katharina Zech,53.7612,7.6734,1,EN,Empetrum nigrum
Spiekeroog,SP,D,86,2014,27.88,KZ,Katharina Zech,53.7612,7.6734,1,EN,Empetrum nigrum
