Site_Plot,ACERUB,ALEFAR,ALNSER,AMEOBO,ANDSP,ANGVEN,APOCAN,ARISTR,AROARB,ARUTEC,ASCRUB,BAPTIN,CARALB,CARGLA,CHATOM,CHALAX,CIRREP,CLEALN,CLIMAR,COMERE,CORMAJ,CORVER,CROCAN,CTEARO,CUSCOM,CUTGRA,CYRRAC,CYSPRO,DANSER,DESSP,DICSP,DIOTER,DIOVIL,DIOVIR,DOESER,DROCAP,ELENUD,ELETOM,EUBRAC,EUPALB,EUPCAP,EUPCOE,EUPDUB,EUPLEU,EUPPIL,EUPRES,EUPROT,EUPHSP,EURPAL,EUTCAR,GAYDUM,GAYFRO,HEXMIN,HIEMAR,HYPSP,HYPWRI,ILECOR,ILEGLA,ILEOPA,IONLIN,IRIVER,KALCUN,LACANC,LESCAP,LESHIR,LESREP,LIASP,LIQSTY,LIRTUL,LOBNUT,LUDVIR,LYOLIG,LYOLUC,LYOMAR,LYSQUA,MAGVIR,MAROBO,MIMMIC,MORCAR,NYSSYL,OSMCIN,OSMREG,OXYDEN,PARQUI,PERPAL,PHLNIV,PINPAL,PINPALcanopy,PINSER,PINSERcanopy,PITASP,POLLUT,POLBIF,PTEAQU,PYCFLE,QUEINC,QUELAE,QUEMARG,QUEMARI,QUENIG,RHESP,RHOSP,RHUCOP,RHYTOM,ROBNAN,RUBSP,SARPUR,SARRUB,SASALB,SEDSP,SERAST,SERTOR,SMIBON,SMILAU,SMIROT,SMIWAL,SOLODO,SOLVER,SOPPIL,SORNUT,SPHAGN,STISET,STYPAT,STYBIF,SYMWAL,SYMTIN,TEPVIR,TOXPUB,TOXRAD,TOXVER,VACCRA,VACFOR,VACFUS,VACSTA,VACTEN,VERACA,VERANG,VIBNUD,VIBPRU,VIOPED,VIOSP,VITROT,WOOAER,WOOVIR,XYRSP
S17P2,0,0,0,0,9.5,0,0,5,0,0,0,0,0,0,0,0,0,0,5.5,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0.6,0,0,1,0,0,0,0,0,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,1,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,2.5,0,0,0,0,0,0,0,0
S17P3,0,0,0,0,0,0,0,0.1,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,220,0,0,0,0,0,123,0,0,0.1,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S17P4,0.1,0,0,0,0,0,0,0.1,0,94,0,0,0,0,0,0,0,40.5,0,0,0,0,0.5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,55,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,107,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
S18P1,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,1,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0.1,0,0,2,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S18P2,0,0,0,0,0,0,0,0,1,28,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,10,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S18P3,75,0,0,0,0,0,0,0,10.5,29,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,270,0,0,28,0,0,0,0,15,0,0,0,29,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S19P1,0,0,0,0,4,0,0,29,0,0,0,0,0,0,0,0,0,4,0,0,0,0.6,0.5,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0.1,0.5,0,0.5,17,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,1,0,12,0,0,0,2,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,5,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S19P2,0.1,0,49,0,0,0,0,25,0,4.5,0,0,0,0,0,0,0,85.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,1.5,6,20,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,3,0,0,0,0,18,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0.2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5,0,0,16,0,0,0,0,0,0,0,0,0,0
S19P3,0,0,10,0,0,0,0,0,0,6,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,165,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,23,0,0,0,70,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S19P4,0,0,0,0,0,0,0,0,3.5,15,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,98,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141,0,0,0,0,0,2,0,28,0,0,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0
