Quadrat;Species;PropCover;Height1;Height2;Height3;Height4;Height5;Height6;Height7;Height8;Height9;Height10;LeafArea1;LeafArea2;LeafArea3;LeafArea4;LeafArea5;LeafArea6;LeafArea7;LeafArea8;LeafArea9;LeafArea10;SLA1;SLA2;SLA3;SLA4;SLA5;SLA6;SLA7;SLA8;SLA9;SLA10
9;Lam_aur;0.153;7;5;7;8;5;5;7.5;6;4;6;39.55;50.85;28.65;40.95;100.8;103.8;99.05;61.55;38.45;55.6;29.625;51.888;40.929;46.534;50.909;38.162;52.269;31.891;42.022;35.19
9;Pla_lag;0.153;3.5;4.5;5.5;4;5;6;5;3;3;3.5;116.1;145;196.35;143.65;94.2;374.8;216.2;216.35;294.65;187.25;16.398;19.193;17.156;20.463;20.368;17.613;16.838;14.849;15.681;14.583
9;Tri_str;0.333;8;7;4;6;7;5;5;4;3;4;45.9;50.2;55.7;49.85;51.65;34.7;72.05;52.55;39.85;40.85;19.742;18.221;20.291;21.721;22.263;25.799;18.666;20.368;24.523;25.773
10;Bis_pel;0.28;4;4;5;5;4;4.5;5;4;5;2;41;62.2;44.7;70.5;60.2;71;83.85;30;87.75;38.15;21.984;29.479;17.029;21.331;24.08;26.345;25.486;12.121;24.511;19.365
10;Cha_mix;0.045;10;9.5;17;12;9;10;20;NA;NA;NA;67.1;68.9;122.5;112.05;90.5;158.15;68.35;NA;NA;NA;23.38;23.277;17.026;15.36;13.923;15.902;12.657;NA;NA;NA
10;Pet_nan;0.045;8;9;6;9;8;10.5;5;NA;NA;NA;14.75;23.9;12.2;25.2;22.15;42.1;23.05;NA;NA;NA;NA;15.88;13.556;16.206;15.223;17.184;14.497;NA;NA;NA
10;Pla_cor;0.129;5;4;6;3.5;4;3.5;3;2.5;3;4;152.3;133.1;149.7;79.8;65.1;58.25;116.25;78.75;86.65;88.25;13.175;16.912;21.462;14.417;18.442;12.073;11.27;18.357;21.717;16.434
10;Pla_lag;0.28;5;5;6.5;4;4;6.5;4;4;4;3.5;234.4;272.15;176.35;77.8;114.85;183.1;85.1;103.05;83.4;81.85;16.961;18.451;19.915;16.803;16.256;12.13;15.487;16.318;16.747;16.946
10;Spe_pur;0.045;5;8;3;6;5;3;9;4;2;6;3.25;2.85;1.9;2.85;6.15;3;2.15;2.65;1.45;5.35;18.571;11.176;15.2;11.633;14.643;24;7.288;14.722;22.308;15.07
10;Tol_bar;0.045;7;5.5;9;10;10;7;6;7;11;9;160.95;20.55;140.4;40.75;111.1;30.1;42.7;147.85;58.9;60.35;23.142;27.4;32.613;26.987;34.185;26.52;20.678;20.606;20.171;25.357
10;Tri_tom;0.129;3;1;2.5;3;3;5;3;2;2;3;23.5;39.15;13.7;34.45;56;48.55;56.65;51.25;13.8;22.1;35.606;41.211;30.11;30.622;31.909;29.072;34.438;37.004;31.364;42.5
11;Bis_pel;0.236;7;7;4;4;5;3;7;6;5;3;72.35;53.6;59.15;47;59.85;55.1;56.1;92.5;31.8;56.75;21.891;21.789;23.196;25.201;30.304;25.275;26.276;28.418;29.444;31.972
11;Lac_ten;0.108;10;18;NA;NA;NA;NA;NA;NA;NA;NA;84.9;62.45;NA;NA;NA;NA;NA;NA;NA;NA;17.651;23.79;NA;NA;NA;NA;NA;NA;NA;NA
11;Leo_tar;0.038;5;3;3;5;2;7;6;7;7.5;6.5;307.95;116.3;163.8;203.7;217.95;430.5;253.9;196.7;244.1;288.65;25.524;29.859;24.97;27.434;31.337;28.681;29.421;37.324;36.351;28.106
11;Pla_lag;0.236;4.5;5;3.5;4;4.5;3;5;4;3;4;149.95;174.15;158.8;146.45;174.5;84.9;160.8;124.8;128.05;161.25;13.546;22.284;15.817;16.567;18.613;24.154;17.043;15.99;16.491;20.647
11;Psi_inc;0.108;7;8;9;8;4;10;7.5;10;9;8;15.1;9.35;7.25;7.45;6.75;18;13.1;37.7;12.05;47.7;26.491;16.549;19.333;21.912;13.366;18.75;37.429;28.561;45.472;35.597
11;Tri_che;0.236;6;9;4;7;6;9;7;6;9;7;42.8;77.5;76.35;77.9;70.7;81;64.6;64.55;109.2;114.85;23.011;22.694;21.297;24.848;24.464;24.215;23.534;24.497;22.941;22.498
11;Tri_hir;0.038;14;10;13;16;14;13;14;8;9;12;204.9;221.35;235;266.2;269.8;305.8;414.75;114.85;210.3;135.65;15.749;15.726;15.948;18.146;19.121;20.974;17.615;19.599;19.737;18.294
12;Ant_arv;0.202;12;10;5;13;10;11;10.5;10.5;10;8;18.65;70.65;23.05;46.6;24.1;20.55;35.85;49.8;24.5;29.15;26.643;26.215;30.131;21.134;19.435;15.627;22.907;21.605;19.679;19.305
12;Bis_pel;0.202;7;6;5;11;8.5;9;6.5;5;7;8;110.3;86.9;93.85;212.8;163.55;191.9;126.55;38.35;197.9;143.2;41.86;47.879;44.269;42.433;42.591;39.163;39.858;26.912;40.347;32.62
12;Cre_cap;0.033;13;7;13.5;17;11;10;8;13;9;8;99.05;21.85;NA;203.75;NA;17.85;49.6;NA;NA;41.45;34.333;37.35;NA;47.55;NA;44.625;39.839;NA;NA;54.539
12;Dac_glo;0.202;13;18.5;23;14;25;32.5;14;14.5;36;21;44.55;124.3;106.35;46.2;160.25;224.5;90.7;57.15;207.85;92.55;15.826;27.808;21.638;21.241;26.27;23.002;21.57;23.47;22.654;16.542
12;Nea_apu;0.033;6.5;NA;NA;NA;NA;7;9;9.5;10.5;8.5;11.25;NA;NA;NA;NA;7.75;12;10.95;12.2;8.85;20.27;NA;NA;NA;NA;19.62;26.087;20.467;18.915;15.259
12;Pla_lag;0.093;5.5;7;7.5;7.5;5;3;6;5;4.5;4;138.5;285.2;222.45;263.3;205.5;102;150.6;135.25;109.15;186.75;22.557;23.415;22.886;22.816;22.833;24.549;26.078;23.666;30.446;15.793
12;Tol_bar;0.033;14;8;12;6;12;9;15;10;9;9;101.95;110.3;12.55;66.5;143.65;53.7;47.5;16;29.05;31.25;22.333;28.501;16.09;26.181;20.035;21.653;19.192;19.277;30.26;22.321
