"scrubbed_species_binomial","verbatim_family","verbatim_scientific_name","family_matched","name_matched","name_matched_author","higher_plant_group","scrubbed_taxonomic_status","scrubbed_family","scrubbed_author","native_status","native_status_reason","native_status_sources","is_introduced","native_status_country","native_status_state_province","native_status_county_parish","latitude","longitude","date_collected","datasource","dataset","dataowner","custodial_institution_codes","collection_code","datasource_id","observation_type"
"Pinus ponderosa","Pinaceae","Pinus ponderosa P.& C. Lawson","Pinaceae","Pinus ponderosa","P. Lawson & C. Lawson","gymnosperms (conifers)","Accepted","Pinaceae","P. Lawson & C. Lawson","N","Native to region, as per checklist","powo, usda",0,"N","N",NA,37.361174875,-113.107001793,1999-08-11,"VegBank","Zion National Park","Marion Reid",NA,NA,23,"plot"
"Pinus ponderosa","Pinaceae","Pinus ponderosa P.& C. Lawson","Pinaceae","Pinus ponderosa","P. Lawson & C. Lawson","gymnosperms (conifers)","Accepted","Pinaceae","P. Lawson & C. Lawson","N","Native to region, as per checklist","powo, usda",0,"N","N",NA,48.656798668,-114.075536569,2001-07-10,"VegBank","Glacier National Park","Steve Cooper",NA,NA,91,"plot"
"Pinus ponderosa","Pinaceae","Pinus ponderosa P.& C. Lawson","Pinaceae","Pinus ponderosa","P. Lawson & C. Lawson","gymnosperms (conifers)","Accepted","Pinaceae","P. Lawson & C. Lawson","N","Native to region, as per checklist","powo, usda",0,"N","N",NA,37.378796051,-113.020604638,1999-08-26,"VegBank","Zion National Park","Marion Reid",NA,NA,23,"plot"
"Pinus ponderosa","Pinaceae","Pinus ponderosa P.& C. Lawson","Pinaceae","Pinus ponderosa","P. Lawson & C. Lawson","gymnosperms (conifers)","Accepted","Pinaceae","P. Lawson & C. Lawson","N","Native to region, as per checklist","powo, usda",0,"N","N",NA,37.427853814,-113.148738497,2000-08-21,"VegBank","Zion National Park","Marion Reid",NA,NA,23,"plot"
"Pinus ponderosa","Pinaceae","Pinus ponderosa P.& C. Lawson","Pinaceae","Pinus ponderosa","P. Lawson & C. Lawson","gymnosperms (conifers)","Accepted","Pinaceae","P. Lawson & C. Lawson","N","Native to region, as per checklist","powo, usda",0,"N","N",NA,37.386423402,-113.005607076,1999-08-12,"VegBank","Zion National Park","Marion Reid",NA,NA,23,"plot"
"Pinus ponderosa","Pinaceae","Pinus ponderosa P.& C. Lawson","Pinaceae","Pinus ponderosa","P. Lawson & C. Lawson","gymnosperms (conifers)","Accepted","Pinaceae","P. Lawson & C. Lawson","N","Native to region, as per checklist","powo, usda",0,"N","N",NA,48.696183619,-114.189001994,2001-08-13,"VegBank","Glacier National Park","Marion Reid",NA,NA,91,"plot"
"Pinus ponderosa","Pinaceae","Pinus ponderosa P.& C. Lawson","Pinaceae","Pinus ponderosa","P. Lawson & C. Lawson","gymnosperms (conifers)","Accepted","Pinaceae","P. Lawson & C. Lawson","N","Native to region, as per checklist","powo, usda",0,"N","N",NA,37.361174875,-113.107001793,1999-08-11,"VegBank","Zion National Park","Marion Reid",NA,NA,23,"plot"
"Pinus ponderosa","Pinaceae","Pinus ponderosa P.& C. Lawson","Pinaceae","Pinus ponderosa","P. Lawson & C. Lawson","gymnosperms (conifers)","Accepted","Pinaceae","P. Lawson & C. Lawson","N","Native to region, as per checklist","powo, usda",0,"N","N",NA,37.269181972,-112.900624211,1999-08-10,"VegBank","Zion National Park","Marion Reid",NA,NA,23,"plot"
"Pinus ponderosa","Pinaceae","Pinus ponderosa P.& C. Lawson","Pinaceae","Pinus ponderosa","P. Lawson & C. Lawson","gymnosperms (conifers)","Accepted","Pinaceae","P. Lawson & C. Lawson","N","Native to region, as per checklist","powo, usda",0,"N","N",NA,37.386423402,-113.005607076,1999-08-12,"VegBank","Zion National Park","Marion Reid",NA,NA,23,"plot"
"Pinus ponderosa","Pinaceae","Pinus ponderosa P.& C. Lawson","Pinaceae","Pinus ponderosa","P. Lawson & C. Lawson","gymnosperms (conifers)","Accepted","Pinaceae","P. Lawson & C. Lawson","N","Native to region, as per checklist","powo, usda",0,"N","N",NA,37.220868938,-112.922660551,2000-05-24,"VegBank","Zion National Park","Marion Reid",NA,NA,23,"plot"
"Pinus ponderosa","Pinaceae","Pinus ponderosa P.& C. Lawson","Pinaceae","Pinus ponderosa","P. Lawson & C. Lawson","gymnosperms (conifers)","Accepted","Pinaceae","P. Lawson & C. Lawson","N","Native to region, as per checklist","powo, usda",0,"N","N",NA,37.345247274,-113.076055664,1999-08-16,"VegBank","Zion National Park","Marion Reid",NA,NA,23,"plot"
"Pinus ponderosa","Pinaceae","Pinus ponderosa P.& C. Lawson","Pinaceae","Pinus ponderosa","P. Lawson & C. Lawson","gymnosperms (conifers)","Accepted","Pinaceae","P. Lawson & C. Lawson","N","Native to region, as per checklist","powo, usda",0,"N","N",NA,37.385236975,-113.036544438,1999-07-22,"VegBank","Zion National Park","Marion Reid",NA,NA,23,"plot"
"Pinus ponderosa","Pinaceae","Pinus ponderosa P.& C. Lawson","Pinaceae","Pinus ponderosa","P. Lawson & C. Lawson","gymnosperms (conifers)","Accepted","Pinaceae","P. Lawson & C. Lawson","N","Native to region, as per checklist","powo, usda",0,"N","N",NA,37.269181972,-112.900624211,1999-08-10,"VegBank","Zion National Park","Marion Reid",NA,NA,23,"plot"
"Pinus ponderosa","Pinaceae","Pinus ponderosa P.& C. Lawson","Pinaceae","Pinus ponderosa","P. Lawson & C. Lawson","gymnosperms (conifers)","Accepted","Pinaceae","P. Lawson & C. Lawson","N","Native to region, as per checklist","powo, usda",0,"N","N",NA,48.699323523,-114.184572567,2001-08-13,"VegBank","Glacier National Park","Marion Reid",NA,NA,91,"plot"
"Pinus ponderosa","Pinaceae","Pinus ponderosa P.& C. Lawson","Pinaceae","Pinus ponderosa","P. Lawson & C. Lawson","gymnosperms (conifers)","Accepted","Pinaceae","P. Lawson & C. Lawson","N","Native to region, as per checklist","powo, usda",0,"N","N",NA,37.455227393,-113.177602349,1999-08-02,"VegBank","Zion National Park","Marion Reid",NA,NA,23,"plot"
"Pinus ponderosa","Pinaceae","Pinus ponderosa P.& C. Lawson","Pinaceae","Pinus ponderosa","P. Lawson & C. Lawson","gymnosperms (conifers)","Accepted","Pinaceae","P. Lawson & C. Lawson","N","Native to region, as per checklist","powo, usda",0,"N","N",NA,48.717049122,-114.228712231,2001-08-27,"VegBank","Glacier National Park","Steve Cooper",NA,NA,91,"plot"
"Pinus ponderosa","Pinaceae","Pinus ponderosa P.& C. Lawson","Pinaceae","Pinus ponderosa","P. Lawson & C. Lawson","gymnosperms (conifers)","Accepted","Pinaceae","P. Lawson & C. Lawson","N","Native to region, as per checklist","powo, usda",0,"N","N",NA,37.378796051,-113.020604638,1999-08-26,"VegBank","Zion National Park","Marion Reid",NA,NA,23,"plot"
"Pinus ponderosa","Pinaceae","Pinus ponderosa P.& C. Lawson","Pinaceae","Pinus ponderosa","P. Lawson & C. Lawson","gymnosperms (conifers)","Accepted","Pinaceae","P. Lawson & C. Lawson","N","Native to region, as per checklist","powo, usda",0,"N","N",NA,37.345247274,-113.076055664,1999-08-16,"VegBank","Zion National Park","Marion Reid",NA,NA,23,"plot"
"Pinus ponderosa","Pinaceae","Pinus ponderosa P.& C. Lawson","Pinaceae","Pinus ponderosa","P. Lawson & C. Lawson","gymnosperms (conifers)","Accepted","Pinaceae","P. Lawson & C. Lawson","N","Native to region, as per checklist","powo, usda",0,"N","N",NA,37.385236975,-113.036544438,1999-07-22,"VegBank","Zion National Park","Marion Reid",NA,NA,23,"plot"
"Pinus ponderosa","Pinaceae","Pinus ponderosa P.& C. Lawson","Pinaceae","Pinus ponderosa","P. Lawson & C. Lawson","gymnosperms (conifers)","Accepted","Pinaceae","P. Lawson & C. Lawson","N","Native to region, as per checklist","powo, usda",0,"N","N",NA,37.269181972,-112.900624211,1999-08-10,"VegBank","Zion National Park","Marion Reid",NA,NA,23,"plot"
