,genus_species,species_code,site,length_growth,diameter_growth,max_ht,leaf_area_sapwood_area,Ks,leaf_size,wood_density,Aarea,leaf_N,MOE,LMA,leaf_SWC,dia_40cm,measured_ht,length_growth_sd,diameter_growth_sd,Ks_sd,leaf_size_sd,wood_density_sd,Aarea_sd,LMA_sd,leaf_SWC_sd,measured_ht_sd,site_description,trait_descriptions
29,Hakea teretifolia,HakTer,Kuringgai,8.533333333,1.126,2,0.253023579,NA,0.898,0.66,NA,6.1722,5650.905,447,138.2,5.968930481,2.007166667,5.395369336,0.505151,NA,0.142159066,0.072514366,NA,64.06105939,6.550496751,0.290740844,warm-temperate,
30,Kunzea capitata,KunCap,Kuringgai,8.858888889,0.616666667,2,NA,NA,0.102,0.8,NA,NA,NA,140.9,NA,2.181574074,1.895416667,6.381357088,0.385539751,NA,NA,NA,NA,NA,NA,0.375349102,warm-temperate,
31,Lambertia formosa,LamFor,Kuringgai,0.945625,0.2415625,1.8,0.318796142,2.23,1.85,0.69,18.65,7.116,5702.004,233.5,92.4,5.152464789,1.239264706,1.751844029,0.199389268,0.561095625,0.492364702,0.067638746,5.748026427,19.09404827,7.878646037,0.341176417,warm-temperate,
32,Leptospermum trinervium,LepTri,Kuringgai,11.75882353,1.394411765,3,0.520341704,0.73,0.273,0.76,10.72,10.3642,4606.177,131.5,98.3,5.528363636,2.694735294,5.642232622,0.894837473,0.45632609,0.05775119,0.019078784,1.886242243,5.494213975,0.362676889,0.416203756,warm-temperate,
33,Leucopogon ericoides,LeuEri,Bothwell,5.242857143,0.222857143,1.7,0.130746726,0.39,0.057,0.69,8.812,11.40952381,6246.662,112.3,115.1,3.045681818,1.031428571,3.056084725,0.145744104,0.179343246,0.003109126,0.098601893,2.929430098,11.21898324,3.53992544,0.270277127,cool-temperate,
34,Leucopogon microphyllus,LeuMic,Kuringgai,2.088235294,0.184117647,1,NA,NA,0.032,0.75,NA,NA,NA,148.8,NA,2.769471831,0.788441176,2.260299558,0.158156157,NA,NA,NA,NA,NA,NA,0.177519179,warm-temperate,
35,Leucopogon virgatus,LeuVir,Bothwell,3.395,0.200357143,0.6,NA,0.16,0.032,0.74,6.44,NA,4626.08,116.7,81.8,2.9285,0.417466667,3.607358162,0.238081733,0.049335586,0.00250998,0.012124356,3.977194023,5.132407476,6.669350455,0.061705078,cool-temperate,
36,Lophostemon suaveolens,LopSua,Princess Hills,28.57857143,3.8725,25,0.35592326,6.72,26.14,0.57,12.122,12.96,4407.425,136.9,126.5,7.931315789,8.265921857,8.6536855,1.6945359,2.13763023,8.545558162,0.061024585,1.805247905,38.44584801,18.26268037,2.331741232,tropical,
37,Persoonia falcata,PerFal,Princess Hills,18.48666667,2.249666667,4,0.499569497,3.88,16.02,0.7,14.146,10.18815,3962.122,193.6,151.1,7.734851485,3.883775109,10.23287399,1.051860219,0.961934249,3.698688997,0.06757465,5.046754403,27.65779499,3.905452563,0.759880223,tropical,
38,Persoonia juniperina,PerJun,Bothwell,5.0625,1.15125,1.4,0.361114967,0.68,0.125,0.66,2.314,8.599047619,4195.674,216.5,134.7,4.518333333,1.185441176,2.438073856,0.538910935,0.523708698,0.013202273,0.018036999,1.308105195,28.55438422,15.08349916,0.217317156,cool-temperate,
39,Persoonia lanceolata,PerLan,Kuringgai,5.285333333,0.440333333,3,NA,NA,3.617,0.64,NA,NA,NA,262.4,NA,4.661453901,2.3609375,3.785851992,0.381350823,0.462935525,3.30766413,0.046479386,1.119794773,25.45033125,8.521418011,0.223582339,warm-temperate,
40,Persoonia pinifolia,PerPin,Kuringgai,7.1,0.663333333,4,0.612085637,2.02,0.271,0.69,14.93,9.564,6782.025,176.1,189.8,4.05437788,2.858125,3.65043833,0.327666638,0.616176273,0.07643494,0.023643181,0.892179494,25.73361736,11.70412169,0.934358737,warm-temperate,
41,Petalostigma pubescens,PetPub,Princess Hills,18.03571429,1.945,5,0.401030914,3.8,5.86,0.76,9.992,10.58,2973.169,140.9,115,6.119264706,3.662924975,9.976972789,1.129368036,0.722660501,2.270078567,0.018520259,3.220399044,6.247721545,8.148443585,0.670408691,tropical,
42,Petrophile pulchella,PetPul,Kuringgai,6.871428571,1.228214286,2.5,0.279164112,1.85,0.328,0.64,18.72,5.864,5524.542,258.7,129.2,5.61703629,1.689333333,3.303189336,0.530646107,1.46759412,0.04290338,0.029143324,2.176246149,17.76495901,9.308557677,0.194280878,warm-temperate,
43,Planchonia careya,PlaCar,Princess Hills,15.84,1.564666667,7,0.378839849,10.27,27.58,0.54,11.128,18.0075,844.413,96.5,213.4,8.618533333,4.205338654,7.475132397,0.964397931,2.123643881,11.39489931,0.048041649,2.909453557,6.614278925,13.70235158,0.55287288,tropical,
44,Xylomelum scottianum,XylSco,Princess Hills,20.62307692,1.888846154,7,0.617945636,1.23,22.06,0.67,9.842,8.35065,3016.776,135.7,145.8,7.645064935,4.642165931,9.597277275,1.181014946,1.064478393,4.227554731,0.052271726,2.16358961,13.89782829,4.010707709,0.987328762,tropical,
