Species	Day_95%	Day_75%	Day_50%	Day_05%	Senescence_date	Senescence_pace	Senescence_shape	Senescence_asynchrony
Chaerophyllum aromaticum	196	239	272	310	272	0.0088	0.6931	46.79
Inula britannica	220	244	266	295	266	0.0133	0.4613	16.26
Inula ensifolia	208	246	283	319	283	0.009	0.734	46.89
Inula hirta	262	304	322	346	322	0.0119	0.9163	4.37
Inula oculus-christi	178	223	270	325	270	0.0068	0.5145	100.28
Inula salicina	244	290	310	334	310	0.0111	1.0116	10.63
Iris graminea	188	260	297	326	297	0.0072	1.3241	14.86
Iris sibirica	217	247	268	297	268	0.0125	0.5645	10.07
Iris variegata	193	238	290	321	290	0.0078	1.1407	26.29
Isatis tinctoria	177	229	246	271	246	0.0106	1.0152	15.56
Juncus effusus	172	194	210	233	210	0.0164	0.5021	22.56
Juncus filiformis	186	228	251	276	251	0.0111	0.9555	43.22
Juncus inflexus	202	249	282	327	282	0.008	0.5754	66.89
Koeleria macrantha	175	197	228	295	228	0.0083	-0.2344	79.01
Lamium album	137	164	186	214	186	0.013	0.5596	27.64
Lathyrus niger	179	249	279	309	279	0.0077	1.204	22.46
Lathyrus transsilvanicus	193	258	309	348	309	0.0065	1.09	47.21
Lathyrus vernus	189	255	277	309	277	0.0083	1.0116	41.79
Leonurus cardiaca	154	225	293	352	293	0.0051	0.8569	123.72
Leontodon hispidus	190	221	240	270	240	0.0125	0.5108	41.08
Leucojum vernum	106	120	132	149	132	0.0233	0.4249	1.29
Linum flavum	202	224	245	279	245	0.013	0.2348	34.47
Linaria vulgaris	182	222	248	280	248	0.0102	0.7239	50.15
Lithospermum officinale	214	291	317	343	317	0.0078	1.3766	25.41
Buglossoides purpurocaerulea	202	307	345	379	345	0.0056	1.4365	8.01
Lotus corniculatus	179	199	213	233	213	0.0185	0.5306	40.41
Lotus tenuis	183	204	227	261	227	0.0128	0.2578	59.99
Luzula sylvatica	225	305	NA	NA	NA	0.0028	NA	41.01
Lycopus europaeus	246	283	299	319	299	0.0137	0.9746	5.96
Lysimachia nummularia	202	238	271	307	271	0.0095	0.6506	54.02
Lysimachia punctata	278	316	335	360	335	0.0122	0.8242	18.54
Lythrum salicaria	252	283	297	316	297	0.0156	0.8622	35.23
Lythrum virgatum	225	266	291	317	291	0.0109	0.9316	5.35
Maianthemum bifolium	169	191	205	226	205	0.0175	0.539	21.25
Medicago falcata	234	273	298	324	298	0.0111	0.9008	105.56
Melica uniflora	166	207	229	259	229	0.0108	0.7419	33.37
Mentha longifolia	150	182	213	265	213	0.0087	0.1919	76.83
